# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,781.5,0.982,-0.807253,0.000452,379386.809,0.660485
10.0,895.3,1.125,-0.802729,0.000486,0.00037,0.666667
20.0,890.0,1.118,-0.797532,0.000521,6.3e-05,0.666667
40.0,879.1,1.105,-0.787081,0.000524,0.000159,0.666667
60.0,868.2,1.091,-0.776561,0.000528,0.000217,0.666666
80.0,857.0,1.077,-0.76596,0.000532,0.000369,0.666666
100.0,845.8,1.063,-0.755265,0.000537,0.000295,0.666666
120.0,834.4,1.049,-0.744498,0.000541,0.000484,0.666666
140.0,822.9,1.034,-0.733619,0.000547,0.000502,0.666666
160.0,811.2,1.019,-0.722623,0.000551,0.000538,0.666665
180.0,799.1,1.004,-0.711561,0.000557,0.000803,0.666664
200.0,787.1,0.989,-0.700346,0.000563,0.000634,0.666664
220.0,774.6,0.973,-0.689032,0.000568,0.000744,0.666664
240.0,762.2,0.958,-0.677613,0.000573,0.001038,0.666662
260.0,749.3,0.942,-0.666118,0.000577,0.001007,0.666662
280.0,736.5,0.926,-0.654526,0.00058,0.000986,0.666661
300.0,723.3,0.909,-0.642911,0.000583,0.00122,0.666659
320.0,709.4,0.891,-0.631214,0.000585,0.001313,0.666658
340.0,696.3,0.875,-0.619492,0.000586,0.001354,0.666656
360.0,681.6,0.857,-0.607756,0.000586,0.001166,0.666657
380.0,668.4,0.84,-0.596063,0.000585,0.001482,0.666653
400.0,653.4,0.821,-0.584357,0.000585,0.001684,0.666649
420.0,639.2,0.803,-0.572677,0.000583,0.002009,0.666644
440.0,624.9,0.785,-0.561041,0.000583,0.001777,0.666645
460.0,609.2,0.766,-0.549351,0.000584,0.002177,0.666637
480.0,594.8,0.747,-0.53767,0.000583,0.002132,0.666635
500.0,579.8,0.729,-0.526026,0.000586,0.002658,0.666624
520.0,563.8,0.708,-0.514241,0.000589,0.002418,0.666624
540.0,547.6,0.688,-0.50246,0.000593,0.004443,0.66658
560.0,530.3,0.666,-0.490533,0.000599,0.003351,0.666594
580.0,512.8,0.644,-0.478505,0.000608,0.003843,0.666574
600.0,493.1,0.62,-0.466205,0.000621,0.005021,0.666532
620.0,473.4,0.595,-0.453647,0.000637,0.005044,0.666515
640.0,451.2,0.567,-0.440716,0.000652,0.005122,0.666492
660.0,427.6,0.537,-0.427581,0.000674,0.004542,0.666488
680.0,399.4,0.502,-0.41377,0.000706,0.006761,0.666355
700.0,369.6,0.464,-0.399349,0.000745,0.008182,0.66621
720.0,328.0,0.412,-0.383975,0.000796,0.015241,0.665564
740.0,277.0,0.348,-0.367512,0.000871,0.020649,0.664532
760.0,192.0,0.241,-0.349124,0.0009,0.057978,0.654215
780.0,61.8,0.078,-0.331493,0.000748,0.082225,0.522548
800.0,31.1,0.039,-0.319198,0.000572,0.024318,0.450964
820.0,25.0,0.031,-0.30861,0.000506,0.017688,0.4516
840.0,19.3,0.024,-0.298958,0.000465,0.009502,0.446348
860.0,16.2,0.02,-0.29002,0.000431,0.007202,0.43336
880.0,14.7,0.018,-0.281699,0.000406,0.005275,0.4524
900.0,13.3,0.017,-0.273786,0.000383,0.004031,0.463615
920.0,12.2,0.015,-0.266361,0.000363,0.003464,0.443189
940.0,11.2,0.014,-0.259283,0.000344,0.002828,0.443606
960.0,10.8,0.014,-0.252614,0.000326,0.002496,0.463166
980.0,10.3,0.013,-0.246227,0.000313,0.002428,0.427021
1000.0,9.6,0.012,-0.240104,0.000299,0.001872,0.452107
1020.0,9.1,0.011,-0.234257,0.000285,0.001738,0.443353
1040.0,8.5,0.011,-0.228702,0.000273,0.00154,0.429543
1060.0,8.3,0.01,-0.223335,0.000263,0.001492,0.439832
1080.0,8.2,0.01,-0.218189,0.000253,0.001315,0.452378
1100.0,7.8,0.01,-0.213208,0.000244,0.001243,0.428684
1120.0,7.6,0.01,-0.208449,0.000232,0.001153,0.441365
1140.0,7.5,0.009,-0.203916,0.000223,0.001111,0.44607
1160.0,7.1,0.009,-0.199519,0.000216,0.000985,0.438544
1180.0,7.0,0.009,-0.195282,0.000207,0.000927,0.439787
1200.0,6.7,0.008,-0.191221,0.000203,0.000802,0.449716
