T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.41251013E+00 2.00532232E+00 4.09589828E+00 6.60484556E-01 3.79386809E+05 5.11334234E+10 -9.88866519E+00 -9.88866519E+00 0.00000000E+00
0010 1.61811565E+00 2.61829837E+00 6.85548737E+00 6.66666616E-01 3.69712452E-04 9.76360639E-01 -9.83324388E+00 -9.83324388E+00 0.00000000E+00
0020 1.60855984E+00 2.58746478E+00 6.69497436E+00 6.66666649E-01 6.27575690E-05 9.65425137E-01 -9.76958192E+00 -9.76958192E+00 0.00000000E+00
0040 1.58898003E+00 2.52485771E+00 6.37490820E+00 6.66666577E-01 1.59442370E-04 1.00056240E+00 -9.64156570E+00 -9.64156570E+00 0.00000000E+00
0060 1.56924290E+00 2.46252363E+00 6.06402607E+00 6.66666478E-01 2.17225457E-04 1.09955508E+00 -9.51270171E+00 -9.51270171E+00 0.00000000E+00
0080 1.54895353E+00 2.39925783E+00 5.75644568E+00 6.66666229E-01 3.68570710E-04 9.98464349E-01 -9.38283734E+00 -9.38283734E+00 0.00000000E+00
0100 1.52864670E+00 2.33676151E+00 5.46046175E+00 6.66666216E-01 2.95438879E-04 1.03277746E+00 -9.25182715E+00 -9.25182715E+00 0.00000000E+00
0120 1.50813624E+00 2.27447647E+00 5.17325731E+00 6.66665757E-01 4.84264951E-04 9.70519815E-01 -9.11993137E+00 -9.11993137E+00 0.00000000E+00
0140 1.48736500E+00 2.21225651E+00 4.89409545E+00 6.66665536E-01 5.01509519E-04 1.07746287E+00 -8.98666989E+00 -8.98666989E+00 0.00000000E+00
0160 1.46609777E+00 2.14944496E+00 4.62013340E+00 6.66665240E-01 5.38185183E-04 1.07159894E+00 -8.85197292E+00 -8.85197292E+00 0.00000000E+00
0180 1.44431356E+00 2.08604552E+00 4.35161814E+00 6.66664198E-01 8.03259953E-04 1.00917861E+00 -8.71645685E+00 -8.71645685E+00 0.00000000E+00
0200 1.42267123E+00 2.02399682E+00 4.09659057E+00 6.66664434E-01 6.34440274E-04 1.02729169E+00 -8.57908193E+00 -8.57908193E+00 0.00000000E+00
0220 1.40010366E+00 1.96029463E+00 3.84278930E+00 6.66663695E-01 7.43560828E-04 1.11272999E+00 -8.44048288E+00 -8.44048288E+00 0.00000000E+00
0240 1.37766083E+00 1.89795602E+00 3.60228757E+00 6.66661991E-01 1.03822964E-03 1.10714305E+00 -8.30060773E+00 -8.30060773E+00 0.00000000E+00
0260 1.35434742E+00 1.83426392E+00 3.36457543E+00 6.66661585E-01 1.00684207E-03 1.15097640E+00 -8.15979089E+00 -8.15979089E+00 0.00000000E+00
0280 1.33107377E+00 1.77176476E+00 3.13920263E+00 6.66661117E-01 9.86116753E-04 1.16764380E+00 -8.01779584E+00 -8.01779584E+00 0.00000000E+00
0300 1.30722808E+00 1.70885502E+00 2.92025227E+00 6.66659041E-01 1.21953604E-03 1.11590130E+00 -7.87551424E+00 -7.87551424E+00 0.00000000E+00
0320 1.28225591E+00 1.64419145E+00 2.70343931E+00 6.66657567E-01 1.31280363E-03 1.14567763E+00 -7.73222678E+00 -7.73222678E+00 0.00000000E+00
0340 1.25844402E+00 1.58369365E+00 2.50816349E+00 6.66656312E-01 1.35423261E-03 1.18504129E+00 -7.58864136E+00 -7.58864136E+00 0.00000000E+00
