# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,1103.7,1.387,-1.282157,0.00069,0.409847,0.666667
10.0,1099.5,1.382,-1.275261,0.000691,3.7e-05,0.666667
30.0,1089.9,1.37,-1.261398,0.000695,0.000118,0.666667
50.0,1080.3,1.358,-1.247466,0.000699,0.000284,0.666667
70.0,1070.6,1.345,-1.233444,0.000703,0.000237,0.666667
90.0,1060.6,1.333,-1.219346,0.000707,0.000618,0.666666
110.0,1050.6,1.32,-1.205159,0.000712,0.000402,0.666666
130.0,1040.7,1.308,-1.190882,0.000716,0.000533,0.666666
150.0,1030.5,1.295,-1.176502,0.000721,0.000872,0.666666
170.0,1019.8,1.282,-1.162024,0.000726,0.001378,0.666665
190.0,1009.7,1.269,-1.147458,0.000732,0.001044,0.666665
210.0,999.3,1.256,-1.132752,0.000737,0.001056,0.666665
230.0,988.1,1.242,-1.117962,0.000742,0.001241,0.666664
250.0,977.4,1.228,-1.103065,0.000749,0.001786,0.666662
270.0,966.7,1.215,-1.088021,0.000755,0.000922,0.666664
290.0,955.3,1.2,-1.072858,0.000762,0.001391,0.666663
310.0,943.0,1.185,-1.057537,0.000769,0.002782,0.666658
330.0,931.5,1.171,-1.042088,0.000777,0.003058,0.666656
350.0,921.4,1.158,-1.026468,0.000786,0.001565,0.666661
370.0,908.5,1.142,-1.010667,0.000794,0.001654,0.66666
390.0,895.3,1.125,-0.994704,0.000803,0.002464,0.666656
410.0,884.1,1.111,-0.978532,0.000813,0.002528,0.666654
430.0,871.1,1.095,-0.962175,0.000825,0.002738,0.666652
450.0,858.4,1.079,-0.945548,0.000835,0.002194,0.666654
470.0,844.0,1.061,-0.928763,0.000849,0.002335,0.666652
490.0,828.7,1.041,-0.911606,0.000863,0.005264,0.666632
510.0,815.1,1.024,-0.894225,0.000877,0.002823,0.666647
530.0,799.6,1.005,-0.876528,0.000892,0.004314,0.666634
550.0,784.6,0.986,-0.858534,0.000911,0.006198,0.666616
570.0,769.2,0.967,-0.840091,0.000932,0.005699,0.666616
590.0,752.3,0.945,-0.821261,0.000952,0.006444,0.666605
610.0,736.4,0.925,-0.802023,0.000977,0.006316,0.666601
630.0,717.5,0.902,-0.782191,0.001002,0.004613,0.666615
650.0,698.6,0.878,-0.761928,0.001028,0.00513,0.666604
670.0,677.0,0.851,-0.74106,0.001062,0.007982,0.666559
690.0,656.2,0.825,-0.719459,0.001098,0.005482,0.666586
710.0,630.9,0.793,-0.697144,0.001135,0.008918,0.66652
730.0,608.7,0.765,-0.674052,0.001178,0.009632,0.666492
750.0,581.4,0.731,-0.650017,0.001233,0.008081,0.666502
770.0,549.3,0.69,-0.624737,0.001293,0.01047,0.666421
790.0,514.2,0.646,-0.59829,0.00136,0.013269,0.666302
810.0,473.7,0.595,-0.570324,0.001453,0.018589,0.666054
830.0,421.5,0.53,-0.540175,0.00157,0.019425,0.665833
850.0,345.7,0.434,-0.507534,0.001743,0.046643,0.663621
870.0,227.5,0.286,-0.470465,0.001797,0.120958,0.649182
890.0,57.4,0.072,-0.435663,0.001475,0.085898,0.476619
910.0,32.1,0.04,-0.411452,0.001115,0.029321,0.45
930.0,24.9,0.031,-0.391057,0.000953,0.018313,0.418835
950.0,19.3,0.024,-0.373343,0.000836,0.010387,0.438529
970.0,17.1,0.021,-0.357636,0.000744,0.007599,0.452772
990.0,14.6,0.018,-0.343565,0.000671,0.005276,0.463502
1010.0,13.4,0.017,-0.330778,0.000614,0.004147,0.462776
1030.0,12.2,0.015,-0.319014,0.000562,0.00369,0.441768
1050.0,11.4,0.014,-0.30828,0.000516,0.003183,0.428251
1070.0,10.7,0.013,-0.298385,0.000479,0.002647,0.459196
1090.0,10.0,0.013,-0.289105,0.000448,0.002482,0.43473
1110.0,9.6,0.012,-0.280459,0.000416,0.001964,0.463232
1130.0,9.1,0.011,-0.272466,0.000394,0.001801,0.447596
1150.0,8.7,0.011,-0.264701,0.000371,0.001714,0.444856
1170.0,8.3,0.01,-0.257625,0.000345,0.001406,0.465106
1200.0,8.0,0.01,-0.247649,0.000333,0.001315,0.446616
