T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.87637356E+00 3.52077775E+00 1.23958760E+01 6.66666664E-01 4.09847162E-01 5.21240041E+05 -1.17795967E+01 -1.17795967E+01 0.00000000E+00
0010 1.86918300E+00 3.49384511E+00 1.22069537E+01 6.66666664E-01 3.65794692E-05 9.90931399E-01 -1.17162479E+01 -1.17162479E+01 0.00000000E+00
0030 1.85300907E+00 3.43364269E+00 1.17899031E+01 6.66666639E-01 1.18218414E-04 1.02627386E+00 -1.15888775E+01 -1.15888775E+01 0.00000000E+00
0050 1.83664560E+00 3.37326736E+00 1.13789365E+01 6.66666554E-01 2.83955565E-04 1.03440369E+00 -1.14608861E+01 -1.14608861E+01 0.00000000E+00
0070 1.82014201E+00 3.31291727E+00 1.09754253E+01 6.66666533E-01 2.37034745E-04 1.02233695E+00 -1.13320584E+01 -1.13320584E+01 0.00000000E+00
0090 1.80307448E+00 3.25107869E+00 1.05695271E+01 6.66666210E-01 6.17731845E-04 1.05171381E+00 -1.12025315E+01 -1.12025315E+01 0.00000000E+00
0110 1.78614303E+00 3.19030782E+00 1.01780753E+01 6.66666296E-01 4.02187609E-04 1.08610861E+00 -1.10721904E+01 -1.10721904E+01 0.00000000E+00
0130 1.76924120E+00 3.13021580E+00 9.79826838E+00 6.66666075E-01 5.33417286E-04 1.09233524E+00 -1.09410299E+01 -1.09410299E+01 0.00000000E+00
0150 1.75192167E+00 3.06923217E+00 9.42021826E+00 6.66665528E-01 8.71909929E-04 1.08278710E+00 -1.08089156E+01 -1.08089156E+01 0.00000000E+00
0170 1.73383586E+00 3.00619149E+00 9.03724367E+00 6.66664586E-01 1.37809195E-03 9.62524797E-01 -1.06758945E+01 -1.06758945E+01 0.00000000E+00
0190 1.71650783E+00 2.94640309E+00 8.68133804E+00 6.66664868E-01 1.04409941E-03 1.02429181E+00 -1.05420767E+01 -1.05420767E+01 0.00000000E+00
0210 1.69892625E+00 2.88635484E+00 8.33109557E+00 6.66664614E-01 1.05599020E-03 1.03658525E+00 -1.04069668E+01 -1.04069668E+01 0.00000000E+00
0230 1.67981712E+00 2.82179127E+00 7.96257050E+00 6.66663965E-01 1.24141213E-03 1.20885227E+00 -1.02710840E+01 -1.02710840E+01 0.00000000E+00
0250 1.66166787E+00 2.76114908E+00 7.62404298E+00 6.66662348E-01 1.78611385E-03 1.12974719E+00 -1.01342246E+01 -1.01342246E+01 0.00000000E+00
0270 1.64354044E+00 2.70123016E+00 7.29669831E+00 6.66664204E-01 9.22005710E-04 1.11066570E+00 -9.99601015E+00 -9.99601015E+00 0.00000000E+00
0290 1.62406343E+00 2.63759013E+00 6.95696698E+00 6.66662579E-01 1.39134448E-03 1.12924681E+00 -9.85670331E+00 -9.85670331E+00 0.00000000E+00
0310 1.60311061E+00 2.56998090E+00 6.60497932E+00 6.66657709E-01 2.78235238E-03 1.16354504E+00 -9.71594445E+00 -9.71594445E+00 0.00000000E+00
0330 1.58359274E+00 2.50778620E+00 6.28919428E+00 6.66655925E-01 3.05840328E-03 1.17033304E+00 -9.57400736E+00 -9.57400736E+00 0.00000000E+00
