# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,1240.5,1.559,-3.969718,0.001722,0.001668,0.666667
2.0,1239.8,1.558,-3.966273,0.001723,3e-06,0.666667
5.0,1238.7,1.557,-3.961098,0.001726,5e-06,0.666667
10.0,1236.9,1.554,-3.952465,0.001727,2.6e-05,0.666667
30.0,1229.4,1.545,-3.917845,0.001735,3.5e-05,0.666667
50.0,1221.9,1.535,-3.883067,0.001743,6e-05,0.666667
70.0,1214.3,1.526,-3.848128,0.001751,0.000126,0.666667
90.0,1206.6,1.516,-3.813015,0.00176,0.000149,0.666667
110.0,1199.0,1.507,-3.777741,0.001768,0.000118,0.666667
130.0,1191.2,1.497,-3.742287,0.001777,0.000179,0.666667
150.0,1183.3,1.487,-3.706653,0.001787,0.000222,0.666667
170.0,1175.4,1.477,-3.670812,0.001797,0.000198,0.666667
190.0,1167.2,1.467,-3.634774,0.001806,0.000269,0.666667
210.0,1159.2,1.457,-3.598581,0.001815,0.000237,0.666667
230.0,1151.2,1.447,-3.562161,0.001827,0.000225,0.666667
250.0,1142.4,1.436,-3.52549,0.001839,0.000539,0.666666
270.0,1134.0,1.425,-3.488613,0.00185,0.000468,0.666666
290.0,1125.6,1.414,-3.451497,0.001861,0.000552,0.666666
310.0,1117.1,1.404,-3.414164,0.001873,0.000513,0.666666
330.0,1108.1,1.392,-3.376591,0.001888,0.000817,0.666666
350.0,1099.6,1.382,-3.33866,0.001902,0.000733,0.666666
370.0,1090.5,1.37,-3.300526,0.001914,0.000621,0.666666
390.0,1081.1,1.359,-3.262094,0.001928,0.000903,0.666665
410.0,1072.3,1.347,-3.223418,0.001942,0.000597,0.666666
430.0,1063.1,1.336,-3.184395,0.00196,0.000794,0.666665
450.0,1053.3,1.324,-3.145037,0.001978,0.000799,0.666665
470.0,1043.7,1.312,-3.105255,0.001997,0.000685,0.666665
490.0,1034.0,1.299,-3.065159,0.002013,0.000838,0.666665
510.0,1023.9,1.287,-3.024736,0.002034,0.000922,0.666665
530.0,1014.1,1.274,-2.983799,0.002056,0.000805,0.666665
550.0,1003.2,1.261,-2.942487,0.002076,0.001003,0.666664
570.0,993.1,1.248,-2.900747,0.002102,0.00118,0.666664
590.0,981.7,1.234,-2.858411,0.002128,0.001561,0.666663
610.0,970.3,1.219,-2.815626,0.002151,0.002013,0.666661
630.0,959.4,1.206,-2.772379,0.002181,0.001651,0.666662
650.0,948.1,1.191,-2.728369,0.002211,0.001697,0.666661
670.0,936.4,1.177,-2.683937,0.002239,0.001625,0.666661
690.0,923.9,1.161,-2.63881,0.002277,0.001917,0.66666
710.0,911.1,1.145,-2.592865,0.002312,0.002778,0.666657
730.0,898.9,1.13,-2.546316,0.002351,0.001617,0.666661
750.0,885.8,1.113,-2.498833,0.002394,0.002084,0.666658
770.0,872.1,1.096,-2.450552,0.002434,0.003099,0.666653
790.0,858.6,1.079,-2.401456,0.002482,0.001552,0.66666
810.0,843.7,1.06,-2.351266,0.002531,0.002047,0.666657
830.0,827.8,1.04,-2.300229,0.002579,0.002835,0.666652
850.0,812.2,1.021,-2.248104,0.002633,0.003956,0.666645
870.0,796.1,1.0,-2.194903,0.002692,0.002984,0.666649
890.0,778.7,0.979,-2.140406,0.00276,0.003166,0.666647
910.0,760.4,0.956,-2.08451,0.002826,0.003245,0.666645
930.0,742.1,0.933,-2.02736,0.0029,0.003582,0.666641
950.0,722.6,0.908,-1.968494,0.002978,0.003252,0.666642
970.0,701.8,0.882,-1.908223,0.003056,0.003287,0.666639
990.0,677.8,0.852,-1.846243,0.003148,0.004932,0.666622
1010.0,654.4,0.822,-1.782305,0.00325,0.005382,0.666613
1030.0,626.3,0.787,-1.716244,0.003361,0.006246,0.666598
1050.0,598.9,0.753,-1.647853,0.003466,0.006355,0.666588
1070.0,566.5,0.712,-1.577602,0.003589,0.006802,0.666571
1090.0,531.2,0.668,-1.504276,0.003758,0.008191,0.666533
1110.0,489.9,0.616,-1.427283,0.003934,0.009729,0.666477
1130.0,442.6,0.556,-1.346917,0.004151,0.013903,0.666329
1150.0,381.4,0.479,-1.261259,0.004436,0.028476,0.665732
1170.0,299.3,0.376,-1.169468,0.004663,0.037354,0.664624
1200.0,46.4,0.058,-1.026283,0.003492,0.117598,0.357299
1220.0,23.5,0.03,-0.97351,0.002361,0.024763,0.451659
1240.0,18.5,0.023,-0.93185,0.001935,0.015635,0.438195
1260.0,14.2,0.018,-0.896099,0.001682,0.009267,0.445849
1280.0,12.7,0.016,-0.864581,0.001484,0.00686,0.461793
1300.0,10.9,0.014,-0.836739,0.001332,0.004913,0.456682
1320.0,10.0,0.013,-0.811297,0.001229,0.004017,0.467667
1340.0,9.2,0.012,-0.787571,0.001135,0.003287,0.463864
1360.0,8.5,0.011,-0.765886,0.001044,0.003006,0.447061
1380.0,7.9,0.01,-0.745819,0.000966,0.002551,0.44712
1400.0,7.5,0.009,-0.727248,0.000905,0.002276,0.437327
1420.0,7.2,0.009,-0.709621,0.000853,0.002031,0.449427
1440.0,6.8,0.009,-0.693127,0.0008,0.001781,0.443191
1460.0,6.5,0.008,-0.677619,0.000758,0.001616,0.44236
1480.0,6.2,0.008,-0.662796,0.000718,0.001543,0.426443
1500.0,6.1,0.008,-0.648902,0.000682,0.001329,0.461866
1520.0,5.9,0.007,-0.635522,0.00065,0.001267,0.440586
1540.0,5.7,0.007,-0.622907,0.000616,0.001165,0.442535
1560.0,5.6,0.007,-0.610884,0.000591,0.001176,0.429415
1580.0,5.4,0.007,-0.599277,0.000567,0.000993,0.464794
1610.0,5.3,0.007,-0.582903,0.000527,0.00099,0.436032
1630.0,5.1,0.006,-0.572625,0.000505,0.00093,0.430355
1650.0,4.9,0.006,-0.562711,0.000485,0.000803,0.445689
1670.0,4.9,0.006,-0.553244,0.000469,0.000802,0.442591
1690.0,4.8,0.006,-0.543963,0.000452,0.000804,0.419667
1710.0,4.8,0.006,-0.535173,0.000434,0.000822,0.420379
1730.0,4.6,0.006,-0.526619,0.000422,0.000699,0.429612
1750.0,4.5,0.006,-0.518309,0.000405,0.000694,0.430651
1770.0,4.5,0.006,-0.510419,0.000388,0.000699,0.426356
1790.0,4.4,0.006,-0.5028,0.000375,0.000649,0.426399
1810.0,4.5,0.006,-0.495423,0.000366,0.000599,0.449579
1830.0,4.3,0.005,-0.488162,0.000358,0.000574,0.42245
1850.0,4.3,0.005,-0.481111,0.000341,0.000548,0.442576
1870.0,4.2,0.005,-0.474518,0.00033,0.000529,0.453129
1890.0,4.2,0.005,-0.467929,0.000325,0.000506,0.43896
