T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.97456062E+00 3.89888965E+00 1.52013405E+01 6.66666667E-01 1.66795273E-03 1.56339949E+04 -1.45884436E+01 -1.45884436E+01 0.00000000E+00
0002 1.97341315E+00 3.89435946E+00 1.51660356E+01 6.66666667E-01 2.90551644E-06 9.31473170E-01 -1.45757832E+01 -1.45757832E+01 0.00000000E+00
0005 1.97165300E+00 3.88741555E+00 1.51119997E+01 6.66666667E-01 5.49696409E-06 1.10748683E+00 -1.45567673E+01 -1.45567673E+01 0.00000000E+00
0010 1.96869385E+00 3.87575549E+00 1.50214807E+01 6.66666666E-01 2.64064289E-05 1.09867340E+00 -1.45250428E+01 -1.45250428E+01 0.00000000E+00
0030 1.95683595E+00 3.82920693E+00 1.46628258E+01 6.66666664E-01 3.46912746E-05 1.02168210E+00 -1.43978163E+01 -1.43978163E+01 0.00000000E+00
0050 1.94490943E+00 3.78267272E+00 1.43086133E+01 6.66666658E-01 5.98587331E-05 1.00928524E+00 -1.42700077E+01 -1.42700077E+01 0.00000000E+00
0070 1.93278633E+00 3.73566308E+00 1.39551797E+01 6.66666641E-01 1.25968450E-04 9.91386536E-01 -1.41416092E+01 -1.41416092E+01 0.00000000E+00
0090 1.92059520E+00 3.68868604E+00 1.36064063E+01 6.66666628E-01 1.49190070E-04 1.08680154E+00 -1.40125709E+01 -1.40125709E+01 0.00000000E+00
0110 1.90850423E+00 3.64238851E+00 1.32669956E+01 6.66666629E-01 1.17658582E-04 1.12372345E+00 -1.38829425E+01 -1.38829425E+01 0.00000000E+00
0130 1.89605128E+00 3.59501066E+00 1.29241043E+01 6.66666597E-01 1.79304232E-04 1.10049077E+00 -1.37526493E+01 -1.37526493E+01 0.00000000E+00
0150 1.88339458E+00 3.54717539E+00 1.25824571E+01 6.66666566E-01 2.22026443E-04 1.00165975E+00 -1.36216999E+01 -1.36216999E+01 0.00000000E+00
0170 1.87088504E+00 3.50021110E+00 1.22514816E+01 6.66666564E-01 1.98071254E-04 1.04957230E+00 -1.34899859E+01 -1.34899859E+01 0.00000000E+00
0190 1.85789356E+00 3.45176888E+00 1.19147140E+01 6.66666508E-01 2.69129576E-04 1.15181144E+00 -1.33575499E+01 -1.33575499E+01 0.00000000E+00
0210 1.84502954E+00 3.40413442E+00 1.15881366E+01 6.66666511E-01 2.36640658E-04 1.01586000E+00 -1.32245429E+01 -1.32245429E+01 0.00000000E+00
0230 1.83230793E+00 3.35735278E+00 1.12718233E+01 6.66666502E-01 2.25197736E-04 1.12318379E+00 -1.30906990E+01 -1.30906990E+01 0.00000000E+00
0250 1.81834438E+00 3.30637737E+00 1.09321456E+01 6.66666231E-01 5.38603393E-04 1.02691132E+00 -1.29559366E+01 -1.29559366E+01 0.00000000E+00
0270 1.80501448E+00 3.25807827E+00 1.06150872E+01 6.66666252E-01 4.68353827E-04 1.11800889E+00 -1.28204181E+01 -1.28204181E+01 0.00000000E+00
0290 1.79153426E+00 3.20959627E+00 1.03015247E+01 6.66666134E-01 5.51614215E-04 1.08460324E+00 -1.26840160E+01 -1.26840160E+01 0.00000000E+00
0310 1.77814365E+00 3.16179611E+00 9.99697075E+00 6.66666129E-01 5.13449947E-04 1.15162168E+00 -1.25468230E+01 -1.25468230E+01 0.00000000E+00
0330 1.76376731E+00 3.11087727E+00 9.67758424E+00 6.66665741E-01 8.16525173E-04 1.10335063E+00 -1.24087417E+01 -1.24087417E+01 0.00000000E+00
0350 1.75015165E+00 3.06303284E+00 9.38219534E+00 6.66665772E-01 7.32542196E-04 1.11607896E+00 -1.22693488E+01 -1.22693488E+01 0.00000000E+00
0370 1.73569687E+00 3.01264547E+00 9.07605491E+00 6.66665851E-01 6.21261448E-04 1.18340165E+00 -1.21292109E+01 -1.21292109E+01 0.00000000E+00
0390 1.72079532E+00 2.96113935E+00 8.76837968E+00 6.66665396E-01 9.02839542E-04 1.06603992E+00 -1.19879761E+01 -1.19879761E+01 0.00000000E+00
0410 1.70677690E+00 2.91308935E+00 8.48611240E+00 6.66665769E-01 5.96762516E-04 1.04647445E+00 -1.18458411E+01 -1.18458411E+01 0.00000000E+00
0430 1.69205932E+00 2.86306749E+00 8.19718679E+00 6.66665391E-01 7.94457790E-04 1.12733761E+00 -1.17024365E+01 -1.17024365E+01 0.00000000E+00
0450 1.67655743E+00 2.81084769E+00 7.90089714E+00 6.66665299E-01 7.99146483E-04 1.07946245E+00 -1.15577984E+01 -1.15577984E+01 0.00000000E+00
0470 1.66127723E+00 2.75984462E+00 7.61677079E+00 6.66665420E-01 6.84808858E-04 1.12296390E+00 -1.14116001E+01 -1.14116001E+01 0.00000000E+00
0490 1.64576876E+00 2.70855812E+00 7.33632269E+00 6.66665048E-01 8.37660670E-04 1.17826304E+00 -1.12642512E+01 -1.12642512E+01 0.00000000E+00
0510 1.62966090E+00 2.65579842E+00 7.05330525E+00 6.66664775E-01 9.21733793E-04 1.19704931E+00 -1.11156996E+01 -1.11156996E+01 0.00000000E+00
0530 1.61408173E+00 2.60526324E+00 6.78743218E+00 6.66664917E-01 8.05017743E-04 1.18845397E+00 -1.09652587E+01 -1.09652587E+01 0.00000000E+00
0550 1.59678904E+00 2.54973966E+00 6.50121739E+00 6.66664356E-01 1.00269219E-03 1.17170803E+00 -1.08134386E+01 -1.08134386E+01 0.00000000E+00
0570 1.58064172E+00 2.49843363E+00 6.24222446E+00 6.66663790E-01 1.18025437E-03 1.10308915E+00 -1.06600469E+01 -1.06600469E+01 0.00000000E+00
