# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,761.4,0.957,-2.564024,0.001542,122.850013,0.666666
10.0,698.0,0.877,-2.5486,0.00155,7.536924,0.66629
30.0,772.1,0.97,-2.517292,0.00157,2.171025,0.6664
50.0,828.4,1.041,-2.485794,0.001577,0.458828,0.666586
70.0,839.8,1.055,-2.454213,0.001583,0.069527,0.66665
90.0,835.7,1.05,-2.422459,0.001593,0.023433,0.666659
110.0,829.6,1.043,-2.39049,0.001604,0.026273,0.666656
130.0,817.4,1.027,-2.358309,0.001615,0.011591,0.666661
150.0,808.8,1.016,-2.325885,0.001627,0.012587,0.66666
170.0,796.0,1.0,-2.293222,0.001641,0.010959,0.66666
190.0,787.0,0.989,-2.260256,0.001655,0.018354,0.666653
210.0,775.4,0.974,-2.227032,0.001669,0.014179,0.666655
230.0,767.7,0.965,-2.193496,0.001684,0.01275,0.666655
250.0,752.6,0.946,-2.159656,0.001702,0.007766,0.666658
270.0,740.3,0.93,-2.125429,0.001722,0.02892,0.666632
290.0,731.2,0.919,-2.090784,0.00174,0.012128,0.666651
310.0,719.2,0.904,-2.055845,0.00176,0.004206,0.666661
330.0,703.2,0.884,-2.020373,0.001786,0.008138,0.666653
350.0,691.8,0.869,-1.984414,0.001812,0.01361,0.666643
370.0,669.1,0.841,-1.947894,0.001839,0.025967,0.666614
390.0,662.9,0.833,-1.91087,0.001869,0.012595,0.666639
410.0,650.2,0.817,-1.873115,0.001904,0.008314,0.666647
430.0,633.8,0.796,-1.834712,0.001941,0.012781,0.666633
450.0,610.9,0.768,-1.79546,0.001984,0.079446,0.666434
470.0,600.0,0.754,-1.755333,0.002033,0.013816,0.666623
490.0,582.8,0.732,-1.714157,0.002086,0.028195,0.666568
510.0,568.1,0.714,-1.671904,0.002149,0.009774,0.666629
530.0,543.5,0.683,-1.628205,0.00222,0.013209,0.666609
550.0,522.2,0.656,-1.583113,0.002298,0.034869,0.666497
570.0,499.2,0.627,-1.536294,0.002393,0.029639,0.666502
590.0,471.9,0.593,-1.487404,0.002508,0.069996,0.666222
610.0,441.8,0.555,-1.435956,0.002637,0.067608,0.666159
630.0,409.1,0.514,-1.381917,0.002808,0.098722,0.665787
650.0,364.0,0.457,-1.323649,0.003043,0.038944,0.666204
670.0,299.3,0.376,-1.260195,0.003369,0.084069,0.665146
690.0,199.0,0.25,-1.188905,0.003548,0.175813,0.659306
710.0,25.3,0.032,-1.11826,0.003043,0.097442,0.426645
730.0,18.7,0.023,-1.067196,0.002378,0.040995,0.47087
750.0,13.9,0.017,-1.023124,0.002086,0.023039,0.472698
770.0,10.4,0.013,-0.983774,0.001881,0.013802,0.450444
790.0,9.0,0.011,-0.947866,0.001721,0.009783,0.450322
810.0,7.9,0.01,-0.914922,0.001589,0.00772,0.43378
830.0,7.1,0.009,-0.884292,0.001478,0.006115,0.42853
850.0,6.6,0.008,-0.855783,0.001381,0.004649,0.458851
870.0,6.0,0.008,-0.829038,0.001294,0.004429,0.419584
890.0,5.7,0.007,-0.804036,0.001221,0.003497,0.442332
910.0,5.3,0.007,-0.780187,0.001157,0.003211,0.426761
930.0,5.0,0.006,-0.757769,0.001092,0.00264,0.446602
950.0,4.9,0.006,-0.7365,0.001037,0.002302,0.471183
970.0,4.7,0.006,-0.716292,0.000984,0.002174,0.450505
1000.0,7.4,0.009,-0.687957,0.000944,0.005587,0.425163
