T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.68241488E+00 2.83052093E+00 8.01186111E+00 6.66666151E-01 1.22850013E+02 4.68683814E+06 -1.04695719E+01 -1.04695719E+01 0.00000000E+00
0010 1.54215148E+00 2.37890248E+00 5.66557894E+00 6.66289583E-01 7.53692357E+00 1.16573745E+00 -1.04065902E+01 -1.04065902E+01 0.00000000E+00
0030 1.70607288E+00 2.91126480E+00 8.48225180E+00 6.66399658E-01 2.17102477E+00 1.08623361E+00 -1.02787539E+01 -1.02787539E+01 0.00000000E+00
0050 1.83047174E+00 3.35083111E+00 1.12307980E+01 6.66585654E-01 4.58828186E-01 1.02026168E+00 -1.01501389E+01 -1.01501389E+01 0.00000000E+00
0070 1.85565995E+00 3.44351718E+00 1.18584062E+01 6.66649924E-01 6.95274082E-02 1.01632612E+00 -1.00211835E+01 -1.00211835E+01 0.00000000E+00
0090 1.84657394E+00 3.40985410E+00 1.16273607E+01 6.66659334E-01 2.34329619E-02 1.09059151E+00 -9.89152526E+00 -9.89152526E+00 0.00000000E+00
0110 1.83311853E+00 3.36034928E+00 1.12922927E+01 6.66656470E-01 2.62730702E-02 1.04557161E+00 -9.76098555E+00 -9.76098555E+00 0.00000000E+00
0130 1.80603512E+00 3.26177628E+00 1.06393595E+01 6.66661185E-01 1.15908171E-02 1.00004059E+00 -9.62958579E+00 -9.62958579E+00 0.00000000E+00
0150 1.78711906E+00 3.19381135E+00 1.02006450E+01 6.66659672E-01 1.25870503E-02 1.06592140E+00 -9.49718706E+00 -9.49718706E+00 0.00000000E+00
0170 1.75882989E+00 3.09349919E+00 9.56994265E+00 6.66659512E-01 1.09589777E-02 1.13472216E+00 -9.36381791E+00 -9.36381791E+00 0.00000000E+00
0190 1.73893073E+00 3.02391113E+00 9.14441385E+00 6.66652985E-01 1.83537916E-02 1.11038971E+00 -9.22920961E+00 -9.22920961E+00 0.00000000E+00
0210 1.71336790E+00 2.93565607E+00 8.61838793E+00 6.66654624E-01 1.41793876E-02 1.06180394E+00 -9.09354536E+00 -9.09354536E+00 0.00000000E+00
0230 1.69635033E+00 2.87763055E+00 8.28105810E+00 6.66654570E-01 1.27501792E-02 1.05236765E+00 -8.95661133E+00 -8.95661133E+00 0.00000000E+00
0250 1.66290916E+00 2.76528416E+00 7.64698771E+00 6.66658330E-01 7.76570048E-03 1.05163655E+00 -8.81843173E+00 -8.81843173E+00 0.00000000E+00
0270 1.63579688E+00 2.67590100E+00 7.16119027E+00 6.66632026E-01 2.89204587E-02 1.04221324E+00 -8.67867445E+00 -8.67867445E+00 0.00000000E+00
0290 1.61551514E+00 2.60992049E+00 6.81201237E+00 6.66650646E-01 1.21283161E-02 1.06233723E+00 -8.53720897E+00 -8.53720897E+00 0.00000000E+00
0310 1.58912047E+00 2.52531549E+00 6.37733553E+00 6.66660541E-01 4.20599853E-03 1.06951283E+00 -8.39454597E+00 -8.39454597E+00 0.00000000E+00
0330 1.55369546E+00 2.41399349E+00 5.82759535E+00 6.66653465E-01 8.13791557E-03 1.05020477E+00 -8.24970417E+00 -8.24970417E+00 0.00000000E+00
0350 1.52850838E+00 2.33638031E+00 5.45906820E+00 6.66642531E-01 1.36099616E-02 1.11670719E+00 -8.10287540E+00 -8.10287540E+00 0.00000000E+00
0370 1.47846696E+00 2.18595013E+00 4.77912733E+00 6.66614392E-01 2.59665524E-02 1.16895005E+00 -7.95375558E+00 -7.95375558E+00 0.00000000E+00
0390 1.46476493E+00 2.14558006E+00 4.60388928E+00 6.66639479E-01 1.25949860E-02 1.26188841E+00 -7.80257518E+00 -7.80257518E+00 0.00000000E+00
0410 1.43663376E+00 2.06394692E+00 4.26012726E+00 6.66647075E-01 8.31407337E-03 1.16776365E+00 -7.64841055E+00 -7.64841055E+00 0.00000000E+00
0430 1.40038831E+00 1.96113637E+00 3.84643945E+00 6.66633421E-01 1.27806811E-02 1.26381315E+00 -7.49160214E+00 -7.49160214E+00 0.00000000E+00
0450 1.34982379E+00 1.82234270E+00 3.32325099E+00 6.66433993E-01 7.94463304E-02 1.24147292E+00 -7.33132725E+00 -7.33132725E+00 0.00000000E+00
0470 1.32563666E+00 1.75737040E+00 3.08875640E+00 6.66622879E-01 1.38159612E-02 1.26787861E+00 -7.16747676E+00 -7.16747676E+00 0.00000000E+00
0490 1.28777480E+00 1.65848700E+00 2.75138921E+00 6.66568496E-01 2.81952255E-02 1.42948782E+00 -6.99934675E+00 -6.99934675E+00 0.00000000E+00
0510 1.25527084E+00 1.57574927E+00 2.48326588E+00 6.66629061E-01 9.77424054E-03 1.37859052E+00 -6.82681723E+00 -6.82681723E+00 0.00000000E+00
0530 1.20089275E+00 1.44220575E+00 2.08031680E+00 6.66609073E-01 1.32085890E-02 1.47535112E+00 -6.64837943E+00 -6.64837943E+00 0.00000000E+00
0550 1.15370159E+00 1.33119817E+00 1.77298817E+00 6.66497451E-01 3.48688580E-02 1.51248757E+00 -6.46425833E+00 -6.46425833E+00 0.00000000E+00
0570 1.10298188E+00 1.21671951E+00 1.48113765E+00 6.66502007E-01 2.96387755E-02 1.40750912E+00 -6.27308508E+00 -6.27308508E+00 0.00000000E+00
0590 1.04257181E+00 1.08732381E+00 1.18384996E+00 6.66222074E-01 6.99958334E-02 1.59253210E+00 -6.07345474E+00 -6.07345474E+00 0.00000000E+00
0610 9.76064390E-01 9.53069018E-01 9.09723833E-01 6.66159045E-01 6.76075989E-02 1.72922676E+00 -5.86337989E+00 -5.86337989E+00 0.00000000E+00
0630 9.03818012E-01 8.17440960E-01 6.69973752E-01 6.65786689E-01 9.87219546E-02 1.89576253E+00 -5.64272273E+00 -5.64272273E+00 0.00000000E+00
0650 8.04248026E-01 6.47040351E-01 4.19241957E-01 6.66204287E-01 3.89437408E-02 1.92583514E+00 -5.40479907E+00 -5.40479907E+00 0.00000000E+00
0670 6.61373540E-01 4.37916648E-01 1.92645578E-01 6.65146473E-01 8.40687566E-02 2.13880186E+00 -5.14570102E+00 -5.14570102E+00 0.00000000E+00
0690 4.39593299E-01 1.94322771E-01 3.85951719E-02 6.59306119E-01 1.75813295E-01 2.09911336E+00 -4.85460775E+00 -4.85460775E+00 0.00000000E+00
0710 5.58355937E-02 3.73382144E-03 2.39801541E-05 4.26644971E-01 9.74415103E-02 1.88722758E+00 -4.56614264E+00 -4.56614264E+00 0.00000000E+00
0730 4.13572504E-02 1.97697328E-03 6.20419456E-06 4.70869794E-01 4.09951739E-02 1.45763668E+00 -4.35763504E+00 -4.35763504E+00 0.00000000E+00
0750 3.06022048E-02 1.09039985E-03 1.88084066E-06 4.72698280E-01 2.30391414E-02 1.32138166E+00 -4.17768018E+00 -4.17768018E+00 0.00000000E+00
0770 2.30433764E-02 6.25653900E-04 6.45358967E-07 4.50444217E-01 1.38017999E-02 1.23176089E+00 -4.01700405E+00 -4.01700405E+00 0.00000000E+00
0790 1.98995574E-02 4.64831196E-04 3.56303803E-07 4.50321602E-01 9.78320936E-03 1.03699396E+00 -3.87037949E+00 -3.87037949E+00 0.00000000E+00
0810 1.75606926E-02 3.64075620E-04 2.25159035E-07 4.33780359E-01 7.72017750E-03 9.59503325E-01 -3.73586356E+00 -3.73586356E+00 0.00000000E+00
0830 1.56993761E-02 2.91677523E-04 1.45854662E-07 4.28530398E-01 6.11510279E-03 9.19083677E-01 -3.61079438E+00 -3.61079438E+00 0.00000000E+00
0850 1.44828261E-02 2.44952411E-04 9.74094999E-08 4.58851296E-01 4.64944148E-03 9.22249701E-01 -3.49438293E+00 -3.49438293E+00 0.00000000E+00
0870 1.31971757E-02 2.08487770E-04 7.56871396E-08 4.19583610E-01 4.42927365E-03 7.93512260E-01 -3.38517634E+00 -3.38517634E+00 0.00000000E+00
0890 1.26896760E-02 1.88747139E-04 5.96015509E-08 4.42332224E-01 3.49676732E-03 7.89074843E-01 -3.28308616E+00 -3.28308616E+00 0.00000000E+00
0910 1.18149246E-02 1.65620341E-04 4.71719717E-08 4.26761400E-01 3.21124018E-03 7.20183800E-01 -3.18570582E+00 -3.18570582E+00 0.00000000E+00
0930 1.11154088E-02 1.45421092E-04 3.51086240E-08 4.46601788E-01 2.64007755E-03 7.28012638E-01 -3.09416495E+00 -3.09416495E+00 0.00000000E+00
0950 1.09139261E-02 1.38592416E-04 3.04723431E-08 4.71182687E-01 2.30202450E-03 6.82291824E-01 -3.00732083E+00 -3.00732083E+00 0.00000000E+00
0970 1.02825032E-02 1.24516253E-04 2.55585995E-08 4.50505046E-01 2.17443519E-03 6.19250553E-01 -2.92480621E+00 -2.92480621E+00 0.00000000E+00
1000 1.64142716E-02 3.19187755E-04 1.75694725E-07 4.25162593E-01 5.58663894E-03 1.38761719E+00 -2.80910795E+00 -2.80910795E+00 0.00000000E+00
