# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
1.0,1566.2,1.968,-0.527829,0.000345,1.6e-05,0.666667
3.0,1564.7,1.966,-0.527139,0.000345,1.8e-05,0.666667
5.0,1563.1,1.964,-0.526449,0.000345,5.7e-05,0.666667
7.0,1561.5,1.962,-0.525759,0.000345,0.00016,0.666667
10.0,1559.3,1.959,-0.524722,0.000346,5.7e-05,0.666667
20.0,1551.2,1.949,-0.521259,0.000347,0.000224,0.666667
40.0,1535.6,1.93,-0.514296,0.000349,0.000258,0.666667
60.0,1519.5,1.909,-0.507288,0.000352,0.000361,0.666666
80.0,1503.0,1.889,-0.500234,0.000354,0.000595,0.666666
100.0,1486.7,1.868,-0.49311,0.000357,0.00046,0.666666
120.0,1470.3,1.848,-0.485949,0.00036,0.00109,0.666665
140.0,1452.9,1.826,-0.478722,0.000363,0.001518,0.666664
160.0,1436.5,1.805,-0.471443,0.000366,0.001784,0.666663
180.0,1418.2,1.782,-0.46409,0.000369,0.001645,0.666663
200.0,1399.2,1.758,-0.456665,0.000372,0.00295,0.666658
220.0,1383.2,1.738,-0.449193,0.000376,0.001338,0.666662
240.0,1362.6,1.712,-0.441635,0.000381,0.004099,0.666652
260.0,1347.2,1.693,-0.433969,0.000385,0.001524,0.666661
280.0,1325.5,1.666,-0.42625,0.000389,0.003136,0.666653
300.0,1306.9,1.642,-0.418389,0.000394,0.002452,0.666655
320.0,1286.9,1.617,-0.410478,0.000399,0.004528,0.666643
340.0,1267.2,1.592,-0.402435,0.000405,0.004847,0.666639
360.0,1244.6,1.564,-0.394268,0.000412,0.004624,0.666637
380.0,1219.8,1.533,-0.385948,0.000419,0.018111,0.666542
400.0,1200.7,1.509,-0.377514,0.000425,0.008106,0.666605
420.0,1179.9,1.483,-0.368938,0.000433,0.006963,0.666609
440.0,1158.7,1.456,-0.360179,0.000443,0.004101,0.66663
460.0,1128.9,1.419,-0.351229,0.000453,0.007044,0.666597
480.0,1105.0,1.389,-0.342068,0.000463,0.011498,0.666544
500.0,1076.8,1.353,-0.332723,0.000474,0.013159,0.666512
520.0,1054.9,1.326,-0.323117,0.000488,0.005655,0.666594
540.0,1018.4,1.28,-0.313203,0.000502,0.016068,0.666438
560.0,992.2,1.247,-0.303034,0.000517,0.007954,0.666543
580.0,955.1,1.2,-0.292507,0.000536,0.015618,0.666398
600.0,921.9,1.158,-0.281592,0.000554,0.02217,0.666245
620.0,889.6,1.118,-0.270351,0.000575,0.013606,0.666378
640.0,844.1,1.061,-0.25858,0.000603,0.012518,0.666361
660.0,797.7,1.002,-0.246244,0.000632,0.012455,0.666313
680.0,741.7,0.932,-0.233294,0.000665,0.031664,0.665631
700.0,681.3,0.856,-0.219654,0.000708,0.030902,0.665399
720.0,604.9,0.76,-0.204984,0.000761,0.035514,0.664779
740.0,478.7,0.602,-0.189215,0.000837,0.10178,0.658115
760.0,342.0,0.43,-0.171498,0.000881,0.135997,0.644353
780.0,110.9,0.139,-0.153985,0.000724,0.120589,0.486915
800.0,63.5,0.08,-0.142529,0.000511,0.040168,0.472764
820.0,43.2,0.054,-0.133548,0.000419,0.018165,0.469601
840.0,34.7,0.044,-0.125777,0.00036,0.012755,0.4223
860.0,29.9,0.038,-0.119134,0.000312,0.009161,0.44027
880.0,26.1,0.033,-0.113282,0.000277,0.006889,0.437954
900.0,23.4,0.029,-0.108045,0.000251,0.005674,0.429687
920.0,22.3,0.028,-0.103227,0.000229,0.004364,0.449345
940.0,20.5,0.026,-0.098876,0.000207,0.004099,0.422886
960.0,19.2,0.024,-0.09493,0.000189,0.003263,0.450681
980.0,18.3,0.023,-0.091319,0.000173,0.003006,0.443979
1000.0,17.1,0.021,-0.087998,0.000162,0.002548,0.445482
1020.0,16.4,0.021,-0.084855,0.000149,0.002243,0.452416
1040.0,15.6,0.02,-0.082025,0.000137,0.001908,0.451884
1060.0,15.2,0.019,-0.079357,0.000128,0.001754,0.462812
1080.0,14.5,0.018,-0.076886,0.000121,0.001535,0.478477
1100.0,14.1,0.018,-0.074519,0.000118,0.001616,0.449997
