T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0001 2.18499776E+00 4.77421520E+00 2.27931308E+01 6.66666666E-01 1.56354166E-05 9.63416014E-01 -9.69868116E+00 -9.69868116E+00 0.00000000E+00
0003 2.18279981E+00 4.76461499E+00 2.27015561E+01 6.66666666E-01 1.78748791E-05 1.08700300E+00 -9.68600721E+00 -9.68600721E+00 0.00000000E+00
0005 2.18067623E+00 4.75534882E+00 2.26133426E+01 6.66666663E-01 5.67528366E-05 9.91397426E-01 -9.67332148E+00 -9.67332148E+00 0.00000000E+00
0007 2.17835612E+00 4.74523545E+00 2.25172603E+01 6.66666654E-01 1.60403458E-04 9.88286588E-01 -9.66064549E+00 -9.66064549E+00 0.00000000E+00
0010 2.17527280E+00 4.73181177E+00 2.23900430E+01 6.66666660E-01 5.72588449E-05 1.04604080E+00 -9.64159076E+00 -9.64159076E+00 0.00000000E+00
0020 2.16407766E+00 4.68323231E+00 2.19326683E+01 6.66666615E-01 2.24365887E-04 9.42335351E-01 -9.57795997E+00 -9.57795997E+00 0.00000000E+00
0040 2.14219951E+00 4.58901917E+00 2.10591046E+01 6.66666546E-01 2.58011150E-04 9.07076531E-01 -9.45001986E+00 -9.45001986E+00 0.00000000E+00
0060 2.11984709E+00 4.49375255E+00 2.01938276E+01 6.66666409E-01 3.60747494E-04 9.86995618E-01 -9.32125319E+00 -9.32125319E+00 0.00000000E+00
0080 2.09676361E+00 4.39641953E+00 1.93285382E+01 6.66666088E-01 5.94771656E-04 1.00700754E+00 -9.19163783E+00 -9.19163783E+00 0.00000000E+00
0100 2.07406074E+00 4.30172981E+00 1.85049111E+01 6.66666096E-01 4.59532269E-04 9.09502497E-01 -9.06073646E+00 -9.06073646E+00 0.00000000E+00
0120 2.05117427E+00 4.20732113E+00 1.77016393E+01 6.66665006E-01 1.08974331E-03 1.01187311E+00 -8.92915480E+00 -8.92915480E+00 0.00000000E+00
0140 2.02683243E+00 4.10805824E+00 1.68762824E+01 6.66663903E-01 1.51812432E-03 1.06447867E+00 -8.79635593E+00 -8.79635593E+00 0.00000000E+00
0160 2.00403770E+00 4.01617854E+00 1.61298734E+01 6.66662878E-01 1.78362510E-03 1.12106676E+00 -8.66260542E+00 -8.66260542E+00 0.00000000E+00
0180 1.97844992E+00 3.91427593E+00 1.53217418E+01 6.66662626E-01 1.64465251E-03 1.02784382E+00 -8.52748824E+00 -8.52748824E+00 0.00000000E+00
0200 1.95192232E+00 3.81002439E+00 1.45166459E+01 6.66658399E-01 2.95041688E-03 1.10825771E+00 -8.39106772E+00 -8.39106772E+00 0.00000000E+00
0220 1.92959004E+00 3.72332951E+00 1.38633584E+01 6.66662441E-01 1.33848445E-03 1.01657043E+00 -8.25376472E+00 -8.25376472E+00 0.00000000E+00
0240 1.90093796E+00 3.61360458E+00 1.30587073E+01 6.66652135E-01 4.09929706E-03 1.02985110E+00 -8.11489391E+00 -8.11489391E+00 0.00000000E+00
0260 1.87948285E+00 3.53247168E+00 1.24785803E+01 6.66660679E-01 1.52404675E-03 1.11816927E+00 -7.97402873E+00 -7.97402873E+00 0.00000000E+00
0280 1.84912724E+00 3.41930673E+00 1.16921398E+01 6.66652945E-01 3.13568300E-03 1.11546047E+00 -7.83219832E+00 -7.83219832E+00 0.00000000E+00
0300 1.82317754E+00 3.32400584E+00 1.10494057E+01 6.66654873E-01 2.45183519E-03 1.08799071E+00 -7.68775375E+00 -7.68775375E+00 0.00000000E+00
0320 1.79531072E+00 3.22319865E+00 1.03897562E+01 6.66642710E-01 4.52827479E-03 1.16041236E+00 -7.54239964E+00 -7.54239964E+00 0.00000000E+00
0340 1.76787188E+00 3.12543702E+00 9.76917917E+00 6.66638597E-01 4.84660448E-03 1.13025509E+00 -7.39459832E+00 -7.39459832E+00 0.00000000E+00
0360 1.73634736E+00 3.01496888E+00 9.09083881E+00 6.66637277E-01 4.62381764E-03 1.21875001E+00 -7.24454427E+00 -7.24454427E+00 0.00000000E+00
0380 1.70173587E+00 2.89618081E+00 8.39100486E+00 6.66541821E-01 1.81109059E-02 1.30069096E+00 -7.09166520E+00 -7.09166520E+00 0.00000000E+00
