# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,1168.7,1.469,-0.670702,0.000344,0.000198,0.666667
1.0,1168.3,1.468,-0.670358,0.000344,3e-06,0.666667
10.0,1164.7,1.464,-0.667251,0.000346,4.6e-05,0.666667
20.0,1160.8,1.459,-0.663791,0.000346,9.1e-05,0.666667
40.0,1152.8,1.449,-0.656841,0.000348,0.000105,0.666667
60.0,1144.3,1.438,-0.649858,0.00035,0.000498,0.666666
80.0,1136.1,1.428,-0.642834,0.000352,0.000634,0.666666
100.0,1128.1,1.418,-0.635763,0.000354,0.000179,0.666667
120.0,1119.9,1.407,-0.628659,0.000356,0.00026,0.666666
140.0,1111.8,1.397,-0.62151,0.000359,0.000354,0.666666
160.0,1102.9,1.386,-0.614311,0.000361,0.000574,0.666666
180.0,1094.4,1.375,-0.607066,0.000364,0.000499,0.666666
200.0,1085.7,1.364,-0.599771,0.000366,0.000353,0.666666
220.0,1076.8,1.353,-0.592422,0.000368,0.000331,0.666666
240.0,1067.4,1.341,-0.585036,0.000371,0.000759,0.666665
260.0,1058.0,1.33,-0.577577,0.000374,0.001128,0.666664
280.0,1048.5,1.318,-0.570062,0.000377,0.001037,0.666664
300.0,1039.9,1.307,-0.562486,0.000381,0.000713,0.666664
320.0,1029.5,1.294,-0.554831,0.000384,0.000966,0.666663
340.0,1019.7,1.281,-0.547146,0.000387,0.000864,0.666663
360.0,1010.2,1.269,-0.539352,0.000391,0.000901,0.666663
380.0,1000.8,1.258,-0.531492,0.000395,0.001167,0.666662
400.0,990.1,1.244,-0.52356,0.000399,0.000901,0.666662
420.0,977.8,1.229,-0.515527,0.000403,0.002093,0.666656
440.0,967.4,1.216,-0.507435,0.000408,0.001698,0.666657
460.0,957.9,1.204,-0.499217,0.000413,0.001317,0.666659
480.0,945.4,1.188,-0.490916,0.000417,0.002714,0.66665
500.0,933.3,1.173,-0.482518,0.000423,0.004155,0.666639
520.0,924.0,1.161,-0.473996,0.000428,0.001481,0.666656
540.0,911.2,1.145,-0.465403,0.000433,0.004047,0.666636
560.0,898.9,1.13,-0.456661,0.000439,0.001687,0.666653
580.0,887.0,1.115,-0.447835,0.000446,0.001677,0.666652
600.0,874.6,1.099,-0.438818,0.000453,0.001647,0.666652
620.0,859.8,1.08,-0.42973,0.000459,0.003188,0.666636
640.0,846.7,1.064,-0.420468,0.000466,0.001813,0.666648
660.0,833.3,1.047,-0.411094,0.000471,0.002486,0.666639
680.0,817.2,1.027,-0.40162,0.000478,0.004413,0.666615
700.0,802.9,1.009,-0.391983,0.000487,0.001953,0.666642
720.0,788.8,0.991,-0.382126,0.000495,0.001899,0.666641
740.0,767.3,0.964,-0.372181,0.000503,0.004857,0.666596
760.0,749.5,0.942,-0.362022,0.000512,0.01124,0.666492
780.0,733.7,0.922,-0.351706,0.00052,0.005009,0.666583
800.0,716.6,0.901,-0.341209,0.000532,0.003003,0.666613
820.0,695.5,0.874,-0.330446,0.000541,0.005868,0.666552
840.0,675.9,0.849,-0.319579,0.000552,0.004515,0.666571
860.0,650.4,0.817,-0.308379,0.000565,0.005482,0.666538
880.0,624.0,0.784,-0.296977,0.000579,0.014688,0.666287
900.0,595.3,0.748,-0.285202,0.000594,0.011791,0.666321
920.0,574.3,0.722,-0.273215,0.000613,0.009019,0.666377
940.0,540.7,0.679,-0.260687,0.000633,0.01878,0.665973
960.0,506.5,0.636,-0.247883,0.000653,0.014345,0.666052
980.0,465.7,0.585,-0.234554,0.000683,0.016477,0.665813
1000.0,419.6,0.527,-0.220563,0.00072,0.018654,0.665466
1020.0,363.6,0.457,-0.205738,0.000769,0.029922,0.664045
1040.0,283.8,0.357,-0.189809,0.000833,0.059505,0.658244
1050.0,215.2,0.27,-0.181299,0.000885,0.11672,0.638007
1060.0,116.3,0.146,-0.172105,0.000819,0.165121,0.548799
1080.0,45.9,0.058,-0.159713,0.000522,0.043648,0.440206
1100.0,28.2,0.035,-0.151225,0.000382,0.014707,0.455565
1120.0,22.3,0.028,-0.144414,0.000317,0.009246,0.433397
1140.0,18.3,0.023,-0.138559,0.000279,0.005865,0.448735
1160.0,16.0,0.02,-0.133268,0.000249,0.004623,0.430494
1180.0,14.2,0.018,-0.128618,0.000223,0.003574,0.444638
1200.0,13.6,0.017,-0.124347,0.000203,0.003097,0.451034
1220.0,12.3,0.015,-0.120493,0.000186,0.002508,0.452317
1240.0,11.4,0.014,-0.116904,0.000174,0.001947,0.461317
1260.0,10.8,0.014,-0.113547,0.000161,0.001811,0.456786
1280.0,10.3,0.013,-0.110468,0.000151,0.001591,0.46423
1300.0,9.7,0.012,-0.107519,0.00014,0.001537,0.439333
1320.0,9.4,0.012,-0.104858,0.000131,0.00138,0.43214
1340.0,9.0,0.011,-0.102292,0.000125,0.001236,0.437253
1360.0,8.4,0.011,-0.099876,0.000118,0.001177,0.415852
1380.0,8.3,0.01,-0.097555,0.000112,0.001085,0.421994
1400.0,8.1,0.01,-0.095384,0.000107,0.001009,0.431028
1420.0,7.7,0.01,-0.09328,0.000101,0.000891,0.434439
1440.0,7.6,0.01,-0.091337,9.6e-05,0.000803,0.441903
1460.0,7.3,0.009,-0.089447,9.2e-05,0.000716,0.45234
1480.0,7.3,0.009,-0.087659,8.8e-05,0.000772,0.437353
1500.0,7.0,0.009,-0.085923,8.4e-05,0.0007,0.428513
1520.0,7.1,0.009,-0.084295,8e-05,0.000705,0.42364
1540.0,6.7,0.008,-0.082717,7.6e-05,0.000605,0.437309
1560.0,6.6,0.008,-0.081237,7.3e-05,0.000578,0.445281
1580.0,6.6,0.008,-0.079778,7.1e-05,0.000569,0.449106
1600.0,12.5,0.016,-0.078397,6.9e-05,0.002216,0.420782
