#mammos csv v2
#----------------------------------------
# Magnetization and heat capacity from UppASD
#----------------------------------------
#ThermodynamicTemperature,SpontaneousMagnetization,IsochoricHeatCapacity
#https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4
#K,A / m,J / K
T,Ms,Cv
10.0,1354355.4114412225,1.31875450533e-22
100.0,1279714.5390509386,1.4607445904370002e-22
200.0,1189515.3122479063,1.533346018102e-22
300.0,1090235.8799895504,1.538092689364e-22
500.0,837080.0158197125,1.992823244004e-22
600.0,636027.063954392,2.640010746648e-22
620.0,583233.7489230231,2.915196182732e-22
640.0,513874.367418862,2.722505905047e-22
650.0,477019.09830857965,3.0074635747530005e-22
660.0,427277.7112304865,3.3926674070510005e-22
680.0,277751.2363781939,3.4321443039080006e-22
700.0,36132.47563864379,1.9020690432870004e-22
710.0,23731.619014032716,1.668630291016e-22
720.0,19106.34062415287,1.4013739221390002e-22
730.0,15387.40325970532,1.3693276782000001e-22
750.0,12455.441027863446,1.133501783808e-22
800.0,8756.298007452471,8.50276828597e-23
