# T <M> <M^2> <M^4> U_{Binder} χ C_v(tot) <E> <E_{exc}> <E_{lsf}> Cv_new
1.0000000000e+01 2.2579041900e+00 5.0981313400e+00 2.5990943400e+01 6.6666666400e-01 1.4568237600e-04 9.5517035700e-01 -8.5498351800e+00 -8.5498351800e+00 0.0000000000e+00 1.0212101498e+00
1.0000000000e+02 2.1334669100e+00 4.5516816900e+00 2.0717817400e+01 6.6666648700e-01 7.4849334200e-04 1.0580134300e+00 -7.9677187600e+00 -7.9677187600e+00 0.0000000000e+00 1.0425064147e+00
2.0000000000e+02 1.9830917100e+00 3.9326558300e+00 1.5465830500e+01 6.6666561800e-01 1.8834598500e-03 1.1105977200e+00 -7.2924475400e+00 -7.2924475400e+00 0.0000000000e+00 1.0990818068e+00
3.0000000000e+02 1.8175791500e+00 3.3036051400e+00 1.0913954500e+01 6.6666216000e-01 4.5390839800e-03 1.1140357600e+00 -6.5754847700e+00 -6.5754847700e+00 0.0000000000e+00 1.1897505476e+00
5.0000000000e+02 1.3955323600e+00 1.9475520500e+00 3.7932817400e+00 6.6663830100e-01 1.0107808500e-02 1.4433957400e+00 -4.9220769000e+00 -4.9220769000e+00 0.0000000000e+00 1.5330331769e+00
6.0000000000e+02 1.0603480900e+00 1.1244771700e+00 1.2650720600e+00 6.6650239300e-01 2.8243039600e-02 1.9121524200e+00 -3.8789807100e+00 -3.8789807100e+00 0.0000000000e+00 1.8641498839e+00
6.2000000000e+02 9.7233421900e-01 9.4554704500e-01 8.9448397800e-01 6.6650830100e-01 2.2244742500e-02 2.1114676200e+00 -3.6373408100e+00 -3.6373408100e+00 0.0000000000e+00 1.9751282559e+00
6.4000000000e+02 8.5670189700e-01 7.3412441100e-01 5.3948392800e-01 6.6632941300e-01 3.5456460500e-02 1.9719034200e+00 -3.3785919900e+00 -3.3785919900e+00 0.0000000000e+00 2.1366700748e+00
6.5000000000e+02 7.9525861400e-01 6.3260615400e-01 4.0061918000e-01 6.6630964200e-01 3.1841210500e-02 2.1782973600e+00 -3.2402862500e+00 -3.2402862500e+00 0.0000000000e+00 2.2223898894e+00
6.6000000000e+02 7.1233322400e-01 5.0768850700e-01 2.5829088000e-01 6.6596409300e-01 4.9815875800e-02 2.4572985500e+00 -3.0970763900e+00 -3.0970763900e+00 0.0000000000e+00 2.3440026668e+00
6.8000000000e+02 4.6305134300e-01 2.1489208200e-01 4.6585945300e-02 6.6372635500e-01 8.5193465100e-02 2.4858921500e+00 -2.7791540600e+00 -2.7791540600e+00 0.0000000000e+00 2.4094954333e+00
7.0000000000e+02 6.0238274000e-02 4.2197132700e-03 2.8380677300e-05 4.6870513600e-01 1.0286527900e-01 1.3776625000e+00 -2.4866429500e+00 -2.4866429500e+00 0.0000000000e+00 1.6829846498e+00
7.1000000000e+02 3.9563628100e-02 1.8081535900e-03 5.1222524700e-06 4.7776125100e-01 4.1672865300e-02 1.2085841500e+00 -2.3998798700e+00 -2.3998798700e+00 0.0000000000e+00 1.2675242652e+00
7.2000000000e+02 3.1853019600e-02 1.1892328400e-03 2.3375111800e-06 4.4906716900e-01 2.9545347200e-02 1.0150109100e+00 -2.3260825300e+00 -2.3260825300e+00 0.0000000000e+00 1.1101999376e+00
7.3000000000e+02 2.5653098200e-02 7.6570845400e-04 9.4117797800e-07 4.6491396300e-01 1.7961020600e-02 9.9180023700e-01 -2.2592481100e+00 -2.2592481100e+00 0.0000000000e+00 1.0064577108e+00
7.5000000000e+02 2.0764743300e-02 5.0579812400e-04 4.2250676900e-07 4.4949915700e-01 1.2121247700e-02 8.2099244900e-01 -2.1441143600e+00 -2.1441143600e+00 0.0000000000e+00 8.5286247118e-01
8.0000000000e+02 1.4597639900e-02 2.5145539600e-04 1.0700124300e-07 4.3591357400e-01 5.8421133300e-03 6.1585325600e-01 -1.9184011400e+00 -1.9184011400e+00 0.0000000000e+00 7.1274597645e-01
