# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,314.4,0.395,-0.467039,0.000339,259.690753,0.666597
5.0,287.1,0.361,-0.465342,0.000341,0.026116,0.666625
40.0,189.1,0.238,-0.452894,0.000375,0.018809,0.666114
75.0,65.6,0.082,-0.439106,0.000377,0.074813,0.633038
110.0,10.6,0.013,-0.426526,0.000316,0.013524,0.350771
145.0,9.0,0.011,-0.417009,0.000273,0.006469,0.391787
180.0,9.2,0.012,-0.407447,0.000275,0.006081,0.358194
215.0,9.3,0.012,-0.397752,0.000279,0.005711,0.342288
250.0,9.8,0.012,-0.387943,0.000283,0.004624,0.377026
285.0,10.9,0.014,-0.377952,0.000288,0.005451,0.356166
320.0,11.2,0.014,-0.367798,0.000293,0.004601,0.379915
355.0,11.6,0.015,-0.357448,0.000299,0.004945,0.334264
390.0,12.4,0.016,-0.346867,0.000305,0.004326,0.408
425.0,13.5,0.017,-0.33609,0.000313,0.004733,0.424173
460.0,13.3,0.017,-0.324953,0.000322,0.004316,0.392333
495.0,15.2,0.019,-0.313555,0.000332,0.005408,0.398951
530.0,14.8,0.019,-0.301739,0.000343,0.005074,0.371182
565.0,15.5,0.019,-0.28952,0.000356,0.005327,0.344779
600.0,16.6,0.021,-0.276799,0.000372,0.005325,0.361019
635.0,17.7,0.022,-0.263492,0.000391,0.006028,0.357493
670.0,18.0,0.023,-0.249423,0.000413,0.005435,0.383419
705.0,18.3,0.023,-0.234603,0.000437,0.005823,0.355649
740.0,19.7,0.025,-0.2188,0.000468,0.005581,0.390606
775.0,20.6,0.026,-0.201855,0.000509,0.00605,0.371247
810.0,21.1,0.027,-0.183186,0.000562,0.005362,0.396988
845.0,23.5,0.03,-0.162541,0.000634,0.006027,0.43213
880.0,26.8,0.034,-0.138841,0.00057,0.007421,0.441451
915.0,26.7,0.034,-0.122629,0.000387,0.007437,0.436994
950.0,24.7,0.031,-0.111722,0.000278,0.006263,0.424939
985.0,22.6,0.028,-0.103136,0.000224,0.00531,0.429182
1020.0,21.2,0.027,-0.096046,0.000187,0.00379,0.460264
1055.0,20.1,0.025,-0.090017,0.000161,0.003507,0.442159
1090.0,18.6,0.023,-0.084774,0.00014,0.003023,0.429911
1125.0,18.4,0.023,-0.08022,0.000123,0.002909,0.430821
1160.0,17.4,0.022,-0.076196,0.000109,0.002506,0.398044
1195.0,16.7,0.021,-0.072588,9.7e-05,0.002211,0.419699
1230.0,16.5,0.021,-0.069377,8.8e-05,0.002124,0.414939
1265.0,16.0,0.02,-0.06643,8.1e-05,0.001877,0.41973
1300.0,15.6,0.02,-0.063721,7.3e-05,0.001827,0.420152
1335.0,15.5,0.019,-0.061331,6.7e-05,0.00172,0.405145
1370.0,15.1,0.019,-0.059008,6.3e-05,0.00165,0.410463
1405.0,15.1,0.019,-0.056928,5.8e-05,0.001404,0.441267
1440.0,14.9,0.019,-0.054977,5.3e-05,0.001407,0.43926
1475.0,14.5,0.018,-0.053205,5e-05,0.001346,0.42614
1510.0,14.3,0.018,-0.05149,4.7e-05,0.001314,0.394546
1545.0,14.1,0.018,-0.049935,4.3e-05,0.001165,0.442961
1580.0,14.2,0.018,-0.04845,4.2e-05,0.001133,0.447349
