T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 4.47821582E-01 2.00554578E-01 4.02305519E-02 6.66596943E-01 2.59690753E+02 3.18044746E+07 -8.58168792E+00 -8.58168792E+00 0.00000000E+00
0005 4.08863774E-01 1.67174820E-01 2.79509134E-02 6.66625005E-01 2.61159111E-02 1.34880756E+00 -8.55049602E+00 -8.55049602E+00 0.00000000E+00
0040 2.69332912E-01 7.25703720E-02 5.27518773E-03 6.66114186E-01 1.88086101E-02 1.56701241E+00 -8.32176711E+00 -8.32176711E+00 0.00000000E+00
0075 9.33901143E-02 8.94660523E-03 8.81169555E-05 6.33037505E-01 7.48126261E-02 1.82694813E+00 -8.06842482E+00 -8.06842482E+00 0.00000000E+00
0110 1.51536008E-02 2.89256532E-04 1.62961756E-07 3.50770732E-01 1.35237664E-02 1.13246709E+00 -7.83727878E+00 -7.83727878E+00 0.00000000E+00
0145 1.27564616E-02 2.00323531E-04 7.32218349E-08 3.91787390E-01 6.46902371E-03 1.15708264E+00 -7.66239379E+00 -7.66239379E+00 0.00000000E+00
0180 1.31410416E-02 2.16557594E-04 9.02966831E-08 3.58194095E-01 6.08084361E-03 1.09670763E+00 -7.48669637E+00 -7.48669637E+00 0.00000000E+00
0215 1.32525325E-02 2.24847208E-04 9.97544292E-08 3.42287741E-01 5.71142466E-03 1.15540175E+00 -7.30855644E+00 -7.30855644E+00 0.00000000E+00
0250 1.40028887E-02 2.42417451E-04 1.09829548E-07 3.77025624E-01 4.62430349E-03 1.17774406E+00 -7.12831729E+00 -7.12831729E+00 0.00000000E+00
0285 1.55682788E-02 3.04641081E-04 1.79255384E-07 3.56165835E-01 5.45123644E-03 1.17148659E+00 -6.94473416E+00 -6.94473416E+00 0.00000000E+00
0320 1.59450309E-02 3.13255370E-04 1.82544803E-07 3.79915078E-01 4.60095730E-03 1.27003503E+00 -6.75816889E+00 -6.75816889E+00 0.00000000E+00
0355 1.65684317E-02 3.44880640E-04 2.37553060E-07 3.34264458E-01 4.94547091E-03 1.25452726E+00 -6.56798398E+00 -6.56798398E+00 0.00000000E+00
0390 1.76492989E-02 3.79125111E-04 2.55274916E-07 4.07999892E-01 4.32633756E-03 1.33634537E+00 -6.37355496E+00 -6.37355496E+00 0.00000000E+00
0425 1.92287036E-02 4.50365581E-04 3.50383218E-07 4.24173485E-01 4.73293032E-03 1.42600979E+00 -6.17554383E+00 -6.17554383E+00 0.00000000E+00
0460 1.89200300E-02 4.37536442E-04 3.48992087E-07 3.92332704E-01 4.31566907E-03 1.49012971E+00 -5.97090470E+00 -5.97090470E+00 0.00000000E+00
0495 2.16719685E-02 5.76969430E-04 6.00256483E-07 3.98950836E-01 5.40801277E-03 1.61646305E+00 -5.76146728E+00 -5.76146728E+00 0.00000000E+00
0530 2.11221730E-02 5.53922015E-04 5.78820079E-07 3.71181831E-01 5.07350451E-03 1.78730502E+00 -5.54434710E+00 -5.54434710E+00 0.00000000E+00
0565 2.20451735E-02 6.06614351E-04 7.23326592E-07 3.44778988E-01 5.32660243E-03 1.66520460E+00 -5.31983850E+00 -5.31983850E+00 0.00000000E+00
0600 2.35902065E-02 6.84544498E-04 8.98281299E-07 3.61019309E-01 5.32450897E-03 2.00262960E+00 -5.08608779E+00 -5.08608779E+00 0.00000000E+00
0635 2.51684702E-02 7.86867624E-04 1.19344549E-06 3.57492827E-01 6.02779874E-03 2.09822609E+00 -4.84158098E+00 -4.84158098E+00 0.00000000E+00
0670 2.55838854E-02 8.00486449E-04 1.18527492E-06 3.83419378E-01 5.43495065E-03 2.23049177E+00 -4.58306462E+00 -4.58306462E+00 0.00000000E+00
0705 2.59974660E-02 8.40395604E-04 1.36524618E-06 3.55649498E-01 5.82252826E-03 2.59122133E+00 -4.31075060E+00 -4.31075060E+00 0.00000000E+00
0740 2.80745252E-02 9.53716867E-04 1.66287088E-06 3.90605757E-01 5.58120919E-03 2.85560621E+00 -4.02037696E+00 -4.02037696E+00 0.00000000E+00
0775 2.93510309E-02 1.04940923E-03 2.07726117E-06 3.71246967E-01 6.04990038E-03 2.64414652E+00 -3.70902107E+00 -3.70902107E+00 0.00000000E+00
0810 3.00675557E-02 1.07812841E-03 2.10275154E-06 3.96988317E-01 5.36170268E-03 2.87275281E+00 -3.36598215E+00 -3.36598215E+00 0.00000000E+00
0845 3.34736712E-02 1.32460620E-03 2.98912425E-06 4.32129709E-01 6.02685068E-03 3.33591431E+00 -2.98663021E+00 -2.98663021E+00 0.00000000E+00
0880 3.81382542E-02 1.71627975E-03 4.93581149E-06 4.41451164E-01 7.42116514E-03 2.76478748E+00 -2.55115616E+00 -2.55115616E+00 0.00000000E+00
0915 3.80135512E-02 1.71778367E-03 4.98392609E-06 4.36993514E-01 7.43724285E-03 1.90661676E+00 -2.25326828E+00 -2.25326828E+00 0.00000000E+00
0950 3.51703312E-02 1.47544422E-03 3.75561057E-06 4.24939275E-01 6.26343861E-03 1.56554458E+00 -2.05285297E+00 -2.05285297E+00 0.00000000E+00
0985 3.22348072E-02 1.24872741E-03 2.67026401E-06 4.29181998E-01 5.31018982E-03 1.40903179E+00 -1.89508338E+00 -1.89508338E+00 0.00000000E+00
1020 3.01283551E-02 1.06268027E-03 1.82855498E-06 4.60263814E-01 3.79043432E-03 1.11467960E+00 -1.76481418E+00 -1.76481418E+00 0.00000000E+00
1055 2.86604975E-02 9.69717643E-04 1.57370073E-06 4.42159172E-01 3.50697203E-03 9.59343578E-01 -1.65402968E+00 -1.65402968E+00 0.00000000E+00
1090 2.64695572E-02 8.32707646E-04 1.18590245E-06 4.29911072E-01 3.02301900E-03 8.93264575E-01 -1.55768607E+00 -1.55768607E+00 0.00000000E+00
1125 2.62228912E-02 8.18788562E-04 1.14475745E-06 4.30821233E-01 2.90852971E-03 7.85164260E-01 -1.47402264E+00 -1.47402264E+00 0.00000000E+00
1160 2.47643397E-02 7.29776391E-04 9.61757576E-07 3.98044007E-01 2.50579149E-03 7.63238312E-01 -1.40007848E+00 -1.40007848E+00 0.00000000E+00
1195 2.38485951E-02 6.74641945E-04 7.92357659E-07 4.19698990E-01 2.21072679E-03 6.12899282E-01 -1.33378873E+00 -1.33378873E+00 0.00000000E+00
1230 2.34692837E-02 6.55502939E-04 7.54174477E-07 4.14938811E-01 2.12366569E-03 5.66019168E-01 -1.27478493E+00 -1.27478493E+00 0.00000000E+00
1265 2.27176106E-02 6.11242198E-04 6.50395775E-07 4.19730427E-01 1.87668613E-03 5.31645904E-01 -1.22063473E+00 -1.22063473E+00 0.00000000E+00
1300 2.22714763E-02 5.91191976E-04 6.07984865E-07 4.20151614E-01 1.82656206E-03 5.22125424E-01 -1.17085142E+00 -1.17085142E+00 0.00000000E+00
1335 2.20806071E-02 5.79587721E-04 5.99474917E-07 4.05144599E-01 1.72001410E-03 4.64850948E-01 -1.12693213E+00 -1.12693213E+00 0.00000000E+00
1370 2.14649436E-02 5.51335919E-04 5.37607000E-07 4.10462975E-01 1.64980417E-03 4.52752249E-01 -1.08424328E+00 -1.08424328E+00 0.00000000E+00
1405 2.15036686E-02 5.41485663E-04 4.91473014E-07 4.41266776E-01 1.40424012E-03 4.34748532E-01 -1.04603316E+00 -1.04603316E+00 0.00000000E+00
1440 2.12178076E-02 5.31418164E-04 4.75067892E-07 4.39259873E-01 1.40727202E-03 3.87063052E-01 -1.01017869E+00 -1.01017869E+00 0.00000000E+00
1475 2.05854891E-02 5.03320254E-04 4.36129739E-07 4.26140426E-01 1.34571726E-03 3.67166001E-01 -9.77620030E-01 -9.77620030E-01 0.00000000E+00
