#mammos csv v2
#----------------------------------------
# Magnetization and heat capacity from UppASD
#----------------------------------------
#ThermodynamicTemperature,SpontaneousMagnetization,IsochoricHeatCapacity
#https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4
#K,A / m,J / K
T,Ms,Cv
2.0,908.717350216406,8.782522289595e-23
5.0,602.3268100106975,8.963020055960999e-23
10.0,299.95714303603495,8.813599317936001e-23
50.0,817.8456151947654,6.67329790905e-23
100.0,877.3545390142468,5.287207771341001e-23
150.0,1051.056262595436,5.306032920456e-23
200.0,1222.3454622379975,5.321378834091001e-23
250.0,1360.6635013859814,5.699969357679e-23
300.0,1481.289698317363,5.906337725007001e-23
400.0,1682.3333598696652,8.311943265084001e-23
500.0,1852.8183848660174,3.6071346614130006e-23
600.0,1950.9276917035409,2.0519164018530004e-23
700.0,2010.436615523022,1.480253160807e-23
