# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,1558.2,1.958,-3.601579,0.001377,0.005896,0.666667
2.0,1557.4,1.957,-3.598825,0.001378,2e-06,0.666667
5.0,1556.1,1.955,-3.594685,0.00138,7e-06,0.666667
10.0,1554.1,1.953,-3.587783,0.001381,9e-06,0.666667
30.0,1545.7,1.942,-3.560098,0.001387,3.1e-05,0.666667
50.0,1537.3,1.932,-3.532315,0.001392,4.8e-05,0.666667
70.0,1528.8,1.921,-3.504401,0.001398,6.1e-05,0.666667
90.0,1520.3,1.91,-3.476389,0.001404,8.5e-05,0.666667
110.0,1511.6,1.9,-3.44824,0.00141,9.6e-05,0.666667
130.0,1502.9,1.889,-3.419983,0.001416,0.000106,0.666667
150.0,1494.1,1.878,-3.391608,0.001422,0.000172,0.666667
170.0,1485.3,1.866,-3.363091,0.001429,0.000139,0.666667
190.0,1476.3,1.855,-3.334444,0.001435,0.000187,0.666667
210.0,1467.3,1.844,-3.305694,0.001442,0.000189,0.666667
230.0,1458.1,1.832,-3.27675,0.001451,0.000307,0.666666
250.0,1449.0,1.821,-3.247668,0.001458,0.000246,0.666666
270.0,1439.8,1.809,-3.218439,0.001465,0.000325,0.666666
290.0,1430.4,1.797,-3.189074,0.001471,0.000307,0.666666
310.0,1421.1,1.786,-3.15958,0.001481,0.000315,0.666666
330.0,1411.5,1.774,-3.129844,0.00149,0.000444,0.666666
350.0,1401.6,1.761,-3.09998,0.001498,0.000417,0.666666
370.0,1391.9,1.749,-3.069934,0.001506,0.000481,0.666666
390.0,1382.0,1.737,-3.039728,0.001516,0.000495,0.666666
410.0,1372.2,1.724,-3.00931,0.001526,0.000523,0.666666
430.0,1362.0,1.712,-2.978691,0.001537,0.000459,0.666666
450.0,1351.9,1.699,-2.947845,0.001546,0.000477,0.666666
470.0,1341.8,1.686,-2.916869,0.001556,0.000595,0.666666
490.0,1330.6,1.672,-2.885618,0.001567,0.000629,0.666665
510.0,1320.3,1.659,-2.854198,0.001579,0.000627,0.666665
530.0,1309.5,1.646,-2.822469,0.001592,0.000779,0.666665
550.0,1298.8,1.632,-2.790512,0.001604,0.000759,0.666665
570.0,1288.0,1.619,-2.75831,0.001616,0.000692,0.666665
590.0,1276.7,1.604,-2.725865,0.001629,0.000687,0.666665
610.0,1264.7,1.589,-2.693134,0.001646,0.000811,0.666664
630.0,1253.7,1.575,-2.660041,0.00166,0.000778,0.666664
650.0,1242.3,1.561,-2.626739,0.001672,0.000731,0.666664
670.0,1230.1,1.546,-2.593168,0.001691,0.000825,0.666664
690.0,1217.7,1.53,-2.559109,0.00171,0.000949,0.666663
710.0,1205.7,1.515,-2.524778,0.001721,0.00099,0.666663
730.0,1193.3,1.5,-2.490266,0.001737,0.001081,0.666663
750.0,1180.0,1.483,-2.455298,0.001756,0.001216,0.666662
770.0,1167.2,1.467,-2.42003,0.001775,0.001222,0.666662
790.0,1153.9,1.45,-2.384311,0.001794,0.001236,0.666661
810.0,1140.2,1.433,-2.34825,0.001812,0.001178,0.666661
830.0,1126.1,1.415,-2.311848,0.001832,0.001223,0.666661
850.0,1112.4,1.398,-2.274981,0.001851,0.001462,0.666659
870.0,1097.5,1.379,-2.237813,0.001872,0.00158,0.666658
890.0,1082.9,1.361,-2.200088,0.0019,0.001341,0.666659
910.0,1067.8,1.342,-2.161827,0.00192,0.001423,0.666658
930.0,1051.8,1.322,-2.123278,0.001943,0.001845,0.666655
950.0,1036.8,1.303,-2.084088,0.001967,0.00161,0.666656
970.0,1019.1,1.281,-2.044583,0.001991,0.002026,0.666653
990.0,1003.4,1.261,-2.004441,0.002019,0.001714,0.666654
1010.0,986.0,1.239,-1.963817,0.002047,0.002269,0.666649
1030.0,968.0,1.216,-1.922546,0.002078,0.002117,0.666649
1050.0,950.1,1.194,-1.880699,0.002109,0.002467,0.666645
1070.0,930.4,1.169,-1.838184,0.00214,0.002125,0.666647
1090.0,911.4,1.145,-1.795087,0.00217,0.00245,0.666643
1110.0,891.0,1.12,-1.751388,0.002203,0.00298,0.666636
1130.0,869.3,1.092,-1.706948,0.002244,0.003193,0.666631
1150.0,847.6,1.065,-1.661615,0.002293,0.002932,0.666632
1170.0,825.1,1.037,-1.61521,0.002333,0.002638,0.666633
1190.0,799.4,1.005,-1.568313,0.002373,0.00367,0.666616
1210.0,773.8,0.972,-1.520306,0.002426,0.004083,0.666605
1230.0,747.0,0.939,-1.471268,0.00248,0.004638,0.666591
1250.0,718.4,0.903,-1.421093,0.002533,0.004561,0.666585
1270.0,687.2,0.864,-1.369935,0.002592,0.004749,0.666572
1290.0,654.0,0.822,-1.317418,0.002683,0.005546,0.666542
1310.0,614.9,0.773,-1.262632,0.00278,0.007257,0.66648
1330.0,572.9,0.72,-1.206225,0.002875,0.008848,0.666401
1350.0,523.3,0.658,-1.147642,0.002988,0.010964,0.666266
1370.0,466.6,0.586,-1.086687,0.003133,0.014445,0.665995
1390.0,393.5,0.494,-1.022335,0.00338,0.02187,0.665215
1410.0,279.0,0.351,-0.951479,0.003483,0.06227,0.65858
1430.0,83.8,0.105,-0.883034,0.002745,0.114287,0.513965
1450.0,38.9,0.049,-0.841677,0.00185,0.033563,0.435478
1470.0,28.5,0.036,-0.809038,0.001538,0.018888,0.416911
1490.0,23.6,0.03,-0.780176,0.001346,0.012523,0.430366
1510.0,20.0,0.025,-0.755181,0.001203,0.008245,0.451216
1530.0,17.5,0.022,-0.73206,0.001096,0.006624,0.433973
1550.0,15.7,0.02,-0.711337,0.000998,0.005366,0.440303
1570.0,14.4,0.018,-0.692138,0.000919,0.004273,0.434901
1590.0,13.2,0.017,-0.674577,0.000856,0.003551,0.439159
1610.0,12.2,0.015,-0.65788,0.000803,0.002853,0.466585
1630.0,11.5,0.014,-0.642468,0.00075,0.002666,0.445494
1650.0,11.2,0.014,-0.627878,0.000709,0.002633,0.406067
1670.0,10.8,0.014,-0.614124,0.000675,0.002244,0.441301
1690.0,10.2,0.013,-0.600859,0.000637,0.001905,0.449608
1710.0,9.8,0.012,-0.588645,0.000601,0.001809,0.435573
1730.0,9.5,0.012,-0.576836,0.000575,0.001572,0.455373
1750.0,9.1,0.011,-0.565647,0.000544,0.001531,0.434275
1770.0,8.7,0.011,-0.555058,0.000518,0.001471,0.420413
1790.0,8.5,0.011,-0.54492,0.000498,0.00143,0.420199
1810.0,8.4,0.011,-0.535152,0.000477,0.001249,0.423692
1830.0,8.1,0.01,-0.525825,0.000461,0.001089,0.445261
1850.0,7.9,0.01,-0.51673,0.000443,0.001067,0.447747
