T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 2.08805055E+00 4.35995512E+00 1.90092086E+01 6.66666667E-01 5.89616533E-03 4.04151927E+04 -1.65444486E+01 -1.65444486E+01 0.00000000E+00
0002 2.08700546E+00 4.35559181E+00 1.89711800E+01 6.66666667E-01 1.85908630E-06 1.02166487E+00 -1.65317973E+01 -1.65317973E+01 0.00000000E+00
0005 2.08531827E+00 4.34855227E+00 1.89099069E+01 6.66666667E-01 6.65504947E-06 1.07839432E+00 -1.65127790E+01 -1.65127790E+01 0.00000000E+00
0010 2.08255401E+00 4.33703120E+00 1.88098396E+01 6.66666666E-01 8.99094415E-06 9.54171441E-01 -1.64810731E+01 -1.64810731E+01 0.00000000E+00
0030 2.07136894E+00 4.29056931E+00 1.84089852E+01 6.66666664E-01 3.09842616E-05 1.01018637E+00 -1.63538997E+01 -1.63538997E+01 0.00000000E+00
0050 2.06008760E+00 4.24396095E+00 1.80112050E+01 6.66666659E-01 4.78151321E-05 9.43184792E-01 -1.62262734E+01 -1.62262734E+01 0.00000000E+00
0070 2.04877662E+00 4.19748567E+00 1.76188867E+01 6.66666653E-01 6.05011868E-05 9.25622252E-01 -1.60980447E+01 -1.60980447E+01 0.00000000E+00
0090 2.03729378E+00 4.15056601E+00 1.72271995E+01 6.66666642E-01 8.53728771E-05 9.89272191E-01 -1.59693684E+01 -1.59693684E+01 0.00000000E+00
0110 2.02566676E+00 4.10332593E+00 1.68372854E+01 6.66666632E-01 9.60193381E-05 8.97607555E-01 -1.58400598E+01 -1.58400598E+01 0.00000000E+00
0130 2.01404102E+00 4.05636135E+00 1.64540697E+01 6.66666621E-01 1.06281562E-04 9.35489180E-01 -1.57102555E+01 -1.57102555E+01 0.00000000E+00
0150 2.00226660E+00 4.00907178E+00 1.60726607E+01 6.66666581E-01 1.71608746E-04 9.67078359E-01 -1.55799103E+01 -1.55799103E+01 0.00000000E+00
0170 1.99047326E+00 3.96198403E+00 1.56973212E+01 6.66666587E-01 1.39435455E-04 9.68517558E-01 -1.54489132E+01 -1.54489132E+01 0.00000000E+00
0190 1.97833143E+00 3.91379561E+00 1.53178016E+01 6.66666545E-01 1.87028004E-04 9.16950866E-01 -1.53173203E+01 -1.53173203E+01 0.00000000E+00
0210 1.96626662E+00 3.86620482E+00 1.49475459E+01 6.66666529E-01 1.89129763E-04 9.99731142E-01 -1.51852527E+01 -1.51852527E+01 0.00000000E+00
0230 1.95401002E+00 3.81815587E+00 1.45783250E+01 6.66666420E-01 3.06651151E-04 9.66603051E-01 -1.50522912E+01 -1.50522912E+01 0.00000000E+00
0250 1.94183918E+00 3.77074001E+00 1.42184895E+01 6.66666449E-01 2.45679313E-04 1.01657259E+00 -1.49186982E+01 -1.49186982E+01 0.00000000E+00
0270 1.92938518E+00 3.72252806E+00 1.38572283E+01 6.66666352E-01 3.25168427E-04 9.80869851E-01 -1.47844298E+01 -1.47844298E+01 0.00000000E+00
0290 1.91690795E+00 3.67453698E+00 1.35022352E+01 6.66666343E-01 3.07208160E-04 1.02191278E+00 -1.46495386E+01 -1.46495386E+01 0.00000000E+00
0310 1.90434425E+00 3.62652799E+00 1.31517194E+01 6.66666307E-01 3.15239535E-04 1.01364923E+00 -1.45140539E+01 -1.45140539E+01 0.00000000E+00
0330 1.89148126E+00 3.57770284E+00 1.27999786E+01 6.66666120E-01 4.43989910E-04 1.02070104E+00 -1.43774538E+01 -1.43774538E+01 0.00000000E+00
0350 1.87831008E+00 3.52805021E+00 1.24471590E+01 6.66666114E-01 4.17315737E-04 1.08426828E+00 -1.42402722E+01 -1.42402722E+01 0.00000000E+00
0370 1.86526728E+00 3.47922380E+00 1.21050231E+01 6.66665983E-01 4.81184334E-04 1.12907194E+00 -1.41022498E+01 -1.41022498E+01 0.00000000E+00
0390 1.85192742E+00 3.42963710E+00 1.17624372E+01 6.66665915E-01 4.94906801E-04 1.04900735E+00 -1.39634909E+01 -1.39634909E+01 0.00000000E+00
0410 1.83882235E+00 3.38126977E+00 1.14330143E+01 6.66665820E-01 5.22533969E-04 1.07806097E+00 -1.38237651E+01 -1.38237651E+01 0.00000000E+00
0430 1.82512505E+00 3.33108344E+00 1.10961432E+01 6.66665875E-01 4.59335948E-04 1.12683996E+00 -1.36831105E+01 -1.36831105E+01 0.00000000E+00
0450 1.81159450E+00 3.28187678E+00 1.07707434E+01 6.66665793E-01 4.76786797E-04 1.15960851E+00 -1.35414138E+01 -1.35414138E+01 0.00000000E+00
0470 1.79813855E+00 3.23330503E+00 1.04542977E+01 6.66665512E-01 5.94844019E-04 1.10802454E+00 -1.33991217E+01 -1.33991217E+01 0.00000000E+00
0490 1.78316644E+00 3.17968563E+00 1.01104400E+01 6.66665371E-01 6.29204091E-04 1.23192326E+00 -1.32555629E+01 -1.32555629E+01 0.00000000E+00
0510 1.76929038E+00 3.13039166E+00 9.79939210E+00 6.66665301E-01 6.27489310E-04 1.19397646E+00 -1.31112315E+01 -1.31112315E+01 0.00000000E+00
0530 1.75486126E+00 3.07954216E+00 9.48363083E+00 6.66664877E-01 7.78582026E-04 1.17485226E+00 -1.29654783E+01 -1.29654783E+01 0.00000000E+00
0550 1.74053402E+00 3.02946286E+00 9.17769591E+00 6.66664825E-01 7.59218739E-04 1.15145975E+00 -1.28186795E+01 -1.28186795E+01 0.00000000E+00
0570 1.72605344E+00 2.97926442E+00 8.87606357E+00 6.66664898E-01 6.91959762E-04 1.16664694E+00 -1.26707535E+01 -1.26707535E+01 0.00000000E+00
