# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,565.1,0.71,-1.1366,0.001382,0.005073,0.666667
10.0,559.9,0.704,-1.122775,0.001387,9e-06,0.666667
30.0,549.3,0.69,-1.094864,0.001405,2.2e-05,0.666667
50.0,538.6,0.677,-1.066595,0.001423,3.6e-05,0.666667
70.0,527.5,0.663,-1.037949,0.001443,5.4e-05,0.666667
90.0,516.2,0.649,-1.008859,0.001466,7.4e-05,0.666666
110.0,504.6,0.634,-0.979303,0.001491,9.2e-05,0.666666
130.0,492.7,0.619,-0.949206,0.00152,0.000119,0.666666
150.0,480.3,0.604,-0.918516,0.00155,0.000156,0.666666
170.0,467.6,0.588,-0.887188,0.001585,0.000192,0.666666
190.0,454.3,0.571,-0.855123,0.001624,0.000226,0.666665
210.0,440.6,0.554,-0.82221,0.001667,0.000235,0.666665
230.0,426.2,0.536,-0.78844,0.001716,0.000305,0.666664
250.0,411.2,0.517,-0.753587,0.001768,0.000286,0.666664
270.0,395.5,0.497,-0.717708,0.001826,0.000361,0.666662
290.0,378.9,0.476,-0.680552,0.001892,0.000371,0.666661
310.0,361.5,0.454,-0.642029,0.001963,0.000436,0.666659
330.0,342.8,0.431,-0.602047,0.002042,0.000494,0.666656
350.0,323.1,0.406,-0.560334,0.002135,0.000542,0.666653
370.0,301.6,0.379,-0.516659,0.002237,0.000637,0.666647
390.0,277.9,0.349,-0.470843,0.002351,0.000812,0.666636
410.0,252.1,0.317,-0.422625,0.00248,0.00088,0.666624
430.0,222.5,0.28,-0.371656,0.002636,0.001023,0.6666
450.0,187.2,0.235,-0.317168,0.002848,0.001648,0.666508
470.0,139.6,0.175,-0.257721,0.003178,0.002836,0.666154
490.0,31.7,0.04,-0.190065,0.002343,0.034334,0.561886
510.0,6.3,0.008,-0.163989,0.001017,0.002571,0.432192
530.0,4.4,0.006,-0.149392,0.000636,0.001235,0.428982
550.0,3.6,0.005,-0.138556,0.000489,0.000721,0.441912
570.0,3.2,0.004,-0.129842,0.000401,0.000548,0.448534
590.0,2.9,0.004,-0.122507,0.00034,0.00044,0.448776
610.0,2.7,0.003,-0.116227,0.000297,0.000368,0.457556
630.0,2.5,0.003,-0.110646,0.000261,0.000326,0.433913
650.0,2.5,0.003,-0.105768,0.000233,0.000305,0.448209
670.0,2.4,0.003,-0.101332,0.000211,0.00025,0.463197
690.0,2.2,0.003,-0.097332,0.000191,0.000226,0.454042
710.0,2.2,0.003,-0.093689,0.000175,0.000219,0.452225
730.0,2.2,0.003,-0.09033,0.000162,0.000209,0.447704
750.0,2.2,0.003,-0.087227,0.000149,0.000194,0.441032
770.0,2.1,0.003,-0.084367,0.000138,0.000186,0.451511
790.0,2.1,0.003,-0.081704,0.000129,0.00017,0.441413
810.0,2.0,0.003,-0.079208,0.00012,0.000174,0.427151
830.0,2.0,0.003,-0.076891,0.000113,0.000154,0.427521
850.0,2.0,0.003,-0.074705,0.000107,0.000136,0.477119
870.0,2.0,0.003,-0.072628,0.0001,0.000142,0.439473
890.0,1.9,0.002,-0.070693,9.3e-05,0.000138,0.442783
910.0,1.9,0.002,-0.068893,8.9e-05,0.000122,0.463966
930.0,1.9,0.002,-0.067137,8.5e-05,0.00013,0.435419
950.0,1.9,0.002,-0.0655,8e-05,0.000121,0.458814
970.0,1.9,0.002,-0.063933,7.6e-05,0.00012,0.440815
990.0,1.9,0.002,-0.062454,7.3e-05,0.000108,0.456971
1010.0,1.9,0.002,-0.061007,7e-05,0.000111,0.446671
1030.0,1.9,0.002,-0.059671,6.6e-05,0.000102,0.460131
1050.0,1.9,0.002,-0.058361,6.3e-05,9.7e-05,0.470897
1070.0,1.9,0.002,-0.057158,6e-05,0.000102,0.452758
1090.0,1.9,0.002,-0.055962,5.8e-05,9.4e-05,0.467577
1110.0,1.8,0.002,-0.054857,5.5e-05,9.3e-05,0.449292
1130.0,1.9,0.002,-0.053774,5.3e-05,9.9e-05,0.442397
1150.0,1.9,0.002,-0.052718,5.1e-05,9.6e-05,0.442254
1170.0,1.9,0.002,-0.051722,4.9e-05,9.6e-05,0.443524
1190.0,1.8,0.002,-0.050755,4.7e-05,9.1e-05,0.438796
1210.0,1.8,0.002,-0.04986,4.5e-05,8.6e-05,0.45611
1230.0,1.8,0.002,-0.048954,4.5e-05,8.1e-05,0.450132
1250.0,1.8,0.002,-0.048074,4.3e-05,8.5e-05,0.440912
1270.0,1.8,0.002,-0.047236,4e-05,8.1e-05,0.448803
1290.0,1.8,0.002,-0.046464,3.9e-05,8e-05,0.45145
1310.0,1.8,0.002,-0.045694,3.8e-05,8.5e-05,0.425985
1330.0,1.8,0.002,-0.044952,3.7e-05,8.1e-05,0.436776
1350.0,1.8,0.002,-0.04423,3.6e-05,7.9e-05,0.440014
1370.0,1.8,0.002,-0.043513,3.5e-05,7.5e-05,0.444011
1390.0,1.8,0.002,-0.042825,3.3e-05,7.6e-05,0.446071
1410.0,1.8,0.002,-0.042185,3.2e-05,7.3e-05,0.454584
1430.0,1.8,0.002,-0.041536,3.1e-05,6.8e-05,0.449413
1450.0,1.8,0.002,-0.04093,3e-05,6.7e-05,0.456533
1470.0,1.8,0.002,-0.040324,3e-05,6.9e-05,0.447803
1490.0,1.8,0.002,-0.039737,2.9e-05,6.9e-05,0.442485
1510.0,1.8,0.002,-0.039166,2.7e-05,6.8e-05,0.44557
1530.0,1.8,0.002,-0.038642,2.7e-05,6.6e-05,0.458514
1550.0,1.8,0.002,-0.03809,2.7e-05,6.5e-05,0.441425
1570.0,1.8,0.002,-0.037577,2.5e-05,6.6e-05,0.434851
1600.0,1.7,0.002,-0.036844,2.4e-05,5.8e-05,0.456361
