T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 7.54587937E-01 5.69402955E-01 3.24219725E-01 6.66666667E-01 5.07294098E-03 8.64898063E+03 -5.22115998E+00 -5.22115998E+00 0.00000000E+00
0010 7.47680216E-01 5.59025707E-01 3.12509743E-01 6.66666665E-01 8.71257614E-06 1.01472992E+00 -5.15765418E+00 -5.15765418E+00 0.00000000E+00
0030 7.33572255E-01 5.38128259E-01 2.89582038E-01 6.66666650E-01 2.19501766E-05 1.05605328E+00 -5.02943649E+00 -5.02943649E+00 0.00000000E+00
0050 7.19182770E-01 5.17223874E-01 2.67520573E-01 6.66666620E-01 3.60509786E-05 1.04757183E+00 -4.89958119E+00 -4.89958119E+00 0.00000000E+00
0070 7.04476385E-01 4.96287014E-01 2.46300876E-01 6.66666565E-01 5.39377133E-05 1.08549125E+00 -4.76798922E+00 -4.76798922E+00 0.00000000E+00
0090 6.89355502E-01 4.75211075E-01 2.25825692E-01 6.66666479E-01 7.40270454E-05 1.08214292E+00 -4.63436194E+00 -4.63436194E+00 0.00000000E+00
0110 6.73882229E-01 4.54117360E-01 2.06222762E-01 6.66666367E-01 9.24818759E-05 1.04336375E+00 -4.49858885E+00 -4.49858885E+00 0.00000000E+00
0130 6.57901993E-01 4.32835187E-01 1.87346567E-01 6.66666190E-01 1.18865894E-04 1.08649415E+00 -4.36033359E+00 -4.36033359E+00 0.00000000E+00
0150 6.41416983E-01 4.11415981E-01 1.69263495E-01 6.66665907E-01 1.55864396E-04 1.08945776E+00 -4.21935319E+00 -4.21935319E+00 0.00000000E+00
0170 6.24405180E-01 3.89882157E-01 1.52008608E-01 6.66665546E-01 1.92436379E-04 1.12495503E+00 -4.07544651E+00 -4.07544651E+00 0.00000000E+00
0190 6.06682341E-01 3.68063892E-01 1.35471661E-01 6.66665112E-01 2.25515367E-04 1.22650647E+00 -3.92815047E+00 -3.92815047E+00 0.00000000E+00
0210 5.88319013E-01 3.46119756E-01 1.19799572E-01 6.66664758E-01 2.35459090E-04 1.16296643E+00 -3.77695910E+00 -3.77695910E+00 0.00000000E+00
0230 5.69079631E-01 3.23852329E-01 1.04881240E-01 6.66663777E-01 3.04699885E-04 1.18689056E+00 -3.62183027E+00 -3.62183027E+00 0.00000000E+00
0250 5.49108585E-01 3.01520954E-01 9.09157494E-02 6.66663500E-01 2.85884005E-04 1.35520396E+00 -3.46172592E+00 -3.46172592E+00 0.00000000E+00
0270 5.28206100E-01 2.79002660E-01 7.78435728E-02 6.66662005E-01 3.60565103E-04 1.30294849E+00 -3.29691211E+00 -3.29691211E+00 0.00000000E+00
0290 5.05987540E-01 2.56024469E-01 6.55496326E-02 6.66661053E-01 3.70978352E-04 1.33625459E+00 -3.12622587E+00 -3.12622587E+00 0.00000000E+00
0310 4.82693643E-01 2.32994506E-01 5.42877008E-02 6.66658923E-01 4.35601304E-04 1.39355021E+00 -2.94926446E+00 -2.94926446E+00 0.00000000E+00
0330 4.57824908E-01 2.09605281E-01 4.39357436E-02 6.66656273E-01 4.94208232E-04 1.44397265E+00 -2.76560070E+00 -2.76560070E+00 0.00000000E+00
0350 4.31401552E-01 1.86109202E-01 3.46380514E-02 6.66653035E-01 5.42466918E-04 1.55824833E+00 -2.57398650E+00 -2.57398650E+00 0.00000000E+00
0370 4.02717231E-01 1.62183528E-01 2.63050284E-02 6.66647258E-01 6.36689344E-04 1.66131624E+00 -2.37335955E+00 -2.37335955E+00 0.00000000E+00
