# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
10.0,1644.8,2.067,-3.24052,0.001385,1.5e-05,0.666667
30.0,1634.5,2.054,-3.212825,0.001387,5.5e-05,0.666667
50.0,1624.2,2.041,-3.185024,0.001394,0.000106,0.666667
70.0,1613.8,2.028,-3.157082,0.0014,0.000124,0.666667
90.0,1603.1,2.015,-3.129009,0.001407,0.000205,0.666667
110.0,1592.6,2.001,-3.100805,0.001413,0.000195,0.666667
130.0,1581.9,1.988,-3.072484,0.00142,0.000225,0.666667
150.0,1571.1,1.974,-3.044003,0.001428,0.000227,0.666667
170.0,1560.2,1.961,-3.015375,0.001435,0.00037,0.666666
190.0,1549.1,1.947,-2.986605,0.001443,0.00027,0.666667
210.0,1538.1,1.933,-2.957667,0.001451,0.000353,0.666666
230.0,1526.6,1.918,-2.928572,0.001459,0.000422,0.666666
250.0,1515.5,1.904,-2.899302,0.001468,0.000338,0.666666
270.0,1503.7,1.89,-2.869868,0.001475,0.000526,0.666666
290.0,1492.2,1.875,-2.840285,0.001486,0.000485,0.666666
310.0,1480.2,1.86,-2.810444,0.001496,0.00062,0.666666
330.0,1468.2,1.845,-2.780464,0.001505,0.000587,0.666666
350.0,1456.4,1.83,-2.750249,0.001516,0.000644,0.666666
370.0,1444.4,1.815,-2.719819,0.001525,0.000506,0.666666
390.0,1431.9,1.799,-2.689252,0.001536,0.000833,0.666666
410.0,1419.1,1.783,-2.658371,0.001549,0.001025,0.666665
430.0,1406.2,1.767,-2.627297,0.001563,0.000856,0.666665
450.0,1393.8,1.752,-2.595864,0.001576,0.000946,0.666665
470.0,1380.4,1.735,-2.564256,0.001587,0.000935,0.666665
490.0,1367.2,1.718,-2.532376,0.001603,0.000867,0.666665
510.0,1353.4,1.701,-2.500136,0.001618,0.000988,0.666665
530.0,1339.8,1.684,-2.467637,0.001634,0.000931,0.666665
550.0,1325.5,1.666,-2.434794,0.001651,0.001574,0.666663
570.0,1311.4,1.648,-2.401588,0.001671,0.001399,0.666663
590.0,1296.5,1.629,-2.367938,0.001689,0.001512,0.666663
610.0,1281.5,1.61,-2.334044,0.00171,0.00149,0.666663
630.0,1265.8,1.591,-2.299531,0.001733,0.002044,0.666661
650.0,1250.5,1.571,-2.264717,0.001754,0.001791,0.666661
670.0,1234.7,1.552,-2.229384,0.001778,0.001963,0.66666
690.0,1218.0,1.531,-2.193597,0.001805,0.001757,0.666661
710.0,1200.3,1.508,-2.157188,0.001832,0.002284,0.666658
730.0,1183.5,1.487,-2.120335,0.001863,0.002123,0.666659
750.0,1165.7,1.465,-2.082683,0.001897,0.002149,0.666658
770.0,1146.6,1.441,-2.044448,0.001926,0.003328,0.666652
790.0,1128.3,1.418,-2.005657,0.001962,0.003155,0.666652
810.0,1108.9,1.393,-1.965954,0.002002,0.002654,0.666654
830.0,1087.1,1.366,-1.925587,0.002044,0.002676,0.666653
850.0,1066.0,1.34,-1.884192,0.002087,0.003548,0.666647
870.0,1044.2,1.312,-1.842099,0.002128,0.00427,0.666642
890.0,1020.9,1.283,-1.799074,0.002187,0.003318,0.666646
910.0,996.1,1.252,-1.754606,0.002241,0.003576,0.666643
930.0,969.4,1.218,-1.70943,0.0023,0.003524,0.666641
950.0,942.5,1.184,-1.662597,0.002364,0.003463,0.66664
970.0,911.8,1.146,-1.614878,0.002433,0.004467,0.666629
990.0,879.1,1.105,-1.565293,0.002515,0.005478,0.666615
1010.0,845.1,1.062,-1.514287,0.002592,0.007709,0.666587
1030.0,808.3,1.016,-1.461612,0.002691,0.006057,0.666597
1050.0,766.6,0.963,-1.406665,0.002809,0.007629,0.666567
1070.0,720.7,0.906,-1.349254,0.002932,0.008982,0.666532
1090.0,664.4,0.835,-1.289376,0.003068,0.011825,0.666454
1110.0,601.3,0.756,-1.226551,0.003247,0.016193,0.666305
1130.0,523.2,0.657,-1.159504,0.0035,0.021738,0.66601
1150.0,407.8,0.512,-1.086547,0.003847,0.056021,0.663918
1170.0,171.9,0.216,-1.005631,0.003371,0.309252,0.603294
1190.0,49.0,0.062,-0.951688,0.002297,0.058673,0.470263
1210.0,31.0,0.039,-0.913747,0.001774,0.025848,0.446218
1230.0,24.0,0.03,-0.880737,0.001553,0.01502,0.45857
1250.0,20.8,0.026,-0.851607,0.001385,0.010561,0.48213
1270.0,17.1,0.021,-0.82533,0.001259,0.007575,0.431305
1290.0,15.8,0.02,-0.801257,0.00116,0.006106,0.456902
1310.0,14.6,0.018,-0.778915,0.001077,0.004787,0.476284
1330.0,13.3,0.017,-0.758165,0.001004,0.004445,0.439085
1350.0,12.5,0.016,-0.738739,0.000937,0.003944,0.433976
1370.0,11.6,0.015,-0.720672,0.000881,0.003329,0.432418
1390.0,11.2,0.014,-0.703496,0.00083,0.002833,0.45831
1410.0,10.5,0.013,-0.687476,0.000791,0.002591,0.432212
1430.0,10.0,0.013,-0.671874,0.000754,0.002358,0.426557
1450.0,9.8,0.012,-0.657309,0.00071,0.002288,0.428283
1470.0,9.5,0.012,-0.643464,0.000677,0.002055,0.448386
1490.0,9.4,0.012,-0.630227,0.000649,0.00193,0.430013
1510.0,8.8,0.011,-0.617492,0.000615,0.001616,0.454599
1530.0,8.6,0.011,-0.605643,0.000588,0.001572,0.446264
1550.0,8.3,0.01,-0.59398,0.000569,0.001536,0.428776
1570.0,8.2,0.01,-0.582888,0.00054,0.001475,0.429172
1600.0,7.9,0.01,-0.567316,0.000519,0.00132,0.435989
