T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0910 1.33616761E+00 1.78537351E+00 3.18777002E+00 6.66644555E-01 3.24963508E-03 1.67000548E+00 -7.99139114E+00 -7.99139114E+00 0.00000000E+00
0930 1.30365140E+00 1.69954609E+00 2.88872295E+00 6.66635967E-01 4.19879182E-03 1.70574672E+00 -7.78152677E+00 -7.78152677E+00 0.00000000E+00
0950 1.26552074E+00 1.60158370E+00 2.56533275E+00 6.66632568E-01 4.30363316E-03 1.61209680E+00 -7.56671973E+00 -7.56671973E+00 0.00000000E+00
0970 1.22380577E+00 1.49775036E+00 2.24355434E+00 6.66622355E-01 5.12297453E-03 1.65537673E+00 -7.34529495E+00 -7.34529495E+00 0.00000000E+00
0990 1.17972255E+00 1.39180818E+00 1.93747975E+00 6.66606483E-01 6.33775054E-03 1.96507054E+00 -7.11616429E+00 -7.11616429E+00 0.00000000E+00
1010 1.13280654E+00 1.28330371E+00 1.64714067E+00 6.66611561E-01 5.24156906E-03 1.94700142E+00 -6.87906215E+00 -6.87906215E+00 0.00000000E+00
1030 1.08098851E+00 1.16861904E+00 1.36605663E+00 6.66572408E-01 8.03030702E-03 2.02736592E+00 -6.63495663E+00 -6.63495663E+00 0.00000000E+00
1050 1.02158702E+00 1.04375564E+00 1.08990783E+00 6.66519190E-01 1.09879899E-02 2.11377311E+00 -6.37998963E+00 -6.37998963E+00 0.00000000E+00
1070 9.57841339E-01 9.17558488E-01 8.42274521E-01 6.66523761E-01 9.18306833E-03 2.09541471E+00 -6.11301871E+00 -6.11301871E+00 0.00000000E+00
1090 8.80189442E-01 7.74856663E-01 6.00784596E-01 6.66454727E-01 1.12807294E-02 2.26555253E+00 -5.83536849E+00 -5.83536849E+00 0.00000000E+00
1110 7.89576073E-01 6.23638994E-01 3.89443216E-01 6.66223033E-01 1.87565480E-02 2.45556150E+00 -5.54119754E+00 -5.54119754E+00 0.00000000E+00
1130 6.67655925E-01 4.46194682E-01 1.99838810E-01 6.65412432E-01 3.79981462E-02 2.65941958E+00 -5.22438704E+00 -5.22438704E+00 0.00000000E+00
1150 4.92697469E-01 2.43510811E-01 6.00128047E-02 6.62645758E-01 6.59548426E-02 2.61326819E+00 -4.88252999E+00 -4.88252999E+00 0.00000000E+00
1170 1.47912455E-01 2.42416402E-02 8.07659624E-04 5.41875925E-01 2.01604739E-01 2.04182298E+00 -4.52803409E+00 -4.52803409E+00 0.00000000E+00
1190 5.69519342E-02 3.81110104E-03 2.33562835E-05 4.63979307E-01 4.75993848E-02 1.40282702E+00 -4.31217452E+00 -4.31217452E+00 0.00000000E+00
1210 4.00298153E-02 1.88248660E-03 5.77055531E-06 4.57209088E-01 2.31020782E-02 1.23937549E+00 -4.14484453E+00 -4.14484453E+00 0.00000000E+00
1230 3.10569125E-02 1.14675500E-03 2.19947497E-06 4.42485092E-01 1.47849915E-02 1.06833769E+00 -4.00014587E+00 -4.00014587E+00 0.00000000E+00
1250 2.64461304E-02 8.30609880E-04 1.16352048E-06 4.37841745E-01 1.04757788E-02 1.02551942E+00 -3.87055642E+00 -3.87055642E+00 0.00000000E+00
1270 2.33466089E-02 6.44297133E-04 7.10016263E-07 4.29869016E-01 7.79785041E-03 9.16038078E-01 -3.75237067E+00 -3.75237067E+00 0.00000000E+00
1290 2.13035003E-02 5.34991359E-04 4.87787170E-07 4.31912043E-01 6.27817375E-03 8.26409472E-01 -3.64427418E+00 -3.64427418E+00 0.00000000E+00
1310 1.89196327E-02 4.20470776E-04 2.91270148E-07 4.50834699E-01 4.76275516E-03 7.78533682E-01 -3.54513045E+00 -3.54513045E+00 0.00000000E+00
1330 1.75280401E-02 3.59560643E-04 2.08173179E-07 4.63265856E-01 3.92652904E-03 7.34980555E-01 -3.45209901E+00 -3.45209901E+00 0.00000000E+00
1350 1.63032369E-02 3.10635608E-04 1.57095610E-07 4.57324370E-01 3.31478326E-03 6.59044494E-01 -3.36482051E+00 -3.36482051E+00 0.00000000E+00
1370 1.56667201E-02 2.88489106E-04 1.39904124E-07 4.39661546E-01 3.13548255E-03 6.48690249E-01 -3.28218003E+00 -3.28218003E+00 0.00000000E+00
1390 1.48946231E-02 2.62217336E-04 1.17238596E-07 4.31636013E-01 2.89827803E-03 6.31890867E-01 -3.20482964E+00 -3.20482964E+00 0.00000000E+00
1410 1.41888011E-02 2.38718316E-04 9.69292638E-08 4.33027263E-01 2.64686241E-03 5.43448036E-01 -3.13214784E+00 -3.13214784E+00 0.00000000E+00
1430 1.34442907E-02 2.12557370E-04 7.63273089E-08 4.36872989E-01 2.21987543E-03 5.26774577E-01 -3.06243909E+00 -3.06243909E+00 0.00000000E+00
1450 1.28514429E-02 1.94427817E-04 6.28965897E-08 4.45388279E-01 2.01442471E-03 5.18726168E-01 -2.99642332E+00 -2.99642332E+00 0.00000000E+00
1470 1.24034301E-02 1.83466634E-04 5.73763536E-08 4.31804874E-01 2.01100477E-03 4.67637794E-01 -2.93392159E+00 -2.93392159E+00 0.00000000E+00
1490 1.22964087E-02 1.77791035E-04 5.18482718E-08 4.53244306E-01 1.78091959E-03 4.46619551E-01 -2.87382030E+00 -2.87382030E+00 0.00000000E+00
1510 1.18033595E-02 1.64249328E-04 4.50625815E-08 4.43214894E-01 1.64766331E-03 4.63205434E-01 -2.81711194E+00 -2.81711194E+00 0.00000000E+00
1530 1.13608294E-02 1.52630545E-04 3.94586834E-08 4.35403182E-01 1.53689835E-03 4.34630875E-01 -2.76235674E+00 -2.76235674E+00 0.00000000E+00
1550 1.12859117E-02 1.49349272E-04 3.67831151E-08 4.50305958E-01 1.41503950E-03 3.96021528E-01 -2.71060431E+00 -2.71060431E+00 0.00000000E+00
1570 1.08038570E-02 1.38328019E-04 3.21392310E-08 4.40121346E-01 1.37331770E-03 3.96865373E-01 -2.65948828E+00 -2.65948828E+00 0.00000000E+00
1600 1.04596072E-02 1.28887861E-04 2.76290404E-08 4.45603453E-01 1.21532199E-03 3.75192296E-01 -2.58818618E+00 -2.58818618E+00 0.00000000E+00
