# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
20.0,1631.0,2.05,-1.670676,0.000694,2.6e-05,0.666667
40.0,1621.2,2.037,-1.656805,0.000695,6.7e-05,0.666667
60.0,1611.4,2.025,-1.642866,0.000698,7.9e-05,0.666667
80.0,1601.5,2.013,-1.628871,0.000701,0.00011,0.666667
100.0,1591.6,2.0,-1.61482,0.000704,0.000137,0.666667
120.0,1581.4,1.987,-1.600699,0.000708,0.000205,0.666667
140.0,1571.0,1.974,-1.586498,0.000711,0.000218,0.666666
160.0,1560.9,1.961,-1.572257,0.000714,0.000221,0.666666
180.0,1550.6,1.949,-1.557938,0.000718,0.000236,0.666666
200.0,1540.0,1.935,-1.543535,0.000723,0.000333,0.666666
220.0,1529.5,1.922,-1.529026,0.000726,0.000339,0.666666
240.0,1518.5,1.908,-1.514494,0.000729,0.000352,0.666666
260.0,1507.7,1.895,-1.499864,0.000734,0.000405,0.666666
280.0,1496.9,1.881,-1.485141,0.000738,0.000502,0.666666
300.0,1485.7,1.867,-1.470325,0.000743,0.000454,0.666666
320.0,1474.4,1.853,-1.455409,0.000748,0.000488,0.666666
340.0,1463.1,1.839,-1.440421,0.000752,0.000523,0.666666
360.0,1451.6,1.824,-1.425322,0.000757,0.000718,0.666665
380.0,1440.3,1.81,-1.410146,0.000762,0.000611,0.666665
400.0,1428.2,1.795,-1.39485,0.000768,0.000646,0.666665
420.0,1416.1,1.78,-1.379427,0.000773,0.000899,0.666664
440.0,1404.3,1.765,-1.36391,0.000779,0.000859,0.666664
460.0,1391.9,1.749,-1.348269,0.000786,0.000787,0.666664
480.0,1379.1,1.733,-1.332476,0.000792,0.001056,0.666663
500.0,1367.2,1.718,-1.316592,0.000799,0.000938,0.666663
520.0,1354.0,1.701,-1.300519,0.000807,0.001144,0.666662
540.0,1340.9,1.685,-1.28431,0.000814,0.000977,0.666663
560.0,1327.8,1.669,-1.267975,0.000821,0.000962,0.666662
580.0,1314.8,1.652,-1.25148,0.000832,0.001118,0.666661
600.0,1299.6,1.633,-1.234704,0.000839,0.001253,0.66666
620.0,1286.8,1.617,-1.217923,0.000849,0.001214,0.66666
640.0,1272.1,1.599,-1.200764,0.00086,0.00165,0.666658
660.0,1257.7,1.58,-1.183542,0.000868,0.001383,0.666659
680.0,1242.2,1.561,-1.166025,0.000881,0.001562,0.666657
700.0,1226.5,1.541,-1.148294,0.000893,0.001434,0.666657
720.0,1212.1,1.523,-1.13032,0.000904,0.00158,0.666656
740.0,1195.2,1.502,-1.112133,0.000919,0.001891,0.666653
760.0,1178.8,1.481,-1.093579,0.000934,0.001693,0.666654
780.0,1161.2,1.459,-1.074776,0.000948,0.001998,0.666651
800.0,1143.8,1.437,-1.055664,0.000964,0.002515,0.666645
820.0,1125.8,1.415,-1.036207,0.00098,0.001746,0.666651
840.0,1106.9,1.391,-1.016458,0.001,0.00247,0.666643
860.0,1086.5,1.365,-0.996209,0.001022,0.002624,0.66664
880.0,1066.5,1.34,-0.975563,0.00104,0.002706,0.666638
900.0,1045.9,1.314,-0.954614,0.001065,0.002453,0.666639
920.0,1024.3,1.287,-0.93297,0.001086,0.002795,0.666633
940.0,1002.5,1.26,-0.911177,0.001109,0.003042,0.666627
960.0,976.3,1.227,-0.888599,0.001143,0.003724,0.666615
980.0,951.6,1.196,-0.865449,0.001173,0.00351,0.666614
1000.0,923.5,1.161,-0.841668,0.001202,0.00346,0.66661
1020.0,896.0,1.126,-0.817382,0.001235,0.004457,0.666588
1040.0,863.9,1.086,-0.792265,0.001279,0.004849,0.666573
1060.0,829.5,1.042,-0.766208,0.001327,0.005695,0.666545
1080.0,790.9,0.994,-0.739193,0.001366,0.006283,0.666516
1100.0,750.7,0.943,-0.711566,0.00142,0.006755,0.666484
1120.0,703.6,0.884,-0.682391,0.001491,0.008993,0.666385
1140.0,650.7,0.818,-0.651913,0.001566,0.012951,0.666184
1160.0,584.8,0.735,-0.619754,0.001651,0.015641,0.665935
1180.0,506.4,0.636,-0.585887,0.001779,0.020735,0.665348
1200.0,389.3,0.489,-0.548596,0.001932,0.038214,0.662537
1220.0,162.0,0.204,-0.508625,0.001641,0.219364,0.556921
1240.0,65.5,0.082,-0.482975,0.00112,0.055281,0.458979
1260.0,46.8,0.059,-0.46382,0.000896,0.028115,0.468114
1280.0,35.1,0.044,-0.447154,0.000784,0.015901,0.465716
1300.0,28.5,0.036,-0.432451,0.000703,0.010751,0.448533
1320.0,26.0,0.033,-0.419018,0.000636,0.008785,0.439979
1340.0,22.8,0.029,-0.407016,0.000584,0.006833,0.437278
1360.0,21.1,0.027,-0.395661,0.000548,0.00552,0.444201
1380.0,19.2,0.024,-0.385081,0.000505,0.004568,0.442859
1400.0,17.8,0.022,-0.375465,0.000475,0.00373,0.442014
1420.0,16.8,0.021,-0.366069,0.000451,0.00346,0.441898
1440.0,16.5,0.021,-0.357436,0.000425,0.003028,0.467442
1460.0,15.2,0.019,-0.349082,0.000402,0.002763,0.425052
1480.0,14.7,0.018,-0.341364,0.000377,0.002555,0.437292
1500.0,14.5,0.018,-0.334018,0.000358,0.002248,0.463044
1520.0,13.7,0.017,-0.327044,0.000344,0.002169,0.421998
1540.0,13.2,0.017,-0.320276,0.000327,0.001981,0.41562
1560.0,12.9,0.016,-0.313984,0.00031,0.001652,0.46648
1580.0,12.4,0.016,-0.307862,0.0003,0.001711,0.440647
1600.0,11.9,0.015,-0.302,0.000287,0.001513,0.449908
1620.0,11.3,0.014,-0.296395,0.000275,0.00133,0.432445
1640.0,11.6,0.015,-0.290991,0.000266,0.00145,0.436682
1660.0,11.1,0.014,-0.285757,0.000254,0.001169,0.462037
1680.0,11.1,0.014,-0.280828,0.000244,0.001163,0.469683
1700.0,10.8,0.014,-0.276004,0.000237,0.001184,0.440227
1720.0,10.4,0.013,-0.271365,0.000223,0.001087,0.433083
1740.0,10.4,0.013,-0.267083,0.000215,0.001073,0.44896
1760.0,10.2,0.013,-0.26276,0.000213,0.001109,0.416573
1780.0,10.2,0.013,-0.258582,0.000205,0.00098,0.451674
1800.0,9.6,0.012,-0.254577,0.000195,0.000925,0.438422
1820.0,9.6,0.012,-0.250785,0.000188,0.000939,0.430188
1840.0,9.3,0.012,-0.247054,0.000187,0.000834,0.43623
1860.0,9.4,0.012,-0.243297,0.000181,0.000763,0.466259
1880.0,9.2,0.012,-0.239832,0.000174,0.000728,0.44937
1900.0,9.3,0.012,-0.23633,0.00017,0.000749,0.455951
1920.0,8.9,0.011,-0.23304,0.000162,0.000701,0.444964
