T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0020 2.26178323E+00 5.11566337E+00 2.61700120E+01 6.66666664E-01 2.56080080E-05 9.81898291E-01 -1.53490531E+01 -1.53490531E+01 0.00000000E+00
0040 2.24826828E+00 5.05471031E+00 2.55500974E+01 6.66666653E-01 6.65118099E-05 1.03221772E+00 -1.52216156E+01 -1.52216156E+01 0.00000000E+00
0060 2.23457642E+00 4.99333185E+00 2.49333649E+01 6.66666641E-01 7.86058884E-05 9.86637628E-01 -1.50935544E+01 -1.50935544E+01 0.00000000E+00
0080 2.22086022E+00 4.93222029E+00 2.43268005E+01 6.66666619E-01 1.09860766E-04 1.05065774E+00 -1.49649799E+01 -1.49649799E+01 0.00000000E+00
0100 2.20710492E+00 4.87131240E+00 2.37296898E+01 6.66666592E-01 1.36521202E-04 1.01440231E+00 -1.48358826E+01 -1.48358826E+01 0.00000000E+00
0120 2.19303504E+00 4.80940319E+00 2.31303685E+01 6.66666530E-01 2.04874776E-04 1.04005196E+00 -1.47061554E+01 -1.47061554E+01 0.00000000E+00
0140 2.17861127E+00 4.74634768E+00 2.25278279E+01 6.66666495E-01 2.17579223E-04 1.04364119E+00 -1.45756788E+01 -1.45756788E+01 0.00000000E+00
0160 2.16458523E+00 4.68542994E+00 2.19532670E+01 6.66666465E-01 2.20567090E-04 1.03914319E+00 -1.44448422E+01 -1.44448422E+01 0.00000000E+00
0180 2.15028026E+00 4.62370603E+00 2.13786732E+01 6.66666422E-01 2.35697523E-04 1.02252488E+00 -1.43132946E+01 -1.43132946E+01 0.00000000E+00
0200 2.13564871E+00 4.56099673E+00 2.08027155E+01 6.66666277E-01 3.32831754E-04 1.11298012E+00 -1.41809665E+01 -1.41809665E+01 0.00000000E+00
0220 2.12104954E+00 4.49885266E+00 2.02397021E+01 6.66666224E-01 3.38554531E-04 1.08793436E+00 -1.40476665E+01 -1.40476665E+01 0.00000000E+00
0240 2.10581932E+00 4.43447671E+00 1.96646137E+01 6.66666158E-01 3.51680561E-04 9.83816646E-01 -1.39141545E+01 -1.39141545E+01 0.00000000E+00
0260 2.09086652E+00 4.37172490E+00 1.91120155E+01 6.66666023E-01 4.04848763E-04 1.00291342E+00 -1.37797483E+01 -1.37797483E+01 0.00000000E+00
0280 2.07589409E+00 4.30933908E+00 1.85704518E+01 6.66665796E-01 5.01703739E-04 1.10988413E+00 -1.36444767E+01 -1.36444767E+01 0.00000000E+00
0300 2.06032649E+00 4.24494798E+00 1.80196297E+01 6.66665809E-01 4.54028023E-04 1.06796323E+00 -1.35083617E+01 -1.35083617E+01 0.00000000E+00
0320 2.04470599E+00 4.18082570E+00 1.74793558E+01 6.66665669E-01 4.88030408E-04 1.10500168E+00 -1.33713210E+01 -1.33713210E+01 0.00000000E+00
0340 2.02893756E+00 4.11659117E+00 1.69463815E+01 6.66665514E-01 5.22610687E-04 1.15505362E+00 -1.32336284E+01 -1.32336284E+01 0.00000000E+00
0360 2.01299477E+00 4.05215313E+00 1.64200290E+01 6.66664961E-01 7.18494860E-04 1.06009241E+00 -1.30948998E+01 -1.30948998E+01 0.00000000E+00
0380 1.99733657E+00 3.98935802E+00 1.59150516E+01 6.66665111E-01 6.11055286E-04 1.18908891E+00 -1.29554791E+01 -1.29554791E+01 0.00000000E+00
0400 1.98056750E+00 3.92265282E+00 1.53872864E+01 6.66664906E-01 6.46386840E-04 1.13199099E+00 -1.28149457E+01 -1.28149457E+01 0.00000000E+00
0420 1.96382207E+00 3.85660470E+00 1.48735165E+01 6.66664052E-01 8.98822302E-04 1.12117207E+00 -1.26732534E+01 -1.26732534E+01 0.00000000E+00
0440 1.94749534E+00 3.79274566E+00 1.43850346E+01 6.66664004E-01 8.59282243E-04 1.12670022E+00 -1.25306936E+01 -1.25306936E+01 0.00000000E+00
0460 1.93019119E+00 3.72564530E+00 1.38805410E+01 6.66664071E-01 7.87108900E-04 1.19474409E+00 -1.23869971E+01 -1.23869971E+01 0.00000000E+00
0480 1.91251170E+00 3.65771116E+00 1.33789994E+01 6.66662967E-01 1.05574615E-03 1.08886657E+00 -1.22418942E+01 -1.22418942E+01 0.00000000E+00
0500 1.89597083E+00 3.59471477E+00 1.29221093E+01 6.66663183E-01 9.37652262E-04 1.17837320E+00 -1.20959652E+01 -1.20959652E+01 0.00000000E+00
0520 1.87770348E+00 3.52578229E+00 1.24313089E+01 6.66662159E-01 1.14397908E-03 1.22002004E+00 -1.19482953E+01 -1.19482953E+01 0.00000000E+00
0540 1.85953953E+00 3.45789784E+00 1.19572036E+01 6.66662592E-01 9.76685529E-04 1.16119901E+00 -1.17993839E+01 -1.17993839E+01 0.00000000E+00
0560 1.84127931E+00 3.39032031E+00 1.14944183E+01 6.66662417E-01 9.62264519E-04 1.13150799E+00 -1.16493087E+01 -1.16493087E+01 0.00000000E+00
0580 1.82325621E+00 3.32427621E+00 1.10509851E+01 6.66661457E-01 1.11761392E-03 1.27877241E+00 -1.14977647E+01 -1.14977647E+01 0.00000000E+00
0600 1.80225257E+00 3.24812941E+00 1.05505403E+01 6.66660484E-01 1.25324428E-03 1.19830076E+00 -1.13436298E+01 -1.13436298E+01 0.00000000E+00
0620 1.78450827E+00 3.18448486E+00 1.01411359E+01 6.66660354E-01 1.21401261E-03 1.23329257E+00 -1.11894596E+01 -1.11894596E+01 0.00000000E+00
0640 1.76416425E+00 3.11229667E+00 9.68665382E+00 6.66657607E-01 1.65020086E-03 1.26864487E+00 -1.10318133E+01 -1.10318133E+01 0.00000000E+00
0660 1.74418756E+00 3.04220854E+00 9.25525539E+00 6.66658651E-01 1.38324559E-03 1.24803383E+00 -1.08735913E+01 -1.08735913E+01 0.00000000E+00
0680 1.72260229E+00 2.96737995E+00 8.80559617E+00 6.66657113E-01 1.56241109E-03 1.24547978E+00 -1.07126598E+01 -1.07126598E+01 0.00000000E+00
0700 1.70086223E+00 2.89295245E+00 8.36940660E+00 6.66657397E-01 1.43390220E-03 1.26886870E+00 -1.05497534E+01 -1.05497534E+01 0.00000000E+00
0720 1.68092308E+00 2.82552521E+00 7.98385014E+00 6.66655919E-01 1.58046410E-03 1.29757451E+00 -1.03846264E+01 -1.03846264E+01 0.00000000E+00
0740 1.65750752E+00 2.74735923E+00 7.54829071E+00 6.66653066E-01 1.89088446E-03 1.35808399E+00 -1.02175317E+01 -1.02175317E+01 0.00000000E+00
0760 1.63467333E+00 2.67218266E+00 7.14083568E+00 6.66653806E-01 1.69276937E-03 1.31789838E+00 -1.00470745E+01 -1.00470745E+01 0.00000000E+00
0780 1.61028832E+00 2.59305969E+00 6.72428228E+00 6.66650618E-01 1.99763312E-03 1.42232368E+00 -9.87432496E+00 -9.87432496E+00 0.00000000E+00
0800 1.58623628E+00 2.51618585E+00 6.33159626E+00 6.66645343E-01 2.51475495E-03 1.43976364E+00 -9.69873173E+00 -9.69873173E+00 0.00000000E+00
0820 1.56123005E+00 2.43746797E+00 5.94152974E+00 6.66650978E-01 1.74582744E-03 1.34512170E+00 -9.51997853E+00 -9.51997853E+00 0.00000000E+00
0840 1.53499187E+00 2.35624161E+00 5.55226636E+00 6.66643142E-01 2.47015999E-03 1.48454062E+00 -9.33853848E+00 -9.33853848E+00 0.00000000E+00
0860 1.50675448E+00 2.27035430E+00 5.15491908E+00 6.66640123E-01 2.62415893E-03 1.37710093E+00 -9.15249889E+00 -9.15249889E+00 0.00000000E+00
0880 1.47904055E+00 2.18760867E+00 4.78604901E+00 6.66637600E-01 2.70596616E-03 1.45407544E+00 -8.96281620E+00 -8.96281620E+00 0.00000000E+00
0900 1.45037303E+00 2.10362616E+00 4.42561541E+00 6.66638617E-01 2.45270505E-03 1.60304001E+00 -8.77035488E+00 -8.77035488E+00 0.00000000E+00
0920 1.42049467E+00 2.01785663E+00 4.07216120E+00 6.66632627E-01 2.79505573E-03 1.64802281E+00 -8.57150477E+00 -8.57150477E+00 0.00000000E+00
0940 1.39027224E+00 1.93291420E+00 3.73660051E+00 6.66627124E-01 3.04219344E-03 1.61595755E+00 -8.37128683E+00 -8.37128683E+00 0.00000000E+00
0960 1.35396196E+00 1.83328463E+00 3.36145746E+00 6.66614605E-01 3.72357280E-03 1.69059497E+00 -8.16384886E+00 -8.16384886E+00 0.00000000E+00
0980 1.31961462E+00 1.74145170E+00 3.03313377E+00 6.66613936E-01 3.51047902E-03 1.74369507E+00 -7.95116334E+00 -7.95116334E+00 0.00000000E+00
1000 1.28065325E+00 1.64014207E+00 2.69052085E+00 6.66610308E-01 3.45984024E-03 1.79722230E+00 -7.73268651E+00 -7.73268651E+00 0.00000000E+00
1020 1.24257442E+00 1.54408230E+00 2.38475266E+00 6.66588020E-01 4.45668960E-03 1.89643137E+00 -7.50955654E+00 -7.50955654E+00 0.00000000E+00
1040 1.19798539E+00 1.43527007E+00 2.06058012E+00 6.66572823E-01 4.84914406E-03 1.82658048E+00 -7.27879621E+00 -7.27879621E+00 0.00000000E+00
1060 1.15027510E+00 1.32325378E+00 1.75163933E+00 6.66545067E-01 5.69476966E-03 1.95581741E+00 -7.03940240E+00 -7.03940240E+00 0.00000000E+00
1080 1.09682258E+00 1.20315574E+00 1.44823705E+00 6.66516230E-01 6.28264533E-03 2.00070476E+00 -6.79120960E+00 -6.79120960E+00 0.00000000E+00
1100 1.04098629E+00 1.08380137E+00 1.17527046E+00 6.66483615E-01 6.75492428E-03 2.02048310E+00 -6.53739380E+00 -6.53739380E+00 0.00000000E+00
1120 9.75718817E-01 9.52229058E-01 9.07506634E-01 6.66384904E-01 8.99291395E-03 2.03450825E+00 -6.26934942E+00 -6.26934942E+00 0.00000000E+00
1140 9.02346595E-01 8.14525255E-01 6.64412028E-01 6.66184020E-01 1.29508471E-02 2.29703787E+00 -5.98934040E+00 -5.98934040E+00 0.00000000E+00
1160 8.10963235E-01 6.58024972E-01 4.33947100E-01 6.65935147E-01 1.56409196E-02 2.34406872E+00 -5.69388581E+00 -5.69388581E+00 0.00000000E+00
1180 7.02214215E-01 4.93595139E-01 2.44600282E-01 6.65347595E-01 2.07349789E-02 2.49289349E+00 -5.38273972E+00 -5.38273972E+00 0.00000000E+00
1200 5.39864479E-01 2.92372649E-01 8.65406981E-02 6.62537394E-01 3.82140983E-02 2.56047215E+00 -5.04013142E+00 -5.04013142E+00 0.00000000E+00
