# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,953.0,1.198,-2.115655,0.001546,121.276019,0.666666
10.0,948.2,1.192,-2.100195,0.00155,0.002788,0.666667
30.0,923.0,1.16,-2.069008,0.001565,0.006225,0.666666
50.0,899.9,1.131,-2.037614,0.001575,0.006492,0.666665
70.0,875.7,1.1,-2.006007,0.001586,0.004282,0.666665
90.0,853.9,1.073,-1.974177,0.001599,0.003851,0.666665
110.0,829.4,1.042,-1.942053,0.001613,0.009731,0.666662
130.0,809.4,1.017,-1.909663,0.001628,0.015153,0.666657
150.0,785.5,0.987,-1.87694,0.001645,0.011878,0.666658
170.0,764.5,0.961,-1.843881,0.001663,0.027744,0.666642
190.0,742.1,0.933,-1.810417,0.001684,0.014929,0.666651
210.0,713.6,0.897,-1.77654,0.001705,0.023776,0.666636
230.0,690.1,0.867,-1.742217,0.00173,0.026037,0.666628
250.0,667.6,0.839,-1.707323,0.001759,0.035275,0.666606
270.0,646.4,0.812,-1.671861,0.001791,0.025,0.666617
290.0,625.1,0.786,-1.635696,0.00183,0.024007,0.666612
310.0,598.6,0.752,-1.598652,0.001876,0.024843,0.666601
330.0,565.3,0.71,-1.560655,0.001932,0.019425,0.666605
350.0,528.5,0.664,-1.521364,0.002007,0.062973,0.666421
370.0,495.6,0.623,-1.480372,0.002106,0.0767,0.666311
390.0,454.2,0.571,-1.437144,0.002255,0.092468,0.666127
410.0,386.3,0.485,-1.390159,0.00253,0.126548,0.665589
430.0,224.7,0.282,-1.335947,0.002749,1.797451,0.629367
450.0,34.1,0.043,-1.280215,0.002626,0.182773,0.460845
470.0,23.2,0.029,-1.230907,0.002401,0.079897,0.477165
490.0,15.4,0.019,-1.184186,0.002283,0.034299,0.470736
510.0,12.0,0.015,-1.13959,0.002196,0.021668,0.450775
530.0,10.6,0.013,-1.096361,0.002115,0.015669,0.45288
550.0,8.8,0.011,-1.054999,0.002033,0.009496,0.471274
570.0,8.3,0.01,-1.015059,0.001958,0.009587,0.445942
590.0,7.2,0.009,-0.976683,0.001879,0.007119,0.433899
610.0,6.7,0.008,-0.939879,0.001802,0.00538,0.443662
630.0,6.4,0.008,-0.9046,0.001726,0.00486,0.4486
650.0,5.9,0.007,-0.870859,0.001647,0.003843,0.469781
670.0,5.5,0.007,-0.838705,0.001571,0.003497,0.4442
700.0,5.2,0.007,-0.793199,0.001517,0.002962,0.45969
