T,Ms,cv
0.0,1.63492371,1.0020661
10.0,1.62433027,1.00451177
20.0,1.6138531,1.00948297
40.0,1.59100519,1.01986626
60.0,1.56816428,1.03084106
80.0,1.54542242,1.04212409
100.0,1.52195347,1.0545275
120.0,1.49638424,1.06815126
140.0,1.47091732,1.08273643
160.0,1.4435852,1.09843811
180.0,1.4142407,1.11544318
200.0,1.38045631,1.13458085
220.0,1.35370705,1.15656814
240.0,1.32544881,1.17986918
260.0,1.29505494,1.20697531
280.0,1.25973598,1.23800787
300.0,1.22497251,1.2717431
320.0,1.18215441,1.31140207
340.0,1.15354878,1.35778319
360.0,1.09793652,1.4109856
380.0,1.05261258,1.46965766
400.0,1.00800261,1.53841199
420.0,0.940541159,1.62215896
440.0,0.881144582,1.71838074
460.0,0.813570804,1.83366491
480.0,0.742176844,1.97843856
500.0,0.617604271,2.16620072
520.0,0.4708932,2.45432723
525.0,0.390816926,2.5279068
530.0,0.375254534,2.64250898
535.0,0.212220781,2.81957983
540.0,0.117387856,2.68360811
560.0,0.0259298629,1.45123783
580.0,0.0172458998,1.01730824
600.0,0.0138215462,0.837593964
620.0,0.0112278744,0.716446126
640.0,0.0098347067,0.626453283
660.0,0.00893851887,0.556782773
680.0,0.00824040272,0.501117597
700.0,0.00781911471,0.454854819
720.0,0.00709159941,0.414974367
740.0,0.00696251189,0.380975423
760.0,0.00657396346,0.353209483
780.0,0.00628601316,0.328243007
800.0,0.00608321466,0.316082037
