# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,855.5,1.075,-2.907466,0.002328,7.83853,0.666667
10.0,849.1,1.067,-2.88419,0.002333,0.000447,0.666667
30.0,834.2,1.048,-2.837328,0.002353,0.000865,0.666667
50.0,819.5,1.03,-2.79008,0.002372,0.001236,0.666667
70.0,804.6,1.011,-2.742463,0.002392,0.001645,0.666666
90.0,789.8,0.992,-2.694395,0.002415,0.002275,0.666666
110.0,773.0,0.971,-2.645858,0.002439,0.003699,0.666666
130.0,756.8,0.951,-2.596823,0.002465,0.004094,0.666665
150.0,740.3,0.93,-2.547265,0.002494,0.005876,0.666664
170.0,724.2,0.91,-2.49708,0.002525,0.006438,0.666663
190.0,709.6,0.892,-2.446275,0.002558,0.00461,0.666664
210.0,691.6,0.869,-2.394742,0.002597,0.006888,0.666662
230.0,670.4,0.842,-2.342411,0.00264,0.010788,0.666657
250.0,649.0,0.816,-2.289135,0.002689,0.030666,0.666636
270.0,631.5,0.794,-2.234867,0.002744,0.008258,0.666657
290.0,613.2,0.771,-2.179364,0.002807,0.013155,0.66665
310.0,590.1,0.742,-2.122579,0.002879,0.018495,0.666639
330.0,571.8,0.719,-2.064193,0.002969,0.009963,0.66665
350.0,548.7,0.69,-2.003829,0.003074,0.020161,0.666628
370.0,520.9,0.655,-1.941228,0.0032,0.060911,0.666529
390.0,498.2,0.626,-1.875841,0.003364,0.019568,0.666616
410.0,464.7,0.584,-1.806679,0.003568,0.025959,0.666585
430.0,419.8,0.528,-1.733132,0.003832,0.049313,0.666466
450.0,380.6,0.478,-1.653408,0.004233,0.049471,0.666409
470.0,309.9,0.389,-1.563809,0.004904,0.041151,0.666332
490.0,147.8,0.186,-1.457264,0.005709,0.477347,0.649791
495.0,51.0,0.064,-1.42824,0.005169,0.633783,0.472833
500.0,27.9,0.035,-1.405578,0.004287,0.200312,0.476775
505.0,22.3,0.028,-1.385369,0.003942,0.130044,0.472436
510.0,17.5,0.022,-1.366156,0.003753,0.068144,0.512128
530.0,10.3,0.013,-1.29823,0.003192,0.027133,0.457515
550.0,8.3,0.01,-1.238457,0.00284,0.016599,0.453056
570.0,6.4,0.008,-1.184641,0.002586,0.010252,0.437609
590.0,5.7,0.007,-1.135016,0.002391,0.007559,0.456479
610.0,5.0,0.006,-1.088988,0.002221,0.005341,0.464069
630.0,4.6,0.006,-1.046188,0.002072,0.004798,0.44831
650.0,4.3,0.005,-1.006109,0.001936,0.003782,0.457685
670.0,3.9,0.005,-0.968743,0.001816,0.003278,0.44499
690.0,3.7,0.005,-0.933487,0.001705,0.002937,0.444289
710.0,3.5,0.004,-0.900536,0.0016,0.002487,0.446756
730.0,3.4,0.004,-0.869507,0.001512,0.002074,0.467037
750.0,3.2,0.004,-0.840058,0.001426,0.001888,0.448278
770.0,3.0,0.004,-0.812466,0.001345,0.001725,0.446531
800.0,2.9,0.004,-0.773642,0.001294,0.001567,0.437696
