# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,405.9,0.51,-0.348033,0.000692,0.007899,0.666667
10.0,402.3,0.506,-0.341108,0.000696,1.4e-05,0.666667
30.0,394.8,0.496,-0.327048,0.00071,2.7e-05,0.666667
50.0,387.0,0.486,-0.31269,0.000725,6.2e-05,0.666667
70.0,378.8,0.476,-0.298067,0.000734,0.000119,0.666666
90.0,370.1,0.465,-0.283343,0.000735,0.000124,0.666666
110.0,360.8,0.453,-0.268661,0.000733,0.00014,0.666666
130.0,350.9,0.441,-0.254021,0.000733,0.000193,0.666665
150.0,340.2,0.428,-0.239349,0.000738,0.000242,0.666664
170.0,328.7,0.413,-0.224508,0.000751,0.000298,0.666663
190.0,316.0,0.397,-0.209314,0.000773,0.000434,0.666661
210.0,302.2,0.38,-0.193571,0.000805,0.000509,0.666658
230.0,286.7,0.36,-0.177113,0.000849,0.000575,0.666655
250.0,268.8,0.338,-0.159624,0.000904,0.000744,0.666648
270.0,248.2,0.312,-0.140972,0.000968,0.000888,0.666639
290.0,223.1,0.28,-0.120887,0.001048,0.001276,0.666614
310.0,191.9,0.241,-0.099041,0.00115,0.001838,0.666556
330.0,148.3,0.186,-0.074882,0.00131,0.004215,0.666216
350.0,56.6,0.071,-0.046648,0.000989,0.062379,0.628521
370.0,7.7,0.01,-0.035337,0.000393,0.005349,0.447449
390.0,5.0,0.006,-0.030939,0.000187,0.00202,0.45749
410.0,4.1,0.005,-0.027863,0.000135,0.001234,0.46658
430.0,3.5,0.004,-0.025523,0.000106,0.000923,0.450047
450.0,3.0,0.004,-0.023624,8.7e-05,0.000692,0.449152
470.0,2.8,0.004,-0.02204,7.4e-05,0.000548,0.456705
490.0,2.7,0.003,-0.02068,6.3e-05,0.000533,0.425961
510.0,2.5,0.003,-0.019501,5.5e-05,0.00044,0.434235
530.0,2.4,0.003,-0.018462,4.9e-05,0.000364,0.457296
550.0,2.3,0.003,-0.017534,4.4e-05,0.000334,0.446314
570.0,2.2,0.003,-0.016705,3.9e-05,0.000302,0.43475
590.0,2.2,0.003,-0.015958,3.6e-05,0.000277,0.441657
610.0,2.1,0.003,-0.015274,3.3e-05,0.000246,0.448408
630.0,2.1,0.003,-0.014644,3e-05,0.00023,0.448615
650.0,2.0,0.003,-0.014086,2.7e-05,0.000221,0.435025
670.0,2.0,0.003,-0.013552,2.6e-05,0.000194,0.450606
700.0,1.9,0.002,-0.012833,2.4e-05,0.000178,0.438154
