T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 7.84240024E-01 6.15032415E-01 3.78264872E-01 6.66666666E-01 7.89892789E-03 4.95478232E+03 -3.19749853E+00 -3.19749853E+00 0.00000000E+00
0010 7.77311506E-01 6.04213180E-01 3.65073573E-01 6.66666661E-01 1.38411708E-05 1.00816163E+00 -3.13387009E+00 -3.13387009E+00 0.00000000E+00
0030 7.62935128E-01 5.82070025E-01 3.38805552E-01 6.66666629E-01 2.71808500E-05 9.78995579E-01 -3.00470094E+00 -3.00470094E+00 0.00000000E+00
0050 7.47849434E-01 5.59278839E-01 3.12792960E-01 6.66666518E-01 6.24419953E-05 1.00545918E+00 -2.87278475E+00 -2.87278475E+00 0.00000000E+00
0070 7.31966756E-01 5.35775499E-01 2.87055744E-01 6.66666251E-01 1.19234627E-04 1.05816743E+00 -2.73844001E+00 -2.73844001E+00 0.00000000E+00
0090 7.15155296E-01 5.11447321E-01 2.61578819E-01 6.66666085E-01 1.23829917E-04 1.02707021E+00 -2.60316857E+00 -2.60316857E+00 0.00000000E+00
0110 6.97192115E-01 4.86077155E-01 2.36271601E-01 6.66665819E-01 1.40213964E-04 1.03241668E+00 -2.46827682E+00 -2.46827682E+00 0.00000000E+00
0130 6.78022363E-01 4.59714828E-01 2.11338648E-01 6.66665208E-01 1.93094511E-04 9.80262668E-01 -2.33377845E+00 -2.33377845E+00 0.00000000E+00
0150 6.57434738E-01 4.32221164E-01 1.86816394E-01 6.66664419E-01 2.42443494E-04 1.01910150E+00 -2.19897823E+00 -2.19897823E+00 0.00000000E+00
0170 6.35199831E-01 4.03479840E-01 1.62797618E-01 6.66663316E-01 2.97821750E-04 1.03889406E+00 -2.06262829E+00 -2.06262829E+00 0.00000000E+00
0190 6.10622707E-01 3.72861741E-01 1.39028339E-01 6.66660766E-01 4.33614045E-04 1.07561517E+00 -1.92304001E+00 -1.92304001E+00 0.00000000E+00
0210 5.83898443E-01 3.40939535E-01 1.16242687E-01 6.66658292E-01 5.09498628E-04 1.12869787E+00 -1.77839738E+00 -1.77839738E+00 0.00000000E+00
0230 5.54002913E-01 3.06921875E-01 9.42042878E-02 6.66655165E-01 5.74540604E-04 1.19608020E+00 -1.62719579E+00 -1.62719579E+00 0.00000000E+00
0250 5.19345318E-01 2.69723287E-01 7.27546685E-02 6.66648261E-01 7.44044885E-04 1.23541911E+00 -1.46651854E+00 -1.46651854E+00 0.00000000E+00
0270 4.79533886E-01 2.29957551E-01 5.28848913E-02 6.66638830E-01 8.87588554E-04 1.37419463E+00 -1.29515403E+00 -1.29515403E+00 0.00000000E+00
0290 4.31109317E-01 1.85862660E-01 3.45504362E-02 6.66613519E-01 1.27612970E-03 1.43947383E+00 -1.11062893E+00 -1.11062893E+00 0.00000000E+00
0310 3.70789566E-01 1.37496319E-01 1.89115068E-02 6.66556130E-01 1.83764266E-03 1.59079908E+00 -9.09918373E-01 -9.09918373E-01 0.00000000E+00
0330 2.86639820E-01 8.21902641E-02 6.76437776E-03 6.66215745E-01 4.21536480E-03 1.86766163E+00 -6.87967139E-01 -6.87967139E-01 0.00000000E+00
0350 1.09310505E-01 1.23863240E-02 1.70977997E-04 6.28521146E-01 6.23792039E-02 2.44329800E+00 -4.28573657E-01 -4.28573657E-01 0.00000000E+00
0370 1.48672376E-02 2.60696869E-04 1.12658855E-07 4.47448902E-01 5.34892751E-03 3.86638171E-01 -3.24652769E-01 -3.24652769E-01 0.00000000E+00
0390 9.65669252E-03 1.09037432E-04 1.93499745E-08 4.57489795E-01 2.01972578E-03 2.52880195E-01 -2.84249044E-01 -2.84249044E-01 0.00000000E+00
0410 7.89291430E-03 7.24379434E-05 8.39697298E-09 4.66580020E-01 1.23407094E-03 1.92557651E-01 -2.55987507E-01 -2.55987507E-01 0.00000000E+00
0430 6.68230211E-03 5.26094662E-05 4.56640807E-09 4.50046875E-01 9.23284440E-04 1.46025778E-01 -2.34488314E-01 -2.34488314E-01 0.00000000E+00
0450 5.86176950E-03 4.06043510E-05 2.72457090E-09 4.49152081E-01 6.92378530E-04 1.21013548E-01 -2.17044929E-01 -2.17044929E-01 0.00000000E+00
0470 5.48164969E-03 3.52142769E-05 2.02113187E-09 4.56704827E-01 5.48443330E-04 1.01028869E-01 -2.02491532E-01 -2.02491532E-01 0.00000000E+00
0490 5.19467559E-03 3.22168912E-05 1.78743248E-09 4.25961354E-01 5.32824106E-04 9.31973191E-02 -1.89991128E-01 -1.89991128E-01 0.00000000E+00
0510 4.89970749E-03 2.85032473E-05 1.37894263E-09 4.34234760E-01 4.39905794E-04 8.01308426E-02 -1.79163990E-01 -1.79163990E-01 0.00000000E+00
0530 4.68609509E-03 2.58300991E-05 1.08626567E-09 4.57296459E-01 3.64415073E-04 7.19203335E-02 -1.69615964E-01 -1.69615964E-01 0.00000000E+00
0550 4.51469783E-03 2.40686053E-05 9.62246448E-10 4.46314420E-01 3.34424450E-04 6.29379966E-02 -1.61092473E-01 -1.61092473E-01 0.00000000E+00
0570 4.28496549E-03 2.18097337E-05 8.06607507E-10 4.34750380E-01 3.01916105E-04 5.56825666E-02 -1.53471609E-01 -1.53471609E-01 0.00000000E+00
0590 4.22282140E-03 2.11080561E-05 7.46309377E-10 4.41656888E-01 2.77052866E-04 5.02959696E-02 -1.46612515E-01 -1.46612515E-01 0.00000000E+00
0610 4.14577900E-03 2.01942085E-05 6.74827598E-10 4.48408062E-01 2.45955443E-04 4.82586202E-02 -1.40325672E-01 -1.40325672E-01 0.00000000E+00
0630 4.02019088E-03 1.90705232E-05 6.01591405E-10 4.48614739E-01 2.30374438E-04 3.91824495E-02 -1.34542481E-01 -1.34542481E-01 0.00000000E+00
0650 3.93231563E-03 1.83414315E-05 5.70186576E-10 4.35024942E-01 2.20962762E-04 3.75897213E-02 -1.29409236E-01 -1.29409236E-01 0.00000000E+00
0670 3.83460782E-03 1.73079097E-05 4.93735579E-10 4.50605979E-01 1.93913239E-04 3.78399855E-02 -1.24510286E-01 -1.24510286E-01 0.00000000E+00
0700 3.70400483E-03 1.62155763E-05 4.43203754E-10 4.38153862E-01 1.77920494E-04 3.26520541E-02 -1.17901194E-01 -1.17901194E-01 0.00000000E+00
