# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,1151.9,1.448,-1.32836,0.000517,0.081287,0.666667
10.0,1149.0,1.444,-1.323189,0.000518,1.2e-05,0.666667
30.0,1142.7,1.436,-1.312808,0.00052,3.6e-05,0.666667
50.0,1136.3,1.428,-1.302387,0.000522,8e-05,0.666667
70.0,1129.7,1.42,-1.291919,0.000525,0.000107,0.666667
90.0,1123.3,1.412,-1.281406,0.000527,0.000119,0.666667
110.0,1116.7,1.403,-1.270851,0.000529,0.000126,0.666667
130.0,1110.0,1.395,-1.260239,0.000531,0.00017,0.666666
150.0,1103.2,1.386,-1.249597,0.000533,0.000232,0.666666
170.0,1096.6,1.378,-1.238906,0.000536,0.000196,0.666666
190.0,1089.7,1.369,-1.228151,0.000539,0.000222,0.666666
210.0,1082.4,1.36,-1.217353,0.000541,0.000204,0.666666
230.0,1075.7,1.352,-1.206501,0.000544,0.000314,0.666666
250.0,1068.7,1.343,-1.195591,0.000547,0.00024,0.666666
270.0,1061.7,1.334,-1.184625,0.000549,0.00028,0.666666
290.0,1054.6,1.325,-1.173621,0.000553,0.000288,0.666666
310.0,1047.1,1.316,-1.162494,0.000557,0.000324,0.666666
330.0,1040.1,1.307,-1.15133,0.000559,0.000415,0.666665
350.0,1032.3,1.297,-1.14012,0.000562,0.000506,0.666665
370.0,1025.0,1.288,-1.128842,0.000566,0.000527,0.666664
390.0,1017.7,1.279,-1.117495,0.00057,0.000511,0.666664
410.0,1009.9,1.269,-1.106053,0.000573,0.000537,0.666664
430.0,1002.3,1.26,-1.094573,0.000577,0.000482,0.666664
450.0,994.6,1.25,-1.08296,0.000582,0.000585,0.666664
470.0,986.3,1.239,-1.071287,0.000585,0.000496,0.666664
490.0,978.7,1.23,-1.059558,0.000589,0.000558,0.666663
510.0,970.6,1.22,-1.047723,0.000595,0.000575,0.666663
530.0,962.4,1.209,-1.035748,0.000601,0.000669,0.666662
550.0,953.1,1.198,-1.023683,0.000605,0.000914,0.66666
570.0,944.7,1.187,-1.011535,0.000609,0.000887,0.66666
590.0,936.2,1.176,-0.999331,0.000616,0.00087,0.66666
610.0,927.2,1.165,-0.986901,0.000622,0.00101,0.666658
630.0,917.4,1.153,-0.974448,0.000627,0.001196,0.666656
650.0,909.1,1.142,-0.961819,0.000634,0.000954,0.666658
670.0,900.2,1.131,-0.949099,0.00064,0.000973,0.666657
690.0,890.5,1.119,-0.936225,0.00065,0.001189,0.666655
710.0,880.6,1.107,-0.923093,0.000659,0.001576,0.66665
730.0,869.8,1.093,-0.909855,0.000664,0.001351,0.666651
750.0,860.1,1.081,-0.896542,0.000673,0.001731,0.666646
770.0,850.1,1.068,-0.882921,0.000684,0.001408,0.666649
790.0,838.6,1.054,-0.869191,0.000692,0.001653,0.666645
810.0,828.0,1.04,-0.855229,0.000702,0.00183,0.666641
830.0,816.5,1.026,-0.841129,0.000712,0.001689,0.666642
850.0,804.9,1.011,-0.826757,0.000725,0.00158,0.666642
870.0,792.8,0.996,-0.812134,0.000737,0.001951,0.666635
890.0,781.4,0.982,-0.797267,0.00075,0.002008,0.666632
910.0,767.4,0.964,-0.782117,0.000766,0.002295,0.666625
930.0,754.5,0.948,-0.766626,0.000781,0.002464,0.66662
950.0,740.9,0.931,-0.750866,0.000797,0.001874,0.666629
970.0,727.1,0.914,-0.734763,0.00081,0.00287,0.666605
990.0,712.5,0.895,-0.718452,0.000827,0.00268,0.666606
1010.0,697.7,0.877,-0.701668,0.000846,0.003081,0.666592
1030.0,680.5,0.855,-0.684594,0.000866,0.003323,0.66658
1050.0,663.3,0.834,-0.667025,0.000891,0.003188,0.666578
1070.0,645.0,0.811,-0.648968,0.000913,0.003937,0.666549
1090.0,625.4,0.786,-0.630498,0.000937,0.004162,0.666531
1110.0,605.0,0.76,-0.611475,0.000962,0.004676,0.666501
1130.0,584.2,0.734,-0.592018,0.000991,0.00551,0.666453
1150.0,559.4,0.703,-0.571853,0.001023,0.005265,0.666441
1170.0,533.8,0.671,-0.551082,0.001063,0.007473,0.666311
1190.0,504.5,0.634,-0.529339,0.001108,0.006074,0.666334
1210.0,471.9,0.593,-0.506745,0.001148,0.010231,0.666023
1230.0,433.5,0.545,-0.483436,0.0012,0.01464,0.665555
1250.0,388.3,0.488,-0.458756,0.001279,0.016424,0.665091
1270.0,328.3,0.413,-0.432293,0.001375,0.028849,0.662784
1290.0,243.7,0.306,-0.403756,0.001442,0.0737,0.649699
1310.0,96.3,0.121,-0.374629,0.001193,0.115328,0.500872
1330.0,50.8,0.064,-0.356018,0.00085,0.033184,0.485715
1350.0,33.8,0.042,-0.340627,0.0007,0.017484,0.447367
1370.0,27.5,0.035,-0.328032,0.000602,0.010972,0.449283
1390.0,23.8,0.03,-0.316543,0.000542,0.008468,0.435053
1410.0,21.0,0.026,-0.306368,0.000489,0.007278,0.415247
1430.0,18.6,0.023,-0.296985,0.000449,0.005216,0.428379
1450.0,17.5,0.022,-0.2884,0.000415,0.004117,0.454758
1470.0,15.9,0.02,-0.280398,0.000387,0.00361,0.435508
1490.0,15.0,0.019,-0.272918,0.000359,0.003136,0.427863
1510.0,14.2,0.018,-0.266021,0.00034,0.002803,0.434413
1530.0,13.5,0.017,-0.259325,0.000322,0.002308,0.437293
1550.0,12.7,0.016,-0.253153,0.000299,0.002129,0.433227
1570.0,12.3,0.015,-0.247352,0.000286,0.001941,0.442386
1590.0,11.6,0.015,-0.241695,0.000271,0.001762,0.431683
1610.0,11.2,0.014,-0.236519,0.000254,0.001656,0.438091
1630.0,11.0,0.014,-0.23153,0.000247,0.001539,0.443386
1650.0,10.3,0.013,-0.226653,0.000233,0.001295,0.435954
1670.0,10.2,0.013,-0.222207,0.00022,0.001229,0.444876
1690.0,10.0,0.013,-0.217842,0.000214,0.001157,0.454047
1710.0,9.6,0.012,-0.213661,0.000204,0.001115,0.438353
1730.0,9.2,0.012,-0.209689,0.000196,0.001084,0.406434
1750.0,9.1,0.011,-0.205806,0.000187,0.000913,0.442141
1770.0,9.0,0.011,-0.202197,0.000178,0.000862,0.45607
1790.0,8.8,0.011,-0.19867,0.000176,0.000821,0.46713
1810.0,8.6,0.011,-0.195167,0.000168,0.000826,0.449804
1830.0,8.6,0.011,-0.191931,0.000159,0.000693,0.486001
1850.0,8.5,0.011,-0.188802,0.000155,0.000757,0.455553
1870.0,8.2,0.01,-0.185716,0.000149,0.000765,0.432724
1890.0,8.1,0.01,-0.182839,0.000144,0.000654,0.456329
1910.0,8.0,0.01,-0.179974,0.000141,0.000689,0.449141
