T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 2.00967855E+00 4.03880789E+00 1.63119692E+01 6.66666666E-01 8.12870570E-02 2.40856878E+05 -1.62721107E+01 -1.62721107E+01 0.00000000E+00
0010 2.00465146E+00 4.01862746E+00 1.61493668E+01 6.66666666E-01 1.22083871E-05 1.07367787E+00 -1.62087699E+01 -1.62087699E+01 0.00000000E+00
0030 1.99354295E+00 3.97421354E+00 1.57943737E+01 6.66666657E-01 3.56931981E-05 1.03567431E+00 -1.60816006E+01 -1.60816006E+01 0.00000000E+00
0050 1.98241586E+00 3.92997276E+00 1.54446876E+01 6.66666630E-01 7.98580242E-05 1.02230248E+00 -1.59539411E+01 -1.59539411E+01 0.00000000E+00
0070 1.97092808E+00 3.88455769E+00 1.50897916E+01 6.66666598E-01 1.07417109E-04 1.01835570E+00 -1.58257154E+01 -1.58257154E+01 0.00000000E+00
0090 1.95980967E+00 3.84085424E+00 1.47521657E+01 6.66666567E-01 1.19072099E-04 9.85274677E-01 -1.56969291E+01 -1.56969291E+01 0.00000000E+00
0110 1.94813994E+00 3.79524961E+00 1.44039252E+01 6.66666536E-01 1.26179861E-04 9.56213153E-01 -1.55676393E+01 -1.55676393E+01 0.00000000E+00
0130 1.93645637E+00 3.74986385E+00 1.40614877E+01 6.66666456E-01 1.70233084E-04 9.67468791E-01 -1.54376409E+01 -1.54376409E+01 0.00000000E+00
0150 1.92464865E+00 3.70427334E+00 1.37216548E+01 6.66666332E-01 2.32066776E-04 9.10885173E-01 -1.53072836E+01 -1.53072836E+01 0.00000000E+00
0170 1.91314239E+00 3.66011470E+00 1.33964527E+01 6.66666342E-01 1.96137140E-04 9.60545970E-01 -1.51763231E+01 -1.51763231E+01 0.00000000E+00
0190 1.90111129E+00 3.61422526E+00 1.30626405E+01 6.66666251E-01 2.21761338E-04 1.00721882E+00 -1.50445719E+01 -1.50445719E+01 0.00000000E+00
0210 1.88842304E+00 3.56614274E+00 1.27173903E+01 6.66666239E-01 2.04036006E-04 9.46274016E-01 -1.49122979E+01 -1.49122979E+01 0.00000000E+00
0230 1.87673943E+00 3.52215280E+00 1.24055876E+01 6.66665935E-01 3.14360955E-04 1.01895818E+00 -1.47793623E+01 -1.47793623E+01 0.00000000E+00
0250 1.86449869E+00 3.47635696E+00 1.20850800E+01 6.66666052E-01 2.39811879E-04 9.32641293E-01 -1.46457204E+01 -1.46457204E+01 0.00000000E+00
0270 1.85226635E+00 3.43089267E+00 1.17710522E+01 6.66665881E-01 2.80352437E-04 9.41913923E-01 -1.45113918E+01 -1.45113918E+01 0.00000000E+00
0290 1.83981608E+00 3.38492542E+00 1.14577503E+01 6.66665788E-01 2.87825063E-04 9.79071736E-01 -1.43765886E+01 -1.43765886E+01 0.00000000E+00
0310 1.82670724E+00 3.33686201E+00 1.11346839E+01 6.66665595E-01 3.23850534E-04 9.86660747E-01 -1.42402833E+01 -1.42402833E+01 0.00000000E+00
0330 1.81464688E+00 3.29294697E+00 1.08435479E+01 6.66665186E-01 4.14627554E-04 1.03243259E+00 -1.41035298E+01 -1.41035298E+01 0.00000000E+00
0350 1.80095120E+00 3.24342994E+00 1.05198991E+01 6.66664724E-01 5.05534088E-04 1.00434347E+00 -1.39662114E+01 -1.39662114E+01 0.00000000E+00
0370 1.78823324E+00 3.19778334E+00 1.02258849E+01 6.66664493E-01 5.27433404E-04 9.37891939E-01 -1.38280551E+01 -1.38280551E+01 0.00000000E+00
0390 1.77547251E+00 3.15230797E+00 9.93711270E+00 6.66664414E-01 5.11371188E-04 1.03664444E+00 -1.36890581E+01 -1.36890581E+01 0.00000000E+00
0410 1.76183573E+00 3.10407101E+00 9.63532988E+00 6.66664141E-01 5.36930644E-04 1.10340721E+00 -1.35488946E+01 -1.35488946E+01 0.00000000E+00
0430 1.74862372E+00 3.05769046E+00 9.34953868E+00 6.66664252E-01 4.82152032E-04 1.10607673E+00 -1.34082745E+01 -1.34082745E+01 0.00000000E+00
0450 1.73514931E+00 3.01075017E+00 9.06470137E+00 6.66663549E-01 5.85339773E-04 1.12237822E+00 -1.32660162E+01 -1.32660162E+01 0.00000000E+00
0470 1.72079564E+00 2.96114385E+00 8.76844670E+00 6.66663862E-01 4.96041802E-04 1.10557230E+00 -1.31230256E+01 -1.31230256E+01 0.00000000E+00
0490 1.70741316E+00 2.91526702E+00 8.49886696E+00 6.66663325E-01 5.58024636E-04 1.10286126E+00 -1.29793419E+01 -1.29793419E+01 0.00000000E+00
0510 1.69324925E+00 2.86710087E+00 8.22035730E+00 6.66663021E-01 5.75388824E-04 1.16601422E+00 -1.28343725E+01 -1.28343725E+01 0.00000000E+00
0530 1.67894813E+00 2.81887630E+00 7.94617040E+00 6.66662186E-01 6.68808853E-04 1.18730422E+00 -1.26876849E+01 -1.26876849E+01 0.00000000E+00
0550 1.66275877E+00 2.76478016E+00 7.64415783E+00 6.66660191E-01 9.13948933E-04 1.18480249E+00 -1.25398837E+01 -1.25398837E+01 0.00000000E+00
0570 1.64820055E+00 2.71657856E+00 7.37994594E+00 6.66660032E-01 8.87419769E-04 1.20606430E+00 -1.23910721E+01 -1.23910721E+01 0.00000000E+00
0590 1.63328200E+00 2.66762381E+00 7.11636310E+00 6.66659813E-01 8.70295630E-04 1.21406476E+00 -1.22415818E+01 -1.22415818E+01 0.00000000E+00
0610 1.61755217E+00 2.61649148E+00 6.84619986E+00 6.66658283E-01 1.01006812E-03 1.20776204E+00 -1.20893162E+01 -1.20893162E+01 0.00000000E+00
0630 1.60058632E+00 2.56189669E+00 6.56352062E+00 6.66656206E-01 1.19565653E-03 1.25430183E+00 -1.19367633E+01 -1.19367633E+01 0.00000000E+00
0650 1.58597569E+00 2.51533547E+00 6.32707918E+00 6.66657886E-01 9.53917226E-04 1.30967436E+00 -1.17820674E+01 -1.17820674E+01 0.00000000E+00
0670 1.57046085E+00 2.46636472E+00 6.08312670E+00 6.66657253E-01 9.73103818E-04 1.28210217E+00 -1.16262462E+01 -1.16262462E+01 0.00000000E+00
0690 1.55352688E+00 2.41346768E+00 5.82503773E+00 6.66654565E-01 1.18927649E-03 1.33101059E+00 -1.14685459E+01 -1.14685459E+01 0.00000000E+00
0710 1.53627936E+00 2.36018415E+00 5.57075118E+00 6.66649796E-01 1.57585093E-03 1.29999815E+00 -1.13076868E+01 -1.13076868E+01 0.00000000E+00
0730 1.51748602E+00 2.30279017E+00 5.30308531E+00 6.66651407E-01 1.35081403E-03 1.27943716E+00 -1.11455141E+01 -1.11455141E+01 0.00000000E+00
