T        <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
2 8.93148622E-01 7.97714476E-01 6.36348434E-01 6.66666641E-01 3.71601557E-04 1.94589337E+00 -3.36015063E+00 -3.36015063E+00 0.00000000E+00
10 8.81369375E-01 7.76812054E-01 6.03437209E-01 6.66666533E-01 3.80579340E-04 2.21241152E+00 -3.30911794E+00 -3.30911794E+00 0.00000000E+00
50 8.17907722E-01 6.68973655E-01 4.47527394E-01 6.66665443E-01 5.98429483E-04 2.86198111E+00 -3.04565543E+00 -3.04565543E+00 0.00000000E+00
100 7.23122312E-01 5.22908969E-01 2.73440259E-01 6.66658781E-01 1.50643350E-03 4.13284386E+00 -2.68990370E+00 -2.68990370E+00 0.00000000E+00
200 4.54882418E-01 2.06947579E-01 4.28518080E-02 6.66475919E-01 7.20348081E-03 5.16017146E+00 -1.91575779E+00 -1.91575779E+00 0.00000000E+00
220 3.73106265E-01 1.39258045E-01 1.94204852E-02 6.66190852E-01 1.10216556E-02 5.20260133E+00 -1.75117738E+00 -1.75117738E+00 0.00000000E+00
230 3.18741119E-01 1.01678213E-01 1.03718772E-02 6.65589194E-01 1.74391693E-02 4.96165307E+00 -1.66386279E+00 -1.66386279E+00 0.00000000E+00
235 2.84253874E-01 8.09178942E-02 6.58549275E-03 6.64742983E-01 2.43916582E-02 5.09250096E+00 -1.61822720E+00 -1.61822720E+00 0.00000000E+00
240 2.44543147E-01 5.99757550E-02 3.63838187E-03 6.62840364E-01 3.54110297E-02 4.84748549E+00 -1.57194326E+00 -1.57194326E+00 0.00000000E+00
243 2.10720149E-01 4.46482643E-02 2.03619533E-03 6.59522026E-01 4.91874239E-02 4.83391026E+00 -1.54145481E+00 -1.54145481E+00 0.00000000E+00
245 1.84513215E-01 3.44715719E-02 1.24443836E-03 6.50915987E-01 8.48183388E-02 5.32132588E+00 -1.52153395E+00 -1.52153395E+00 0.00000000E+00
247 1.48051777E-01 2.26565272E-02 5.75313226E-04 6.26408987E-01 1.45438723E-01 4.73424941E+00 -1.50021856E+00 -1.50021856E+00 0.00000000E+00
250 8.18463494E-02 7.53923717E-03 8.10294487E-05 5.24810519E-01 1.63811725E-01 2.98880476E+00 -1.47056902E+00 -1.47056902E+00 0.00000000E+00
260 2.77622951E-02 9.36481830E-04 1.55862731E-06 4.07590090E-01 3.10626298E-02 1.63655920E+00 -1.41913556E+00 -1.41913556E+00 0.00000000E+00
300 1.41973965E-02 2.41885212E-04 1.07233034E-07 3.89073871E-01 6.54911581E-03 1.34815481E+00 -1.28396429E+00 -1.28396429E+00 0.00000000E+00
