# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,99.0,0.124,-0.121146,0.000344,132.637293,0.666279
10.0,104.5,0.131,-0.117709,0.000349,0.000467,0.666654
20.0,102.2,0.128,-0.114167,0.000358,0.000467,0.666641
40.0,97.0,0.122,-0.106863,0.000376,0.000462,0.66661
60.0,90.5,0.114,-0.099142,0.000402,0.0005,0.666561
80.0,82.0,0.103,-0.090782,0.000445,0.000549,0.666478
100.0,69.6,0.087,-0.08136,0.000518,0.000567,0.666329
120.0,49.2,0.062,-0.070047,0.000594,0.000796,0.665533
140.0,3.1,0.004,-0.057586,0.000469,0.000671,0.420634
160.0,2.2,0.003,-0.051302,0.000342,0.00026,0.431697
180.0,2.4,0.003,-0.043911,0.000333,0.000252,0.453669
200.0,2.4,0.003,-0.037999,0.00025,0.000251,0.429089
220.0,2.4,0.003,-0.033893,0.000184,0.000211,0.447336
240.0,2.4,0.003,-0.030623,0.000149,0.000195,0.440524
260.0,2.4,0.003,-0.027932,0.000124,0.00019,0.436834
280.0,2.5,0.003,-0.025679,0.000104,0.000182,0.432466
300.0,2.4,0.003,-0.023769,8.9e-05,0.000162,0.438368
320.0,2.4,0.003,-0.022127,7.7e-05,0.000169,0.410489
340.0,2.4,0.003,-0.020693,6.7e-05,0.000156,0.416721
360.0,2.5,0.003,-0.019441,5.9e-05,0.000139,0.446383
380.0,2.5,0.003,-0.01833,5.3e-05,0.000142,0.421958
400.0,2.6,0.003,-0.017335,4.7e-05,0.000134,0.446357
420.0,2.5,0.003,-0.016448,4.2e-05,0.000132,0.421969
440.0,2.6,0.003,-0.015654,3.8e-05,0.00013,0.426554
460.0,2.6,0.003,-0.014921,3.5e-05,0.000128,0.444573
480.0,2.5,0.003,-0.014266,3.1e-05,0.000117,0.425586
500.0,2.7,0.003,-0.013664,2.9e-05,0.000112,0.451453
520.0,2.5,0.003,-0.013117,2.6e-05,9.9e-05,0.445526
540.0,2.6,0.003,-0.012606,2.4e-05,0.000104,0.452152
560.0,2.6,0.003,-0.012137,2.3e-05,9.9e-05,0.43463
580.0,2.6,0.003,-0.011702,2.1e-05,9.4e-05,0.432209
600.0,2.6,0.003,-0.011292,2e-05,9.5e-05,0.434051
620.0,2.6,0.003,-0.010917,1.8e-05,9.1e-05,0.454163
640.0,2.6,0.003,-0.010567,1.7e-05,8.6e-05,0.429582
660.0,2.6,0.003,-0.010226,1.6e-05,9.6e-05,0.408349
680.0,2.7,0.003,-0.009927,1.5e-05,9.1e-05,0.433533
700.0,2.7,0.003,-0.009639,1.4e-05,8.4e-05,0.442061
720.0,2.7,0.003,-0.009354,1.4e-05,8.7e-05,0.421002
740.0,2.7,0.003,-0.009093,1.3e-05,7.6e-05,0.453372
760.0,2.7,0.003,-0.008847,1.2e-05,8e-05,0.441514
780.0,2.7,0.003,-0.008623,1.1e-05,8e-05,0.427274
800.0,2.7,0.003,-0.008401,1.1e-05,7.6e-05,0.43269
820.0,2.7,0.003,-0.008191,1e-05,7.5e-05,0.429096
840.0,2.7,0.003,-0.007997,1e-05,7.1e-05,0.430689
860.0,2.7,0.003,-0.007807,9e-06,7.2e-05,0.430331
880.0,2.7,0.003,-0.007623,9e-06,7.1e-05,0.424337
900.0,2.7,0.003,-0.007455,9e-06,6.7e-05,0.427522
920.0,2.7,0.003,-0.007282,8e-06,6.8e-05,0.426527
940.0,2.7,0.003,-0.007127,8e-06,6.3e-05,0.444139
960.0,2.7,0.003,-0.006976,7e-06,6.8e-05,0.419454
980.0,2.7,0.003,-0.006849,7e-06,6.2e-05,0.453248
1000.0,2.7,0.003,-0.006701,7e-06,6.1e-05,0.441229
1020.0,2.7,0.003,-0.006568,6e-06,5.9e-05,0.434802
1040.0,2.7,0.003,-0.006443,6e-06,6.2e-05,0.419233
1060.0,2.7,0.003,-0.006317,6e-06,5.9e-05,0.426884
1080.0,2.7,0.003,-0.0062,6e-06,5.9e-05,0.424951
1100.0,2.7,0.003,-0.006089,6e-06,5.9e-05,0.418927
1120.0,2.7,0.003,-0.005979,5e-06,5.8e-05,0.428098
1140.0,2.8,0.004,-0.005872,5e-06,5.5e-05,0.4441
1160.0,2.7,0.003,-0.005767,5e-06,5.2e-05,0.450261
1180.0,2.7,0.003,-0.00567,5e-06,5.2e-05,0.446609
1200.0,2.7,0.003,-0.005572,5e-06,5.3e-05,0.422042
1220.0,2.7,0.003,-0.005482,4e-06,5.4e-05,0.418135
1240.0,2.7,0.003,-0.005399,4e-06,5.1e-05,0.429475
1260.0,2.7,0.003,-0.00531,5e-06,5e-05,0.434977
1280.0,2.8,0.004,-0.005219,4e-06,5e-05,0.434811
1300.0,2.8,0.004,-0.005146,4e-06,4.9e-05,0.433743
1320.0,2.8,0.004,-0.005072,4e-06,4.7e-05,0.44066
1340.0,2.8,0.004,-0.004991,4e-06,4.8e-05,0.441907
1360.0,2.8,0.004,-0.004913,4e-06,4.7e-05,0.426647
1380.0,2.8,0.004,-0.004845,3e-06,4.8e-05,0.431466
1400.0,2.8,0.004,-0.004778,3e-06,4.5e-05,0.440346
1420.0,2.8,0.004,-0.004706,4e-06,4.5e-05,0.431038
1440.0,2.8,0.004,-0.004637,3e-06,4.5e-05,0.430763
1460.0,2.8,0.004,-0.004576,3e-06,4.5e-05,0.435551
1480.0,2.8,0.004,-0.004513,3e-06,4.3e-05,0.43714
1500.0,2.8,0.004,-0.004456,3e-06,4.2e-05,0.441107
1520.0,2.8,0.004,-0.004396,3e-06,4.4e-05,0.435096
1540.0,2.8,0.004,-0.004343,3e-06,4.1e-05,0.438011
1560.0,2.8,0.004,-0.004283,3e-06,4.3e-05,0.431294
1580.0,2.8,0.004,-0.004235,3e-06,4.1e-05,0.445204
1600.0,2.8,0.004,-0.004179,3e-06,4.2e-05,0.424214
