T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.34674617E-01 1.81425688E-02 3.29535682E-04 6.66278924E-01 1.32637293E+02 5.17412412E+07 -2.22600919E+00 -2.22600919E+00 0.00000000E+00
0010 1.42110879E-01 2.01956890E-02 4.07880974E-04 6.66654312E-01 4.66977343E-04 1.02988799E+00 -2.16286560E+00 -2.16286560E+00 0.00000000E+00
0020 1.39050933E-01 1.93355366E-02 3.73891955E-04 6.66640830E-01 4.67365793E-04 1.03073494E+00 -2.09777736E+00 -2.09777736E+00 0.00000000E+00
0040 1.31898750E-01 1.73980215E-02 3.02742763E-04 6.66609832E-01 4.62406314E-04 1.09273025E+00 -1.96357157E+00 -1.96357157E+00 0.00000000E+00
0060 1.23074548E-01 1.51485465E-02 2.29551203E-04 6.66561004E-01 4.99856334E-04 1.09965596E+00 -1.82170966E+00 -1.82170966E+00 0.00000000E+00
0080 1.11506334E-01 1.24354229E-02 1.54727230E-04 6.66478086E-01 5.49034185E-04 1.25254075E+00 -1.66808191E+00 -1.66808191E+00 0.00000000E+00
0100 9.46512897E-02 8.96113941E-03 8.03834016E-05 6.66328850E-01 5.67043716E-04 1.53594683E+00 -1.49496091E+00 -1.49496091E+00 0.00000000E+00
0120 6.68690787E-02 4.47530367E-03 2.00964661E-05 6.65532888E-01 7.96304207E-04 1.72566240E+00 -1.28708093E+00 -1.28708093E+00 0.00000000E+00
0140 4.25126539E-03 2.18384317E-05 8.28928429E-10 4.20634157E-01 6.70995521E-04 9.33709494E-01 -1.05811774E+00 -1.05811774E+00 0.00000000E+00
0160 3.04780481E-03 1.09568426E-05 2.04678347E-10 4.31697191E-01 2.60056621E-04 9.07890609E-01 -9.42653869E-01 -9.42653869E-01 0.00000000E+00
0180 3.23092703E-03 1.22545377E-05 2.46133756E-10 4.53668726E-01 2.51664394E-04 1.22906930E+00 -8.06850303E-01 -8.06850303E-01 0.00000000E+00
0200 3.28078220E-03 1.27734012E-05 2.79449287E-10 4.29088697E-01 2.50726603E-04 6.69276280E-01 -6.98218873E-01 -6.98218873E-01 0.00000000E+00
0220 3.28763648E-03 1.26704620E-05 2.66174975E-10 4.47336144E-01 2.11153464E-04 5.24382731E-01 -6.22767338E-01 -6.22767338E-01 0.00000000E+00
0240 3.24293696E-03 1.23912236E-05 2.57709775E-10 4.40524271E-01 1.94874992E-04 4.42102311E-01 -5.62695502E-01 -5.62695502E-01 0.00000000E+00
0260 3.27718528E-03 1.27167816E-05 2.73219570E-10 4.36834392E-01 1.89696954E-04 3.27260821E-01 -5.13232175E-01 -5.13232175E-01 0.00000000E+00
0280 3.33341071E-03 1.31560624E-05 2.94689464E-10 4.32466495E-01 1.82170454E-04 2.88026661E-01 -4.71843135E-01 -4.71843135E-01 0.00000000E+00
0300 3.27403411E-03 1.26717466E-05 2.70549174E-10 4.38367803E-01 1.62375549E-04 2.45503070E-01 -4.36741211E-01 -4.36741211E-01 0.00000000E+00
0320 3.32569994E-03 1.32291863E-05 3.09513366E-10 4.10489030E-01 1.69103797E-04 2.14770658E-01 -4.06567135E-01 -4.06567135E-01 0.00000000E+00
0340 3.32080540E-03 1.31566854E-05 3.02893917E-10 4.16721028E-01 1.56223527E-04 1.82586645E-01 -3.80236033E-01 -3.80236033E-01 0.00000000E+00
0360 3.37179076E-03 1.33681751E-05 2.96807638E-10 4.46382811E-01 1.38553275E-04 1.66543133E-01 -3.57216981E-01 -3.57216981E-01 0.00000000E+00
0380 3.38505323E-03 1.36160415E-05 3.21500976E-10 4.21958120E-01 1.41651430E-04 1.45911689E-01 -3.36813966E-01 -3.36813966E-01 0.00000000E+00
0400 3.46931838E-03 1.41803608E-05 3.33984187E-10 4.46356652E-01 1.33741445E-04 1.36408115E-01 -3.18524032E-01 -3.18524032E-01 0.00000000E+00
0420 3.39892925E-03 1.37796431E-05 3.29266898E-10 4.21969336E-01 1.32287405E-04 1.22713917E-01 -3.02219029E-01 -3.02219029E-01 0.00000000E+00
0440 3.49105632E-03 1.44713826E-05 3.60274605E-10 4.26554240E-01 1.29505605E-04 1.09469340E-01 -2.87643436E-01 -2.87643436E-01 0.00000000E+00
0460 3.55447257E-03 1.49916567E-05 3.74496582E-10 4.44572538E-01 1.27859969E-04 8.89827703E-02 -2.74168815E-01 -2.74168815E-01 0.00000000E+00
0480 3.41742528E-03 1.39314153E-05 3.34454290E-10 4.25585973E-01 1.17087150E-04 7.87188635E-02 -2.62133335E-01 -2.62133335E-01 0.00000000E+00
0500 3.61193298E-03 1.52958642E-05 3.85019598E-10 4.51453381E-01 1.12263175E-04 8.18390879E-02 -2.51079677E-01 -2.51079677E-01 0.00000000E+00
0520 3.45066775E-03 1.39765222E-05 3.24937886E-10 4.45526417E-01 9.92902662E-05 7.67618849E-02 -2.41013785E-01 -2.41013785E-01 0.00000000E+00
0540 3.55663765E-03 1.48979643E-05 3.64783240E-10 4.52152398E-01 1.03877551E-04 6.33188688E-02 -2.31632549E-01 -2.31632549E-01 0.00000000E+00
0560 3.54061959E-03 1.47482143E-05 3.68920824E-10 4.34629638E-01 9.85608122E-05 6.06361030E-02 -2.23018633E-01 -2.23018633E-01 0.00000000E+00
0580 3.47125718E-03 1.42461417E-05 3.45703733E-10 4.32209273E-01 9.44862915E-05 6.03345668E-02 -2.15017994E-01 -2.15017994E-01 0.00000000E+00
0600 3.51760651E-03 1.46624833E-05 3.65017537E-10 4.34050848E-01 9.51794991E-05 5.55691554E-02 -2.07480654E-01 -2.07480654E-01 0.00000000E+00
0620 3.54852923E-03 1.48494342E-05 3.61080417E-10 4.54163132E-01 9.08394511E-05 5.22052979E-02 -2.00596427E-01 -2.00596427E-01 0.00000000E+00
0640 3.55230573E-03 1.48337620E-05 3.76544873E-10 4.29582458E-01 8.63443592E-05 4.71907203E-02 -1.94156926E-01 -1.94156926E-01 0.00000000E+00
0660 3.57779590E-03 1.53458904E-05 4.17995284E-10 4.08348534E-01 9.62170321E-05 4.54607266E-02 -1.87905585E-01 -1.87905585E-01 0.00000000E+00
0680 3.65562799E-03 1.58559971E-05 4.27251153E-10 4.33532664E-01 9.14467163E-05 3.94412926E-02 -1.82412306E-01 -1.82412306E-01 0.00000000E+00
0700 3.63978556E-03 1.55917691E-05 4.06910373E-10 4.42061003E-01 8.35357060E-05 3.82492816E-02 -1.77113031E-01 -1.77113031E-01 0.00000000E+00
0720 3.61956946E-03 1.56193220E-05 4.23762394E-10 4.21002347E-01 8.72554404E-05 3.69721552E-02 -1.71876709E-01 -1.71876709E-01 0.00000000E+00
0740 3.68337636E-03 1.58274867E-05 4.10806513E-10 4.53371647E-01 7.62048429E-05 3.69081270E-02 -1.67076844E-01 -1.67076844E-01 0.00000000E+00
0760 3.64658801E-03 1.57318798E-05 4.14662225E-10 4.41514400E-01 7.99132414E-05 3.24222193E-02 -1.62569513E-01 -1.62569513E-01 0.00000000E+00
0780 3.64120034E-03 1.57678378E-05 4.27181663E-10 4.27273789E-01 8.02702854E-05 2.93208789E-02 -1.58445235E-01 -1.58445235E-01 0.00000000E+00
0800 3.65639348E-03 1.57971525E-05 4.24716643E-10 4.32690044E-01 7.57199632E-05 2.98897465E-02 -1.54357133E-01 -1.54357133E-01 0.00000000E+00
0820 3.67895589E-03 1.60129181E-05 4.39162722E-10 4.29095784E-01 7.54024332E-05 2.75361643E-02 -1.50498254E-01 -1.50498254E-01 0.00000000E+00
0840 3.68023053E-03 1.59341922E-05 4.33641469E-10 4.30689167E-01 7.09902239E-05 2.73656849E-02 -1.46934900E-01 -1.46934900E-01 0.00000000E+00
0860 3.68630332E-03 1.60871249E-05 4.42283689E-10 4.30330718E-01 7.24782066E-05 2.46000159E-02 -1.43442104E-01 -1.43442104E-01 0.00000000E+00
0880 3.65172961E-03 1.58545674E-05 4.34108790E-10 4.24336712E-01 7.14304877E-05 2.32568868E-02 -1.40071811E-01 -1.40071811E-01 0.00000000E+00
0900 3.67126607E-03 1.58952861E-05 4.33927194E-10 4.27521852E-01 6.70059183E-05 2.32014389E-02 -1.36984506E-01 -1.36984506E-01 0.00000000E+00
0920 3.62136411E-03 1.56314942E-05 4.20373488E-10 4.26526865E-01 6.82645544E-05 2.23562253E-02 -1.33797134E-01 -1.33797134E-01 0.00000000E+00
0940 3.70477214E-03 1.61123642E-05 4.32918527E-10 4.44138780E-01 6.33566428E-05 2.03622566E-02 -1.30957065E-01 -1.30957065E-01 0.00000000E+00
0960 3.68749353E-03 1.62104686E-05 4.57666223E-10 4.19454228E-01 6.79058969E-05 1.96232494E-02 -1.28184390E-01 -1.28184390E-01 0.00000000E+00
0980 3.71417901E-03 1.62167546E-05 4.31359775E-10 4.53247853E-01 6.16515622E-05 1.85291529E-02 -1.25850085E-01 -1.25850085E-01 0.00000000E+00
1000 3.72168452E-03 1.62944372E-05 4.45075632E-10 4.41229031E-01 6.09642433E-05 1.80288606E-02 -1.23127120E-01 -1.23127120E-01 0.00000000E+00
1020 3.68368923E-03 1.59781506E-05 4.32887229E-10 4.34802150E-01 5.89147771E-05 1.76360901E-02 -1.20682649E-01 -1.20682649E-01 0.00000000E+00
1040 3.68686109E-03 1.61582251E-05 4.54894439E-10 4.19232820E-01 6.15409322E-05 1.64431672E-02 -1.18393907E-01 -1.18393907E-01 0.00000000E+00
1060 3.66197678E-03 1.59301001E-05 4.36315605E-10 4.26884068E-01 5.93146205E-05 1.66743262E-02 -1.16064686E-01 -1.16064686E-01 0.00000000E+00
1080 3.69798488E-03 1.62268117E-05 4.54247167E-10 4.24951360E-01 5.89483625E-05 1.61810338E-02 -1.13916863E-01 -1.13916863E-01 0.00000000E+00
1100 3.69083034E-03 1.62137678E-05 4.58268455E-10 4.18926848E-01 5.87797409E-05 1.53180548E-02 -1.11882230E-01 -1.11882230E-01 0.00000000E+00
1120 3.68574853E-03 1.61753509E-05 4.48900362E-10 4.28098441E-01 5.77093738E-05 1.49127464E-02 -1.09863312E-01 -1.09863312E-01 0.00000000E+00
1140 3.75546486E-03 1.66140185E-05 4.60327604E-10 4.44100367E-01 5.49437525E-05 1.39175063E-02 -1.07887889E-01 -1.07887889E-01 0.00000000E+00
1160 3.72369739E-03 1.62835315E-05 4.37295152E-10 4.50261430E-01 5.19984852E-05 1.39146474E-02 -1.05958126E-01 -1.05958126E-01 0.00000000E+00
1180 3.71105129E-03 1.62544469E-05 4.38629106E-10 4.46609371E-01 5.24901401E-05 1.35107044E-02 -1.04186647E-01 -1.04186647E-01 0.00000000E+00
1200 3.70686947E-03 1.62981576E-05 4.60569226E-10 4.22041524E-01 5.31690594E-05 1.30071933E-02 -1.02379253E-01 -1.02379253E-01 0.00000000E+00
1220 3.73661561E-03 1.66111728E-05 4.81664139E-10 4.18134692E-01 5.41707025E-05 1.22553590E-02 -1.00729173E-01 -1.00729173E-01 0.00000000E+00
1240 3.71263936E-03 1.63312787E-05 4.56495060E-10 4.29475309E-01 5.12589885E-05 1.17747543E-02 -9.92034613E-02 -9.92034613E-02 0.00000000E+00
1260 3.72849633E-03 1.64234697E-05 4.57211267E-10 4.34977372E-01 4.99344253E-05 1.24862687E-02 -9.75691273E-02 -9.75691273E-02 0.00000000E+00
1280 3.75666448E-03 1.66898927E-05 4.72304434E-10 4.34811031E-01 5.02375540E-05 1.15519016E-02 -9.58978420E-02 -9.58978420E-02 0.00000000E+00
1300 3.75691830E-03 1.66580117E-05 4.71390663E-10 4.33743243E-01 4.88162075E-05 1.11904790E-02 -9.45481962E-02 -9.45481962E-02 0.00000000E+00
1320 3.75589740E-03 1.66129991E-05 4.63119425E-10 4.40660282E-01 4.73707470E-05 1.00164263E-02 -9.31969312E-02 -9.31969312E-02 0.00000000E+00
1340 3.76535509E-03 1.67525938E-05 4.69885685E-10 4.41906653E-01 4.79384000E-05 1.07772565E-02 -9.17150354E-02 -9.17150354E-02 0.00000000E+00
1360 3.74212143E-03 1.65810422E-05 4.72897226E-10 4.26647298E-01 4.72861584E-05 9.84666338E-03 -9.02828984E-02 -9.02828984E-02 0.00000000E+00
1380 3.76374583E-03 1.68198984E-05 4.82529959E-10 4.31466196E-01 4.79847622E-05 9.05794012E-03 -8.90254333E-02 -8.90254333E-02 0.00000000E+00
1400 3.76548531E-03 1.67019927E-05 4.68357090E-10 4.40346449E-01 4.49646547E-05 8.93025241E-03 -8.77997431E-02 -8.77997431E-02 0.00000000E+00
1420 3.75882806E-03 1.67048170E-05 4.76308363E-10 4.31037681E-01 4.52610811E-05 9.32482492E-03 -8.64793537E-02 -8.64793537E-02 0.00000000E+00
1440 3.76820150E-03 1.68244980E-05 4.83390650E-10 4.30763469E-01 4.54836286E-05 9.06690230E-03 -8.52042556E-02 -8.52042556E-02 0.00000000E+00
1460 3.77760065E-03 1.68918221E-05 4.83168575E-10 4.35551363E-01 4.47990455E-05 8.96969666E-03 -8.40863267E-02 -8.40863267E-02 0.00000000E+00
1480 3.79683776E-03 1.69951541E-05 4.87721022E-10 4.37140495E-01 4.34792487E-05 8.15967756E-03 -8.29193373E-02 -8.29193373E-02 0.00000000E+00
1500 3.75839726E-03 1.66740684E-05 4.66157666E-10 4.41107324E-01 4.23895776E-05 8.27778397E-03 -8.18803553E-02 -8.18803553E-02 0.00000000E+00
1520 3.79809909E-03 1.70951309E-05 4.95268438E-10 4.35096145E-01 4.38188501E-05 7.99286802E-03 -8.07786882E-02 -8.07786882E-02 0.00000000E+00
1540 3.75785135E-03 1.66532293E-05 4.67569136E-10 4.38011203E-01 4.10174111E-05 7.80606046E-03 -7.98017357E-02 -7.98017357E-02 0.00000000E+00
1560 3.75009937E-03 1.67311981E-05 4.77598530E-10 4.31294220E-01 4.26693595E-05 7.33651304E-03 -7.87055317E-02 -7.87055317E-02 0.00000000E+00
