T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0010 2.13048068E+00 4.53894804E+00 2.06020513E+01 6.66666635E-01 2.02508883E-04 1.02156658E+00 -3.94294284E+00 -3.94294284E+00 0.00000000E+00
0050 2.01049957E+00 4.04211117E+00 1.63387057E+01 6.66665790E-01 9.94074763E-04 1.07365452E+00 -3.68283011E+00 -3.68283011E+00 0.00000000E+00
0100 1.84494513E+00 3.40383494E+00 1.15862611E+01 6.66661811E-01 2.31982501E-03 1.15303543E+00 -3.34118844E+00 -3.34118844E+00 0.00000000E+00
0150 1.65088399E+00 2.72544917E+00 7.42841352E+00 6.66651394E-01 3.89512571E-03 1.20593222E+00 -2.97061349E+00 -2.97061349E+00 0.00000000E+00
0200 1.39708456E+00 1.95193266E+00 3.81072255E+00 6.66607047E-01 8.17491810E-03 1.49967002E+00 -2.54264641E+00 -2.54264641E+00 0.00000000E+00
0250 9.37743263E-01 8.79737074E-01 7.75246940E-01 6.66102616E-01 2.80418231E-02 2.07621281E+00 -1.98022959E+00 -1.98022959E+00 0.00000000E+00
0300 4.70962621E-02 2.66059316E-03 1.24873281E-05 4.11981046E-01 2.76026297E-02 8.14084871E-01 -1.41920737E+00 -1.41920737E+00 0.00000000E+00
0350 2.70730178E-02 8.63631451E-04 1.26115901E-06 4.36373127E-01 6.98675341E-03 5.36647828E-01 -1.21424192E+00 -1.21424192E+00 0.00000000E+00
0400 2.14752907E-02 5.45591901E-04 5.06834284E-07 4.32443763E-01 3.94844236E-03 3.52640189E-01 -1.07208490E+00 -1.07208490E+00 0.00000000E+00
0450 1.86942740E-02 4.09362579E-04 2.70508905E-07 4.61923492E-01 2.49024285E-03 3.11453231E-01 -9.63215029E-01 -9.63215029E-01 0.00000000E+00
0500 1.73455199E-02 3.50549753E-04 2.00327793E-07 4.56598765E-01 1.85934063E-03 2.27076254E-01 -8.75193720E-01 -8.75193720E-01 0.00000000E+00
