# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,410.4,0.516,-0.111049,0.000587,0.031877,0.666667
10.0,398.9,0.501,-0.105179,0.000569,6e-05,0.666667
30.0,378.8,0.476,-0.094538,0.000509,0.000278,0.666666
50.0,360.6,0.453,-0.084804,0.000451,0.000289,0.666665
70.0,344.1,0.432,-0.076505,0.000382,0.000517,0.666662
90.0,329.2,0.414,-0.069514,0.000324,0.000637,0.666659
110.0,315.1,0.396,-0.063532,0.00028,0.00066,0.666656
130.0,301.9,0.379,-0.058303,0.000248,0.000805,0.66665
150.0,288.4,0.362,-0.053609,0.000226,0.001376,0.666632
170.0,274.8,0.345,-0.049278,0.00021,0.001698,0.666613
190.0,260.6,0.327,-0.045198,0.0002,0.002032,0.666586
210.0,244.4,0.307,-0.041273,0.000196,0.003393,0.666498
230.0,227.8,0.286,-0.03736,0.000197,0.004467,0.666389
250.0,208.7,0.262,-0.033392,0.000203,0.004996,0.666265
270.0,185.7,0.233,-0.029252,0.000214,0.005616,0.666053
290.0,155.0,0.195,-0.024826,0.000235,0.009745,0.665026
310.0,106.1,0.133,-0.019847,0.000243,0.026485,0.65691
330.0,23.7,0.03,-0.01512,0.000172,0.028589,0.46188
350.0,12.4,0.016,-0.012951,9.2e-05,0.007486,0.432609
370.0,9.2,0.012,-0.011459,6.6e-05,0.004195,0.422043
390.0,7.7,0.01,-0.010324,5.2e-05,0.002352,0.461896
410.0,6.8,0.009,-0.009396,4.2e-05,0.00182,0.450034
430.0,6.1,0.008,-0.008649,3.5e-05,0.001549,0.418748
450.0,5.6,0.007,-0.008004,3e-05,0.001123,0.441433
470.0,5.3,0.007,-0.007459,2.5e-05,0.001069,0.407752
490.0,5.0,0.006,-0.006995,2.2e-05,0.000926,0.438089
510.0,4.7,0.006,-0.006575,2e-05,0.000775,0.429453
530.0,4.6,0.006,-0.0062,1.7e-05,0.000709,0.430779
550.0,4.5,0.006,-0.005876,1.6e-05,0.000643,0.428919
570.0,4.3,0.005,-0.005579,1.4e-05,0.000558,0.430034
590.0,4.1,0.005,-0.005312,1.3e-05,0.000513,0.431151
610.0,4.1,0.005,-0.005075,1.1e-05,0.000494,0.432924
630.0,4.0,0.005,-0.004855,1.1e-05,0.0004,0.464027
650.0,3.9,0.005,-0.004652,1e-05,0.000415,0.438866
670.0,3.9,0.005,-0.00446,9e-06,0.000382,0.437702
690.0,3.8,0.005,-0.004296,8e-06,0.000362,0.427
710.0,3.8,0.005,-0.004139,8e-06,0.000337,0.43742
730.0,3.7,0.005,-0.003989,7e-06,0.000342,0.416757
750.0,3.6,0.005,-0.003855,7e-06,0.000315,0.430861
770.0,3.6,0.005,-0.003728,6e-06,0.000285,0.444208
790.0,3.6,0.005,-0.003606,6e-06,0.000264,0.441327
810.0,3.5,0.004,-0.003496,5e-06,0.000262,0.431484
830.0,3.5,0.004,-0.00339,5e-06,0.000258,0.432537
850.0,3.4,0.004,-0.003296,5e-06,0.00024,0.439157
870.0,3.4,0.004,-0.003199,5e-06,0.000219,0.451707
890.0,3.4,0.004,-0.003109,4e-06,0.00021,0.4502
910.0,3.3,0.004,-0.003029,4e-06,0.000205,0.441049
930.0,3.3,0.004,-0.00295,4e-06,0.000208,0.427212
950.0,3.3,0.004,-0.002875,4e-06,0.000197,0.434122
970.0,3.3,0.004,-0.0028,3e-06,0.000183,0.444372
990.0,3.3,0.004,-0.002739,3e-06,0.000179,0.435426
1010.0,3.2,0.004,-0.002673,3e-06,0.000165,0.453779
1030.0,3.2,0.004,-0.002612,3e-06,0.000167,0.436665
1050.0,3.2,0.004,-0.002555,3e-06,0.000157,0.455743
1070.0,3.2,0.004,-0.002499,3e-06,0.000158,0.444154
1090.0,3.2,0.004,-0.002448,3e-06,0.000149,0.442313
1110.0,3.1,0.004,-0.002394,3e-06,0.000152,0.435552
1130.0,3.1,0.004,-0.002345,2e-06,0.000146,0.437727
1150.0,3.1,0.004,-0.002297,2e-06,0.00014,0.443821
1170.0,3.1,0.004,-0.002251,2e-06,0.000134,0.44683
1190.0,3.1,0.004,-0.002209,2e-06,0.000134,0.435017
1210.0,3.0,0.004,-0.002166,2e-06,0.000127,0.444832
1230.0,3.1,0.004,-0.002126,2e-06,0.000126,0.441855
1250.0,3.1,0.004,-0.002086,2e-06,0.000123,0.43987
1270.0,3.1,0.004,-0.002047,2e-06,0.000119,0.442586
1290.0,3.1,0.004,-0.002012,2e-06,0.000117,0.436234
1310.0,3.0,0.004,-0.001976,2e-06,0.000116,0.43989
1330.0,3.0,0.004,-0.001942,2e-06,0.000111,0.443177
1350.0,3.0,0.004,-0.001911,1e-06,0.000113,0.429496
1370.0,3.0,0.004,-0.001882,2e-06,0.000106,0.443078
1390.0,3.0,0.004,-0.001851,2e-06,0.000108,0.438472
1410.0,3.0,0.004,-0.001821,1e-06,0.000103,0.441634
1430.0,3.0,0.004,-0.001792,1e-06,0.000103,0.442083
1450.0,3.0,0.004,-0.001767,1e-06,9.8e-05,0.444571
1470.0,3.0,0.004,-0.001736,1e-06,9.6e-05,0.447791
1490.0,3.0,0.004,-0.001713,1e-06,0.000102,0.437227
1510.0,3.0,0.004,-0.001688,1e-06,9.7e-05,0.434792
1530.0,3.0,0.004,-0.001661,1e-06,9.2e-05,0.445541
1550.0,3.0,0.004,-0.001639,1e-06,9.6e-05,0.431582
1570.0,2.9,0.004,-0.001616,1e-06,9.6e-05,0.429434
1600.0,2.9,0.004,-0.001574,1e-06,9e-05,0.438139
