T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 6.01803947E-01 3.62167992E-01 1.31165655E-01 6.66666664E-01 3.18772445E-02 1.26824600E+03 -1.16599655E+00 -1.16599655E+00 0.00000000E+00
0010 5.84949369E-01 3.42165778E-01 1.17077439E-01 6.66666613E-01 5.99579858E-05 8.60612513E-01 -1.10435626E+00 -1.10435626E+00 0.00000000E+00
0030 5.55570844E-01 3.08659154E-01 9.52707094E-02 6.66665841E-01 2.78407474E-04 8.64044558E-01 -9.92625597E-01 -9.92625597E-01 0.00000000E+00
0050 5.28868848E-01 2.79702590E-01 7.82339088E-02 6.66665090E-01 2.89055280E-04 7.29059318E-01 -8.90429472E-01 -8.90429472E-01 0.00000000E+00
0070 5.04665409E-01 2.54688005E-01 6.48668238E-02 6.66662330E-01 5.17404060E-04 5.96586703E-01 -8.03287798E-01 -8.03287798E-01 0.00000000E+00
0090 4.82777411E-01 2.33075342E-01 5.43253373E-02 6.66659167E-01 6.37067891E-04 4.90227871E-01 -7.29885554E-01 -7.29885554E-01 0.00000000E+00
0110 4.62097588E-01 2.13535843E-01 4.55989741E-02 6.66656301E-01 6.59641233E-04 4.31035288E-01 -6.67076703E-01 -6.67076703E-01 0.00000000E+00
0130 4.42678388E-01 1.95966553E-01 3.84047670E-02 6.66650372E-01 8.05270799E-04 3.93217165E-01 -6.12172404E-01 -6.12172404E-01 0.00000000E+00
0150 4.23010189E-01 1.78942346E-01 3.20237349E-02 6.66631568E-01 1.37580779E-03 4.01430159E-01 -5.62882239E-01 -5.62882239E-01 0.00000000E+00
0170 4.02971415E-01 1.62392572E-01 2.63756271E-02 6.66612572E-01 1.69778649E-03 3.45300190E-01 -5.17413675E-01 -5.17413675E-01 0.00000000E+00
0190 3.82193624E-01 1.46080809E-01 2.13447442E-02 6.66586354E-01 2.03198373E-03 3.33774029E-01 -4.74572995E-01 -4.74572995E-01 0.00000000E+00
0210 3.58361040E-01 1.28438954E-01 1.65048984E-02 6.66498276E-01 3.39287128E-03 3.10588680E-01 -4.33359413E-01 -4.33359413E-01 0.00000000E+00
0230 3.34055419E-01 1.11616556E-01 1.24686262E-02 6.66389189E-01 4.46725902E-03 3.29004119E-01 -3.92275368E-01 -3.92275368E-01 0.00000000E+00
