# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,773.4,0.972,-0.337429,0.000345,0.026924,0.666667
10.0,771.8,0.97,-0.333975,0.000346,3.1e-05,0.666667
30.0,768.3,0.965,-0.327028,0.000345,9.5e-05,0.666667
50.0,764.0,0.96,-0.320181,0.000335,0.00012,0.666666
70.0,758.3,0.953,-0.31364,0.00032,0.000121,0.666666
90.0,751.1,0.944,-0.307388,0.000308,0.000209,0.666666
110.0,742.7,0.933,-0.301316,0.000301,0.000413,0.666664
130.0,733.8,0.922,-0.295354,0.000297,0.000327,0.666665
150.0,724.4,0.91,-0.289436,0.000295,0.000262,0.666665
170.0,714.1,0.897,-0.283558,0.000295,0.000407,0.666663
190.0,703.5,0.884,-0.277643,0.000296,0.000482,0.666662
210.0,692.9,0.871,-0.271713,0.000298,0.000478,0.666661
230.0,679.9,0.854,-0.26571,0.000301,0.000999,0.666653
250.0,669.2,0.841,-0.259654,0.000304,0.000718,0.666656
270.0,656.6,0.825,-0.253541,0.000308,0.000865,0.666652
290.0,644.2,0.81,-0.247315,0.000315,0.000682,0.666654
310.0,629.0,0.79,-0.240959,0.00032,0.00165,0.666632
330.0,615.3,0.773,-0.234509,0.000327,0.002089,0.666617
350.0,601.0,0.755,-0.227896,0.000335,0.001245,0.666634
370.0,586.7,0.737,-0.221105,0.000345,0.001395,0.666626
390.0,570.1,0.716,-0.214104,0.000355,0.002026,0.666601
410.0,552.2,0.694,-0.206898,0.000366,0.001463,0.666613
430.0,533.2,0.67,-0.19945,0.000382,0.00309,0.66654
450.0,513.3,0.645,-0.191623,0.000398,0.003481,0.666507
470.0,489.6,0.615,-0.183549,0.000415,0.004175,0.666444
490.0,468.0,0.588,-0.175007,0.000439,0.002746,0.6665
510.0,438.9,0.552,-0.165973,0.000466,0.003759,0.666397
530.0,405.0,0.509,-0.156363,0.000496,0.00445,0.666277
550.0,367.8,0.462,-0.146141,0.000534,0.006729,0.66593
570.0,320.3,0.403,-0.135008,0.000589,0.010902,0.665039
590.0,246.1,0.309,-0.122598,0.00066,0.022832,0.660804
610.0,105.6,0.133,-0.108604,0.000587,0.101982,0.543873
630.0,37.2,0.047,-0.099101,0.000391,0.01847,0.453271
650.0,23.8,0.03,-0.092956,0.000281,0.007457,0.452858
670.0,18.7,0.023,-0.087848,0.000238,0.004433,0.447025
690.0,15.5,0.019,-0.083445,0.000206,0.003093,0.443172
710.0,13.5,0.017,-0.079609,0.000182,0.002345,0.434622
730.0,12.2,0.015,-0.07616,0.000165,0.001826,0.442005
750.0,11.5,0.014,-0.073027,0.00015,0.001461,0.449828
770.0,10.5,0.013,-0.070174,0.000136,0.00124,0.448597
790.0,9.9,0.012,-0.067598,0.000124,0.001104,0.446331
810.0,9.6,0.012,-0.065208,0.000116,0.000949,0.463734
830.0,9.1,0.011,-0.062977,0.000107,0.000868,0.446415
850.0,8.9,0.011,-0.060932,9.9e-05,0.000856,0.427666
870.0,8.5,0.011,-0.059028,9.3e-05,0.00072,0.447193
890.0,7.8,0.01,-0.057211,8.7e-05,0.000597,0.440719
910.0,7.8,0.01,-0.055536,8.1e-05,0.000601,0.425392
930.0,7.6,0.01,-0.053967,7.5e-05,0.000559,0.438635
950.0,7.5,0.009,-0.052519,7.2e-05,0.00049,0.456979
970.0,7.2,0.009,-0.05107,6.9e-05,0.000451,0.450724
990.0,7.2,0.009,-0.049748,6.4e-05,0.000452,0.454163
1010.0,7.0,0.009,-0.048523,6e-05,0.000439,0.445307
1030.0,6.7,0.008,-0.047338,5.8e-05,0.000383,0.454377
1050.0,6.7,0.008,-0.046186,5.5e-05,0.000379,0.444631
1070.0,6.5,0.008,-0.045128,5.3e-05,0.000339,0.442587
1090.0,6.3,0.008,-0.044085,5.1e-05,0.000338,0.438022
1110.0,6.4,0.008,-0.043092,4.7e-05,0.000299,0.449265
1130.0,6.3,0.008,-0.042195,4.5e-05,0.000311,0.43941
1150.0,6.2,0.008,-0.041292,4.4e-05,0.000305,0.448643
1170.0,6.1,0.008,-0.040432,4.2e-05,0.000259,0.452953
1190.0,6.1,0.008,-0.039614,4e-05,0.000274,0.447885
1210.0,6.0,0.008,-0.038829,3.9e-05,0.000244,0.448081
1230.0,5.8,0.007,-0.038071,3.7e-05,0.000246,0.451683
1250.0,5.9,0.007,-0.037368,3.5e-05,0.000224,0.455374
1270.0,5.7,0.007,-0.036664,3.5e-05,0.00022,0.459121
1290.0,5.8,0.007,-0.035987,3.3e-05,0.000212,0.456697
1310.0,5.7,0.007,-0.035361,3.1e-05,0.000212,0.451183
1330.0,5.7,0.007,-0.034758,3.1e-05,0.000205,0.452634
1350.0,5.7,0.007,-0.034135,3e-05,0.000209,0.44925
1370.0,5.5,0.007,-0.033553,2.9e-05,0.000194,0.450001
1390.0,5.6,0.007,-0.03298,2.7e-05,0.000205,0.444694
1410.0,5.6,0.007,-0.032456,2.6e-05,0.000185,0.454167
1430.0,5.4,0.007,-0.031931,2.6e-05,0.000173,0.458379
1450.0,5.4,0.007,-0.031436,2.4e-05,0.000179,0.446938
1470.0,5.4,0.007,-0.030954,2.4e-05,0.000173,0.436971
1490.0,5.2,0.007,-0.030465,2.4e-05,0.00015,0.475056
1510.0,5.2,0.007,-0.030012,2.3e-05,0.000158,0.450954
1530.0,5.3,0.007,-0.029561,2.2e-05,0.000159,0.448283
1550.0,5.2,0.007,-0.029123,2.1e-05,0.000148,0.455316
1570.0,5.2,0.007,-0.028702,2.1e-05,0.000151,0.44058
1600.0,5.2,0.007,-0.028099,2e-05,0.000139,0.462403
