T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.08330663E+00 1.17355325E+00 1.37722723E+00 6.66666665E-01 2.69241151E-02 4.66642529E+04 -6.20013992E+00 -6.20013992E+00 0.00000000E+00
0010 1.08104426E+00 1.16865671E+00 1.36575856E+00 6.66666652E-01 3.11366857E-05 1.03219831E+00 -6.13668551E+00 -6.13668551E+00 0.00000000E+00
0030 1.07613842E+00 1.15807401E+00 1.34113595E+00 6.66666536E-01 9.45346320E-05 9.63405158E-01 -6.00902030E+00 -6.00902030E+00 0.00000000E+00
0050 1.07012272E+00 1.14516288E+00 1.31139912E+00 6.66666387E-01 1.19850569E-04 1.04266224E+00 -5.88321067E+00 -5.88321067E+00 0.00000000E+00
0070 1.06220686E+00 1.12828375E+00 1.27302576E+00 6.66666265E-01 1.21139739E-04 1.00090399E+00 -5.76303244E+00 -5.76303244E+00 0.00000000E+00
0090 1.05205495E+00 1.10682037E+00 1.22505466E+00 6.66665761E-01 2.08610373E-04 8.79420194E-01 -5.64815565E+00 -5.64815565E+00 0.00000000E+00
0110 1.04028125E+00 1.08218690E+00 1.17113636E+00 6.66664424E-01 4.13032541E-04 9.02631003E-01 -5.53658154E+00 -5.53658154E+00 0.00000000E+00
0130 1.02790084E+00 1.05658184E+00 1.11637237E+00 6.66664518E-01 3.26931634E-04 8.24595788E-01 -5.42702111E+00 -5.42702111E+00 0.00000000E+00
0150 1.01470550E+00 1.02962882E+00 1.06014200E+00 6.66664629E-01 2.61777094E-04 8.61746004E-01 -5.31829725E+00 -5.31829725E+00 0.00000000E+00
0170 1.00032824E+00 1.00065936E+00 1.00133025E+00 6.66662972E-01 4.07321475E-04 8.43984816E-01 -5.21028542E+00 -5.21028542E+00 0.00000000E+00
0190 9.85406297E-01 9.71029240E-01 9.42912028E-01 6.66661632E-01 4.81864498E-04 9.09343744E-01 -5.10159472E+00 -5.10159472E+00 0.00000000E+00
0210 9.70522841E-01 9.41918613E-01 8.87225849E-01 6.66660965E-01 4.78483742E-04 8.36100535E-01 -4.99262768E+00 -4.99262768E+00 0.00000000E+00
0230 9.52413831E-01 9.07101312E-01 8.22866158E-01 6.66653149E-01 9.98725272E-04 8.51691862E-01 -4.88232793E+00 -4.88232793E+00 0.00000000E+00
0250 9.37445264E-01 8.78810821E-01 7.72333705E-01 6.66655770E-01 7.18411450E-04 8.24977510E-01 -4.77105684E+00 -4.77105684E+00 0.00000000E+00
0270 9.19786071E-01 8.46015772E-01 7.15774292E-01 6.66651947E-01 8.64548154E-04 8.72083520E-01 -4.65873310E+00 -4.65873310E+00 0.00000000E+00
0290 9.02391951E-01 8.14319162E-01 6.63141518E-01 6.66653688E-01 6.82226683E-04 8.67213064E-01 -4.54432809E+00 -4.54432809E+00 0.00000000E+00
0310 8.81126813E-01 7.76404962E-01 6.02868160E-01 6.66631555E-01 1.65001377E-03 8.91314797E-01 -4.42754862E+00 -4.42754862E+00 0.00000000E+00
0330 8.61913109E-01 7.42921845E-01 5.52014810E-01 6.66617179E-01 2.08949814E-03 9.45936643E-01 -4.30902139E+00 -4.30902139E+00 0.00000000E+00
0350 8.41902915E-01 7.08817982E-01 5.02472417E-01 6.66633835E-01 1.24484739E-03 9.35557205E-01 -4.18751840E+00 -4.18751840E+00 0.00000000E+00
0370 8.21757065E-01 6.75305359E-01 4.56093075E-01 6.66625919E-01 1.39479344E-03 9.28153360E-01 -4.06273463E+00 -4.06273463E+00 0.00000000E+00
0390 7.98582250E-01 6.37765282E-01 4.06825107E-01 6.66600653E-01 2.02614832E-03 9.88125151E-01 -3.93408430E+00 -3.93408430E+00 0.00000000E+00
0410 7.73459966E-01 5.98264368E-01 3.57977792E-01 6.66613082E-01 1.46343455E-03 9.95060235E-01 -3.80167856E+00 -3.80167856E+00 0.00000000E+00
0430 7.46931545E-01 5.57959983E-01 3.11437623E-01 6.66540023E-01 3.08970953E-03 1.05133159E+00 -3.66482225E+00 -3.66482225E+00 0.00000000E+00
0450 7.19060246E-01 5.17110427E-01 2.67531206E-01 6.66507092E-01 3.48132098E-03 1.10394652E+00 -3.52099991E+00 -3.52099991E+00 0.00000000E+00
