# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
1.0,499.8,0.628,-0.560708,0.000518,1.2e-05,0.666667
3.0,499.0,0.627,-0.559673,0.000518,1.7e-05,0.666667
5.0,498.2,0.626,-0.558637,0.000519,3.1e-05,0.666667
7.0,497.5,0.625,-0.557599,0.000519,5.1e-05,0.666667
10.0,496.3,0.624,-0.556042,0.000519,7.4e-05,0.666667
20.0,492.4,0.619,-0.550835,0.000522,0.000263,0.666667
40.0,484.7,0.609,-0.540341,0.000527,0.000281,0.666666
60.0,476.6,0.599,-0.529739,0.000533,0.000431,0.666666
80.0,468.3,0.588,-0.519026,0.000539,0.000709,0.666666
100.0,460.3,0.578,-0.508176,0.000546,0.000473,0.666666
120.0,451.5,0.567,-0.497197,0.000553,0.000993,0.666664
140.0,442.9,0.557,-0.486072,0.000561,0.001278,0.666663
160.0,433.6,0.545,-0.474774,0.000569,0.001081,0.666663
180.0,424.5,0.533,-0.46332,0.000579,0.001208,0.666661
200.0,414.6,0.521,-0.451621,0.00059,0.00149,0.666659
220.0,404.6,0.508,-0.439708,0.000602,0.002225,0.666654
240.0,394.1,0.495,-0.427557,0.000615,0.001992,0.666653
260.0,383.2,0.482,-0.415122,0.000631,0.002518,0.666647
280.0,371.3,0.467,-0.402313,0.00065,0.003543,0.666636
300.0,359.5,0.452,-0.389137,0.000671,0.003535,0.666631
320.0,346.6,0.436,-0.375487,0.000696,0.003281,0.666629
340.0,332.2,0.417,-0.361278,0.000726,0.008508,0.666554
360.0,317.8,0.399,-0.346462,0.000763,0.00448,0.666598
380.0,300.4,0.377,-0.330752,0.000808,0.005256,0.666571
400.0,280.9,0.353,-0.31413,0.000864,0.007945,0.666493
420.0,257.6,0.324,-0.296176,0.000935,0.008618,0.666431
440.0,228.2,0.287,-0.276738,0.001029,0.013079,0.66619
460.0,185.6,0.233,-0.255011,0.001174,0.022316,0.665401
480.0,112.1,0.141,-0.229786,0.001189,0.115483,0.648985
500.0,20.6,0.026,-0.20747,0.00092,0.045297,0.449193
520.0,12.0,0.015,-0.192969,0.000662,0.016866,0.423655
540.0,8.7,0.011,-0.180985,0.000556,0.007437,0.455982
560.0,7.2,0.009,-0.17072,0.000482,0.004774,0.447154
580.0,6.0,0.008,-0.161704,0.000424,0.003423,0.447908
600.0,5.4,0.007,-0.153746,0.000377,0.002887,0.415638
620.0,4.9,0.006,-0.146637,0.000337,0.002075,0.44574
640.0,4.5,0.006,-0.140272,0.000306,0.001653,0.44961
660.0,4.4,0.006,-0.134382,0.000281,0.001581,0.44001
680.0,4.0,0.005,-0.129048,0.000254,0.001382,0.421023
700.0,3.9,0.005,-0.124219,0.000233,0.001158,0.44567
720.0,3.7,0.005,-0.119725,0.000218,0.001067,0.438901
740.0,3.6,0.005,-0.115506,0.000202,0.000954,0.443213
760.0,3.4,0.004,-0.111651,0.000185,0.000859,0.439168
780.0,3.3,0.004,-0.108124,0.000173,0.000716,0.457488
800.0,3.2,0.004,-0.104719,0.00017,0.00072,0.433148
