T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0001 1.43269615E+00 2.05261825E+00 4.21324170E+00 6.66666666E-01 1.18068492E-05 1.04977466E+00 -6.86854439E+00 -6.86854439E+00 0.00000000E+00
0003 1.43052372E+00 2.04639811E+00 4.18774524E+00 6.66666666E-01 1.67713250E-05 9.22611157E-01 -6.85586298E+00 -6.85586298E+00 0.00000000E+00
0005 1.42833623E+00 2.04014438E+00 4.16218914E+00 6.66666664E-01 3.11885725E-05 1.05949840E+00 -6.84317709E+00 -6.84317709E+00 0.00000000E+00
0007 1.42614505E+00 2.03388971E+00 4.13670744E+00 6.66666660E-01 5.14729130E-05 1.02877748E+00 -6.83046439E+00 -6.83046439E+00 0.00000000E+00
0010 1.42280430E+00 2.02437210E+00 4.09808254E+00 6.66666654E-01 7.36591770E-05 1.00530423E+00 -6.81139480E+00 -6.81139480E+00 0.00000000E+00
0020 1.41163931E+00 1.99272567E+00 3.97095673E+00 6.66666573E-01 2.62905809E-04 1.01097118E+00 -6.74760939E+00 -6.74760939E+00 0.00000000E+00
0040 1.38937746E+00 1.93037002E+00 3.72633072E+00 6.66666459E-01 2.81135718E-04 9.76817940E-01 -6.61906040E+00 -6.61906040E+00 0.00000000E+00
0060 1.36614854E+00 1.86636251E+00 3.48331418E+00 6.66666173E-01 4.30769994E-04 1.03939309E+00 -6.48918680E+00 -6.48918680E+00 0.00000000E+00
0080 1.34259653E+00 1.80256695E+00 3.24925854E+00 6.66665546E-01 7.09273362E-04 9.15357781E-01 -6.35795040E+00 -6.35795040E+00 0.00000000E+00
0100 1.31942547E+00 1.74088484E+00 3.03068885E+00 6.66665698E-01 4.73452942E-04 1.00978298E+00 -6.22504514E+00 -6.22504514E+00 0.00000000E+00
0120 1.29422068E+00 1.67501034E+00 2.80568095E+00 6.66664134E-01 9.92726673E-04 1.07651004E+00 -6.09055075E+00 -6.09055075E+00 0.00000000E+00
0140 1.26977176E+00 1.61232509E+00 2.59962301E+00 6.66662717E-01 1.27756255E-03 1.11652154E+00 -5.95427650E+00 -5.95427650E+00 0.00000000E+00
