# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,543.3,0.683,-1.84104,0.001814,0.540137,0.666667
10.0,537.1,0.675,-1.822903,0.001819,0.09389,0.666663
30.0,526.3,0.661,-1.786338,0.001838,0.044987,0.666661
50.0,516.6,0.649,-1.74937,0.001859,0.025558,0.666661
70.0,507.7,0.638,-1.711975,0.001882,0.032149,0.666657
90.0,493.7,0.62,-1.674106,0.001906,0.0324,0.666653
110.0,481.5,0.605,-1.635737,0.001932,0.054711,0.666638
130.0,470.4,0.591,-1.596835,0.001961,0.016244,0.666656
150.0,460.3,0.578,-1.557302,0.001993,0.03876,0.666636
170.0,448.5,0.564,-1.517126,0.002028,0.052421,0.666618
190.0,444.0,0.558,-1.476195,0.002065,0.027695,0.666637
210.0,432.8,0.544,-1.43452,0.002109,0.05715,0.666596
230.0,420.6,0.529,-1.39183,0.00216,0.052674,0.666591
250.0,411.2,0.517,-1.348112,0.002215,0.069241,0.666553
270.0,396.1,0.498,-1.303215,0.00228,0.075921,0.666522
290.0,384.4,0.483,-1.25692,0.002356,0.103857,0.66644
310.0,369.9,0.465,-1.208984,0.002443,0.085607,0.666453
330.0,340.9,0.428,-1.159213,0.002546,0.287216,0.665761
350.0,326.2,0.41,-1.10715,0.002666,0.131197,0.666194
370.0,277.0,0.348,-1.052579,0.002806,0.786808,0.662556
390.0,247.5,0.311,-0.994925,0.002978,0.983421,0.659842
410.0,220.4,0.277,-0.933452,0.003187,0.886426,0.658478
430.0,232.8,0.293,-0.867431,0.003457,0.105573,0.665753
450.0,200.4,0.252,-0.795184,0.003853,0.261166,0.663596
470.0,135.4,0.17,-0.713314,0.004309,0.26541,0.659235
490.0,18.6,0.023,-0.622819,0.003671,0.115704,0.496755
510.0,7.6,0.01,-0.56646,0.002463,0.022435,0.47076
530.0,5.4,0.007,-0.524291,0.00192,0.011481,0.456069
550.0,4.2,0.005,-0.489654,0.001602,0.00697,0.455775
570.0,3.7,0.005,-0.460211,0.001373,0.004781,0.460726
590.0,3.2,0.004,-0.434721,0.001198,0.003991,0.428954
610.0,2.8,0.004,-0.412292,0.001061,0.002818,0.448832
630.0,2.7,0.003,-0.392295,0.00095,0.002372,0.440321
650.0,2.5,0.003,-0.374295,0.000854,0.002051,0.4517
670.0,2.4,0.003,-0.358153,0.000773,0.001915,0.416363
690.0,2.2,0.003,-0.343389,0.00071,0.001592,0.433484
710.0,2.2,0.003,-0.329761,0.000652,0.00136,0.453494
730.0,2.0,0.003,-0.317303,0.0006,0.001194,0.453422
750.0,2.0,0.003,-0.305764,0.000557,0.00104,0.46161
770.0,1.9,0.002,-0.295041,0.000516,0.001026,0.433717
790.0,1.9,0.002,-0.28513,0.000484,0.000899,0.46171
800.0,1.8,0.002,-0.280345,0.000478,0.000819,0.461344
