T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 1.64830592E+00 2.71691240E+00 7.38161306E+00 6.66666665E-01 5.40137019E-01 1.00439040E+05 -6.44352213E+00 -6.44352213E+00 0.00000000E+00
0010 1.62961578E+00 2.65565474E+00 7.05257834E+00 6.66663064E-01 9.38897678E-02 1.04726249E+00 -6.38004320E+00 -6.38004320E+00 0.00000000E+00
0030 1.59686348E+00 2.54998326E+00 6.50251973E+00 6.66661279E-01 4.49867224E-02 1.00320473E+00 -6.25206907E+00 -6.25206907E+00 0.00000000E+00
0050 1.56740201E+00 2.45675883E+00 6.03575975E+00 6.66661375E-01 2.55584443E-02 1.02363682E+00 -6.12268298E+00 -6.12268298E+00 0.00000000E+00
0070 1.54045891E+00 2.37303085E+00 5.63143850E+00 6.66657013E-01 3.21489263E-02 9.19127592E-01 -5.99180046E+00 -5.99180046E+00 0.00000000E+00
0090 1.49790515E+00 2.24374209E+00 5.03457828E+00 6.66653444E-01 3.24001250E-02 9.96874913E-01 -5.85926126E+00 -5.85926126E+00 0.00000000E+00
0110 1.46077431E+00 2.13390752E+00 4.55395398E+00 6.66637922E-01 5.47109540E-02 1.02046960E+00 -5.72497217E+00 -5.72497217E+00 0.00000000E+00
0130 1.42710658E+00 2.03664930E+00 4.14807164E+00 6.66656117E-01 1.62442018E-02 1.03700566E+00 -5.58882003E+00 -5.58882003E+00 0.00000000E+00
0150 1.39654274E+00 1.95037601E+00 3.80431266E+00 6.66636339E-01 3.87601503E-02 1.07307382E+00 -5.45045735E+00 -5.45045735E+00 0.00000000E+00
0170 1.36085442E+00 1.85199280E+00 3.43038251E+00 6.66617570E-01 5.24211474E-02 1.12437702E+00 -5.30984200E+00 -5.30984200E+00 0.00000000E+00
0190 1.34710558E+00 1.81473361E+00 3.29354937E+00 6.66637182E-01 2.76945083E-02 1.21049496E+00 -5.16658677E+00 -5.16658677E+00 0.00000000E+00
0210 1.31309619E+00 1.72431322E+00 2.97388895E+00 6.66595717E-01 5.71497779E-02 1.24095521E+00 -5.02072872E+00 -5.02072872E+00 0.00000000E+00
0230 1.27611201E+00 1.62855435E+00 2.65279067E+00 6.66591083E-01 5.26736216E-02 1.18782283E+00 -4.87131381E+00 -4.87131381E+00 0.00000000E+00
