# mammos csv v3
#----------------------------------------
# Temperature-dependent quantities computed with UppASD
#----------------------------------------
ThermodynamicTemperature,SpontaneousMagnetization,SpontaneousMagneticPolarization,HelmholtzEnergy,IsochoricHeatCapacity,MagneticSusceptibility,BinderCumulant
,,,,Computed as derivative dE/dT.,,
https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic-materials#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic-materials#EMMO_db6f7b13-1f1d-584f-9d73-47939b86a7cd,https://w3id.org/emmo#EMMO_262d4582_15b9_4685_b693_24f8e9ead98d,https://w3id.org/emmo#EMMO_8fc576e1_3984_402b_a548_be921b4e1bf4,https://w3id.org/emmo#EMMO_e59eb557_3a0f_4532_9984_deed22f94952,https://w3id.org/emmo/domain/magnetic-materials#EMMO_a3596efd-1d89-5253-8ddc-000bfadc4201
K,kA / m,T,eV,eV / K,,
T,Ms,Js,E,Cv,chi,U_L
0.0,711.0,0.893,-0.673685,0.000951,0.025217,0.666667
10.0,705.3,0.886,-0.664176,0.000954,1.5e-05,0.666667
30.0,693.4,0.871,-0.644946,0.000969,0.000144,0.666667
50.0,681.1,0.856,-0.625416,0.000984,9.1e-05,0.666667
70.0,668.0,0.839,-0.605584,0.000998,0.000656,0.666666
90.0,655.1,0.823,-0.585511,0.001008,0.000294,0.666666
110.0,641.9,0.807,-0.565254,0.001016,0.00034,0.666666
130.0,628.3,0.79,-0.544884,0.001021,0.000339,0.666665
150.0,614.4,0.772,-0.524395,0.001026,0.000332,0.666665
170.0,600.0,0.754,-0.503846,0.001029,0.000373,0.666665
190.0,585.7,0.736,-0.483244,0.001028,0.000639,0.666663
210.0,570.6,0.717,-0.462709,0.001025,0.000766,0.666661
230.0,555.3,0.698,-0.442254,0.001019,0.001735,0.666652
250.0,540.4,0.679,-0.421962,0.00101,0.000833,0.666659
270.0,525.1,0.66,-0.401856,0.000999,0.000704,0.666659
290.0,508.4,0.639,-0.38201,0.000988,0.001317,0.66665
310.0,492.1,0.618,-0.362352,0.000976,0.00156,0.666644
330.0,474.0,0.596,-0.342958,0.000963,0.004128,0.666599
350.0,458.8,0.577,-0.323837,0.000952,0.002853,0.666614
370.0,440.5,0.554,-0.304892,0.000942,0.00313,0.6666
390.0,422.9,0.531,-0.286175,0.000935,0.00301,0.666594
410.0,405.0,0.509,-0.26751,0.000931,0.002875,0.666587
430.0,382.7,0.481,-0.248948,0.000929,0.00638,0.666459
450.0,362.8,0.456,-0.230364,0.000932,0.003732,0.666525
470.0,337.2,0.424,-0.211684,0.000944,0.006224,0.66638
490.0,311.1,0.391,-0.192604,0.000961,0.009316,0.666147
510.0,283.1,0.356,-0.173264,0.000989,0.0072,0.66616
530.0,243.6,0.306,-0.153045,0.001034,0.010382,0.665642
550.0,196.3,0.247,-0.13191,0.001109,0.016758,0.664042
560.0,160.3,0.201,-0.120561,0.001167,0.030594,0.659551
570.0,110.5,0.139,-0.108574,0.001088,0.049332,0.642937
590.0,22.4,0.028,-0.091228,0.000656,0.020112,0.428836
610.0,13.1,0.016,-0.082351,0.000387,0.005951,0.445538
630.0,9.9,0.012,-0.075762,0.000298,0.003353,0.43861
650.0,8.6,0.011,-0.070436,0.000245,0.002554,0.44039
670.0,7.3,0.009,-0.065973,0.000207,0.001801,0.426639
690.0,6.7,0.008,-0.062158,0.000177,0.001431,0.419748
710.0,6.2,0.008,-0.058881,0.000155,0.001196,0.438334
730.0,5.8,0.007,-0.055971,0.000138,0.001001,0.445361
750.0,5.5,0.007,-0.053348,0.000123,0.000896,0.430627
770.0,5.2,0.007,-0.051047,0.000112,0.000747,0.442445
790.0,5.0,0.006,-0.048887,0.000102,0.000687,0.442992
810.0,4.8,0.006,-0.046984,9.1e-05,0.00062,0.425844
830.0,4.6,0.006,-0.045242,8.5e-05,0.000511,0.452973
850.0,4.6,0.006,-0.0436,7.9e-05,0.000524,0.442843
870.0,4.4,0.006,-0.0421,7.3e-05,0.000444,0.447414
890.0,4.3,0.005,-0.040679,6.7e-05,0.000425,0.45098
910.0,4.1,0.005,-0.039414,6.2e-05,0.000399,0.436544
930.0,4.1,0.005,-0.038194,5.9e-05,0.000352,0.460528
950.0,4.0,0.005,-0.037059,5.5e-05,0.000364,0.436716
970.0,3.9,0.005,-0.035999,5.2e-05,0.000307,0.471248
990.0,3.8,0.005,-0.034995,4.8e-05,0.000311,0.448045
1010.0,3.8,0.005,-0.034062,4.6e-05,0.000309,0.446967
1030.0,3.7,0.005,-0.033145,4.3e-05,0.000272,0.454538
1050.0,3.6,0.005,-0.032344,4.1e-05,0.000254,0.467529
1070.0,3.6,0.005,-0.031514,3.9e-05,0.000239,0.459391
1090.0,3.5,0.004,-0.03078,3.7e-05,0.000236,0.457028
1110.0,3.5,0.004,-0.030042,3.6e-05,0.000218,0.463537
1130.0,3.5,0.004,-0.029359,3.4e-05,0.000191,0.48674
1150.0,3.4,0.004,-0.028702,3.2e-05,0.000199,0.47036
1170.0,3.4,0.004,-0.028073,3.1e-05,0.000188,0.475794
1190.0,3.4,0.004,-0.02748,2.9e-05,0.000185,0.464064
1210.0,3.4,0.004,-0.026919,2.8e-05,0.000177,0.469724
1230.0,3.3,0.004,-0.026376,2.7e-05,0.000175,0.456648
1250.0,3.3,0.004,-0.025835,2.6e-05,0.000174,0.457854
1270.0,3.3,0.004,-0.025329,2.4e-05,0.000167,0.461345
1290.0,3.2,0.004,-0.024859,2.4e-05,0.000152,0.467292
1310.0,3.2,0.004,-0.024381,2.3e-05,0.000159,0.461273
1330.0,3.2,0.004,-0.023937,2.2e-05,0.000156,0.447838
1350.0,3.2,0.004,-0.023509,2.1e-05,0.00015,0.447213
1370.0,3.2,0.004,-0.023092,2e-05,0.00014,0.460537
1390.0,3.1,0.004,-0.022699,1.9e-05,0.000135,0.467508
1410.0,3.1,0.004,-0.022324,1.9e-05,0.000129,0.467975
1430.0,3.1,0.004,-0.021945,1.9e-05,0.000133,0.452719
1450.0,3.1,0.004,-0.021572,1.8e-05,0.000134,0.447169
1470.0,3.1,0.004,-0.021205,1.7e-05,0.000123,0.467318
1490.0,3.0,0.004,-0.020883,1.6e-05,0.000119,0.468069
1510.0,3.0,0.004,-0.020568,1.6e-05,0.000124,0.44976
1530.0,3.0,0.004,-0.020244,1.6e-05,0.000119,0.453525
1550.0,3.0,0.004,-0.019936,1.5e-05,0.000117,0.447689
1570.0,3.0,0.004,-0.019637,1.5e-05,0.000117,0.447412
1600.0,2.9,0.004,-0.019204,1.4e-05,0.000109,0.463272
