T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0000 9.37348975E-01 8.78623102E-01 7.71978557E-01 6.66666666E-01 2.52173299E-02 1.66137234E+04 -4.50135684E+00 -4.50135684E+00 0.00000000E+00
0010 9.29915880E-01 8.64743547E-01 7.47781410E-01 6.66666663E-01 1.54882767E-05 9.37570963E-01 -4.43781959E+00 -4.43781959E+00 0.00000000E+00
0030 9.14130840E-01 8.35635255E-01 6.98286490E-01 6.66666566E-01 1.44243389E-04 1.02069958E+00 -4.30933134E+00 -4.30933134E+00 0.00000000E+00
0050 8.98003463E-01 8.06410286E-01 6.50297765E-01 6.66666556E-01 9.14606289E-05 9.84375444E-01 -4.17883863E+00 -4.17883863E+00 0.00000000E+00
0070 8.80626458E-01 7.75503628E-01 6.01407949E-01 6.66665518E-01 6.55607729E-04 1.08589185E+00 -4.04632592E+00 -4.04632592E+00 0.00000000E+00
0090 8.63669804E-01 7.45925916E-01 5.56406620E-01 6.66665978E-01 2.93509092E-04 9.72909025E-01 -3.91220407E+00 -3.91220407E+00 0.00000000E+00
0110 8.46284970E-01 7.16198795E-01 5.12942274E-01 6.66665653E-01 3.39659024E-04 1.03862145E+00 -3.77685294E+00 -3.77685294E+00 0.00000000E+00
0130 8.28303672E-01 6.86087616E-01 4.70717982E-01 6.66665417E-01 3.39483726E-04 1.15866960E+00 -3.64075094E+00 -3.64075094E+00 0.00000000E+00
0150 8.09985476E-01 6.56077198E-01 4.30439196E-01 6.66665191E-01 3.32281799E-04 1.11696182E+00 -3.50384460E+00 -3.50384460E+00 0.00000000E+00
0170 7.91080110E-01 6.25808666E-01 3.91638802E-01 6.66664696E-01 3.73332770E-04 1.21126881E+00 -3.36654409E+00 -3.36654409E+00 0.00000000E+00
0190 7.72187569E-01 5.96275413E-01 3.55548586E-01 6.66662712E-01 6.39326903E-04 1.10367015E+00 -3.22888624E+00 -3.22888624E+00 0.00000000E+00
0210 7.52324587E-01 5.65994630E-01 3.20355227E-01 6.66661146E-01 7.66209811E-04 1.09898215E+00 -3.09168142E+00 -3.09168142E+00 0.00000000E+00
0230 7.32098500E-01 5.35974030E-01 2.87280592E-01 6.66652242E-01 1.73485543E-03 1.07782822E+00 -2.95500729E+00 -2.95500729E+00 0.00000000E+00
0250 7.12423618E-01 5.07550445E-01 2.57613609E-01 6.66658703E-01 8.32532346E-04 1.06670892E+00 -2.81942004E+00 -2.81942004E+00 0.00000000E+00
0270 6.92254494E-01 4.79219055E-01 2.29656210E-01 6.66658964E-01 7.04016314E-04 1.07018983E+00 -2.68507600E+00 -2.68507600E+00 0.00000000E+00
0290 6.70251356E-01 4.49242446E-01 2.01828770E-01 6.66650159E-01 1.31671610E-03 1.01729737E+00 -2.55247489E+00 -2.55247489E+00 0.00000000E+00
0310 6.48750814E-01 4.20884667E-01 1.77155741E-01 6.66644391E-01 1.55983193E-03 1.03718020E+00 -2.42112842E+00 -2.42112842E+00 0.00000000E+00
0330 6.24890451E-01 3.90507930E-01 1.52527285E-01 6.66599251E-01 4.12776729E-03 1.03841953E+00 -2.29153782E+00 -2.29153782E+00 0.00000000E+00
0350 6.04928459E-01 3.65952992E-01 1.33942780E-01 6.66613931E-01 2.85265832E-03 9.99543514E-01 -2.16377857E+00 -2.16377857E+00 0.00000000E+00
0370 5.80759922E-01 3.37298965E-01 1.13793282E-01 6.66600186E-01 3.12973014E-03 9.91512302E-01 -2.03719312E+00 -2.03719312E+00 0.00000000E+00
0390 5.57510472E-01 3.10835037E-01 9.66395853E-02 6.66593648E-01 3.01033053E-03 9.70203724E-01 -1.91213520E+00 -1.91213520E+00 0.00000000E+00
